05-200916-173030_bem_a40_elicit_0  NDESAMBILILA
05-200916-173030_bem_a40_elicit_1  KUTI NAUMFWA NGA MWALONDOLOLA BWINO
05-200916-173030_bem_a40_elicit_2  KUTI MWANGAFWILISHAKO
05-200916-173030_bem_a40_elicit_3  EE KUTI
05-200916-173030_bem_a40_elicit_4  NDEFWAYA UKUSHITA IFISABO
05-200916-173030_bem_a40_elicit_5  NDEFWAYA UKUSHITA AMACUNGWA
05-200916-173030_bem_a40_elicit_6  NDEFWAYA UKUSHITA INKONDE
05-200916-173030_bem_a40_elicit_7  NDEFWAYA UKUSHITA IFINANASHI
05-200916-173030_bem_a40_elicit_8  NSHILEFWAYA ICI 
05-200916-173030_bem_a40_elicit_9  NSHILEFWAYA FIBILI
05-200916-173030_bem_a40_elicit_10  NDEFWAYA CIMO 
05-200916-173030_bem_a40_elicit_11  ILEIMA NSHITA NSHI
05-200916-173030_bem_a40_elicit_12  MWALAIKILA PESA 
05-200916-173030_bem_a40_elicit_13  MPELENI CHENGI 
05-200916-173030_bem_a40_elicit_14  NAUMFWA UKUNAKA
05-200916-173030_bem_a40_elicit_15  NAUMFWA UBUKALI
05-200916-173030_bem_a40_elicit_16  NAUMFWA UKULWALA
05-200916-173030_bem_a40_elicit_17  NDEUMFWA UKUKABA
05-200916-173030_bem_a40_elicit_18  NDEUMFWA IMPEPO
05-200916-173030_bem_a40_elicit_19  ICIMBUSU CILI KWISA
05-200916-173030_bem_a40_elicit_20  ICIMBUSU CILI KWI
05-200916-173030_bem_a40_elicit_21  MPELENIKO AMENSHI YA KUNWA
05-200916-173030_bem_a40_elicit_22  NDEFWAYA SOPO 
05-200916-173030_bem_a40_elicit_23  NDEFWAYA LAMPI 
05-200916-173030_bem_a40_elicit_24  NDEFWAYA KAPU
05-200916-173030_bem_a40_elicit_25  NDEFWAYA SUPUNI 
05-200916-173030_bem_a40_elicit_26  NDEFWAYA IFYAKULYA
05-200916-173030_bem_a40_elicit_27  NDEFWAYA AMENSHI AYATALALA
05-200916-173030_bem_a40_elicit_28  NDEFWAYA AMENSHI AYAKABA
05-200916-173030_bem_a40_elicit_29  NI NCHITO NSHI MUKABOMBA
05-200916-173030_bem_a40_elicit_30  MU MUSUMBA WA LUAPULA
05-200916-173030_bem_a40_elicit_31  KWISA MU AMERICA
05-200916-173030_bem_a40_elicit_32  ISHINA LYABO NI BANANI
05-200916-173030_bem_a40_elicit_33  PAATILE AKANTU
05-200916-173030_bem_a40_elicit_34  IMFUMU KUNKUTA YALIKEELE
05-200916-173030_bem_a40_elicit_35  YATEKELE UMUSHI UUKALAMBA SAANA
05-200916-173030_bem_a40_elicit_36  ICALO CAIKO NACO CAALIFYE ICIKULU
05-200916-173030_bem_a40_elicit_37  IMFUMU II YALIFYELE NA UMWANA UMWANAKASHI
05-200916-173030_bem_a40_elicit_38  ISHINA LYAKWE AALI NI KASUBA
05-200916-173030_bem_a40_elicit_39  KASUBA UYU AALEBEKA NGA KASUBA NGA ISHINA
05-200916-173030_bem_a40_elicit_40  E PATULILE NA UKUMWINIKA ISHINA LINE LILYA
05-200916-173030_bem_a40_elicit_41  ABALUMENDO ABENGI BAALEEFWAYA UKUMUUPA NOMBA AALEEKAANA
05-200916-173030_bem_a40_elicit_42  BATI BEKALE PANOONO NA INKALAMO YABUUKA MU CALO CA MFUMU KANKUTA
05-200916-173030_bem_a40_elicit_43  YALAIKATA ABANTU ILEELYA
05-200916-173030_bem_a40_elicit_44  YALETIFYE NGA AKASUBA KABA KU CUNGUKO YAISA
05-200916-173030_bem_a40_elicit_46  ELYO ICO ABANTU UMWENSO WABEKATA BALEKA UKULAYA MUMILIMO
05-200916-173030_bem_a40_elicit_47  EPAKWINIKA NOMBA II INKALAMO ABATI NI SUNKUTUWAMILIMO
05-200916-173030_bem_a40_elicit_48  IMFUMU PA KUMONA IFI AITI
05-200916-173030_bem_a40_elicit_49  MWE BANTU BANDI KULEENI ILINGA MUSHINGAUSHE UMUSHI SUNKUTUWAMILIMO ALAPWA ABANTU
