05-200916-142019_bem_a40_elicit_0  ILI MU CIKINI
05-200916-142019_bem_a40_elicit_1  CIISUMA NATOTELA
05-200916-142019_bem_a40_elicit_2  BUSHE KUTI NABOMFYAKO IBENDE
05-200916-142019_bem_a40_elicit_3  EE KUTI MWABOMFYAKO BUSHE NAMUKWATA IMPOTO NE MBALE
05-200916-142019_bem_a40_elicit_4  NINKWATA IMBALE LELO IMPOTO NSHIKWETE
05-200916-142019_bem_a40_elicit_5  BUSHE KUTI MWABOMFYAKO IMPOTO YANDI
05-200916-142019_bem_a40_elicit_6  EE KUTI NABOMFYAKO 
05-200916-142019_bem_a40_elicit_7  CIISUMA BULENI
05-200916-142019_bem_a40_elicit_8  TABENGISHA ABANTU ABALI BONSE KU CIPINDA KANOFYE UMUTEMWIKWA NO MUNOBE
05-200916-142019_bem_a40_elicit_10  MU MUSHI IFIMBUSU NO MWAKUSAMBILA FIBEELA UKUTALI NE NGANDA
05-200916-142019_bem_a40_elicit_11  TENTAMBI UKWIKALA PEBENDE
05-200916-142019_bem_a40_elicit_12  UMWINKO TABOMINAKO UMWANA
05-200916-142019_bem_a40_elicit_13  MWILAASHA KANDULO IMBABULA NELYO ICISHIKI CAMULILO MU NGANDA MAKAMAKA UBUSHIKU
05-200916-142019_bem_a40_elicit_14  KUTI NABOMFYAKO ULUKASU 
05-200916-142019_bem_a40_elicit_15  TEKUTI MBOMFYEKO IMBABULA
05-200916-142019_bem_a40_elicit_16  KUTI MWABOMFYAKO ISEMBE 
05-200916-142019_bem_a40_elicit_17  TEKUTI MUBOMFYEKO UMWELE
05-200916-142019_bem_a40_elicit_18  KUTI TWABOMFYAKO UMUTONDO 
05-200916-142019_bem_a40_elicit_19  TEKUTI TUBOMFYEKO ULUPE
05-200916-142019_bem_a40_elicit_20  KUTI BABOMFYAKO UMUSEKE 
05-200916-142019_bem_a40_elicit_21  TEKUTI BABOMFYEKO IMBALE
05-200916-142019_bem_a40_elicit_22  ABANTU TELINGI BALANDA PA MWELA KANOFYE NGA NAKUBIIPA
05-200916-142019_bem_a40_elicit_23  UMUNTU NGA APONENWA NA KALUMBA NINSHI NABAMULOWA NANGU NABAMUPANIKA PAMULANDU WAKUCITA IFIBI
05-200916-142019_bem_a40_elicit_24  NGA NAUMFWA IMPEPO NDAFWALA SWETA
05-200916-142019_bem_a40_elicit_25  MWALAYA KU TOWN NGA IMFULA YALEKA
05-200916-142019_bem_a40_elicit_26  TULANWA MOSI NGA TWAUMFWA ICILAKA 
05-200916-142019_bem_a40_elicit_27  ALALYA NGA AUMFWA INSALA 
05-200916-142019_bem_a40_elicit_28  NAUMFWA INSALA NDEFWAYA UKULYA PIZZA 
05-200916-142019_bem_a40_elicit_29  NAUMFWA IMPEPO NDEFWAYA SWETA
05-200916-142019_bem_a40_elicit_30  TWAUMFWA UMWENSO TULEFWAYA UKUBUTUKA
05-200916-142019_bem_a40_elicit_31  BAUMFWA UKULWALA BALEFWAYA UMUTI
05-200916-142019_bem_a40_elicit_32  PANUMA YA KULYA NALIYA KU TAUNI
05-200916-142019_bem_a40_elicit_33  PANUMA YA KUSAMBA MWALISENDAMA 
05-200916-142019_bem_a40_elicit_34  PANUMA YA KUNWA BALIKOLWA
05-200916-142019_bem_a40_elicit_35  PANUMA YA KUTEYA TWALINAKA
05-200916-142019_bem_a40_elicit_36  MULISHANI MULAMU
05-200916-142019_bem_a40_elicit_37  NDIFYE BWINO MULAMU NGA IMWE
05-200916-142019_bem_a40_elicit_38  NDIFYE BWINO NINSANSAMUKA PANTU MWALIPAASA AMASHINDANO
05-200916-142019_bem_a40_elicit_39  NATOTELA SAANA 
05-200916-142019_bem_a40_elicit_40  MULI SHANI BANE
05-200916-142019_bem_a40_elicit_41  NDIFYE BWINO NGA IMWE
05-200916-142019_bem_a40_elicit_42  PANONO BUSHE NAMWISHIBA UKUTI BALINJIBILA
05-200916-142019_bem_a40_elicit_43  EE NALIUMFWA KABILI NDI NO BULANDA PANTU BALIMWIBILA
05-200916-142019_bem_a40_elicit_44  ILINGI ABENA ZAMBIA BALAFISA IFYO BALEUMFWA NGA FINTU FYAPALA ICITEMWIKO KUTI BALANGA FYE UWO BATEMWA EPELA 
05-200916-142019_bem_a40_elicit_45  LELO NGA FINTU FYAPALA UBULANDA NE NSANSA SHAPA BWINGA TABAFISA
05-200916-142019_bem_a40_elicit_46  TACAWAMA UKWIKATANA NANGU UKUITOMONA PA BANTU
05-200916-142019_bem_a40_elicit_47  MUFILILO ABALUPWA KUUFWILE BALAPONYA IFILAMBA UKULANGA UBULANDA
05-200916-142019_bem_a40_elicit_48  AMA CIKINI PATE FIILA FYA BANAMAYO
05-200916-142019_bem_a40_elicit_49  NAUMFWA UBUKALI PANTU NALI ICENA
