03-200916-141341_bem_798_elicit_0  IFI SHIKUMANA FIWA
03-200916-141341_bem_798_elicit_1  IMITI IKULA EMPANGA
03-200916-141341_bem_798_elicit_2  ISHUKO LYA MUNOBE TALYENDELWA
03-200916-141341_bem_798_elicit_3  KABUSHA TAKOLELWE BOWA
03-200916-141341_bem_798_elicit_4  KWENU NI KWIKOSHI BALENDA ENDA WACEBAKO
03-200916-141341_bem_798_elicit_5  MAYO MPAPA NAINE NKAKU PAPA
03-200916-141341_bem_798_elicit_6  MUKOLWE PAKUKULA AIFUNA IPINDO
03-200916-141341_bem_798_elicit_7  MUNSHEBWA AILE NA MASHINSHA KU BUKO
03-200916-141341_bem_798_elicit_8  MWENDA MFULA TACEBA KWIULU
03-200916-141341_bem_798_elicit_9  MULI SEKA SEKA EMUFUMA LILA LILA
03-200916-141341_bem_798_elicit_10  MWANA IKULA EMPANGA
03-200916-141341_bem_798_elicit_11  NANGU ABUTE NI NOKO
03-200916-141341_bem_798_elicit_12  NA NKOKO TASALA
03-200916-141341_bem_798_elicit_13  NKAYA NKAYA APWILE UBUNGA MU KATONDO
03-200916-141341_bem_798_elicit_14  PITA UKO IMPITE UKU TEMUBIYO WANSHILA
03-200916-141341_bem_798_elicit_15  SUNGA UMUKOSHI UBULUNGU TABWAYA FYA
03-200916-141341_bem_798_elicit_16  TABATUKA NGWENA ELYO TAULAYABUKA UMUMANA
03-200916-141341_bem_798_elicit_17  TABABIKA KOSWE MWISAKA LYA MBALALA
03-200916-141341_bem_798_elicit_18  TABALOLESHA UMWENI PAMESO BAMULOLESHA PAMALA
03-200916-141341_bem_798_elicit_19  TAFIKUMANA KUBILI
03-200916-141341_bem_798_elicit_20  TUKOLWE TUPALAMENE TUFUKANA AMABUNGO
03-200916-141341_bem_798_elicit_21  TWENDE BABILI TEMWENSO KUSOSHA NYA
03-200916-141341_bem_798_elicit_22  UBUKULU BWANKOKO MASAKO
03-200916-141341_bem_798_elicit_23  UBUCENJESHI BWANKOKO PUNGWA TASAKAMANA
03-200916-141341_bem_798_elicit_24  UBUSHIKU USHEME NECIMBALA CILOCA
03-200916-141341_bem_798_elicit_25  UKUPESHA LUNSHI KUNYA PATATU
03-200916-141341_bem_798_elicit_26  UKUBIFYA UMWELA ELYO TAULALYA CILEMBA
03-200916-141341_bem_798_elicit_27  UKUPESHA ILUNGU KWENDAMO
03-200916-141341_bem_798_elicit_28  UKUTANGILA TEKUFIKA
03-200916-141341_bem_798_elicit_29  UKWANGA LAKWACILA ULUPWA
03-200916-141341_bem_798_elicit_30  ULUBILO LWAMWIPI KUBANGILILA
03-200916-141341_bem_798_elicit_31  ULULUMBI LWAMULANDA KUKAKATA
03-200916-141341_bem_798_elicit_32  ULELILA TABAMUCEBA KUKANWA
03-200916-141341_bem_798_elicit_33  ULUKUNI LUMO TALWAKA
03-200916-141341_bem_798_elicit_34  UMULUME WAMBWA TANKILA MUBIYE
