05-200917-083101_bem_a40_elicit_0  PATILE AKANTUNSE 
05-200917-083101_bem_a40_elicit_1  IMFUMU YALITEKELE ICALO 
05-200917-083101_bem_a40_elicit_2  NGA FINO FINE IFYO TWAIKALA MU CALO TAMUBULA ABATUNTULU NE FINANGWA  
05-200917-083101_bem_a40_elicit_3  MU CALO UMO MWALI ABANA BA MFUMU NECO CINE ICIPUBA 
05-200917-083101_bem_a40_elicit_4  EFYO BAISHILE LANDA ATI BANE MAILO TUKAYA MUKUTOLA AMASUKU  
05-200917-083101_bem_a40_elicit_5  TIYENI TUKAYE  
05-200917-083101_bem_a40_elicit_6  AWE BAISHILE LALA NE NG'ANDA IMO
05-200917-083101_bem_a40_elicit_7  BWAISACA ULUCELO BAYA KU MASUKU  
05-200917-083101_bem_a40_elicit_8  AWE BALEYAFYE BAFIKA  
05-200917-083101_bem_a40_elicit_9  BASANGA AMASUKU BATOLA  
05-200917-083101_bem_a40_elicit_10  BAENDAKO FILYA FINE BATOLA 
05-200917-083101_bem_a40_elicit_11  AWE EFYO ICIPUBA MU KWENDA FILYA CAISA MONA AKAMUTI AKASUMA SANA 
05-200917-083101_bem_a40_elicit_12  CEBELE KWENA AKAMUTI AKA KASUMA NALASENDA
05-200917-083101_bem_a40_elicit_13  NOMBA NINSHI ABANA BA MFUMU BALETOLELA KUMBI 
05-200917-083101_bem_a40_elicit_14  BALECITA FILYA ICIPUBA CILE ASUKILAFYE KUMBI 
05-200917-083101_bem_a40_elicit_15  YAA ICI NO BUPUBA BWA CIKO LELO CALUBA TACAMONEKE  
05-200917-083101_bem_a40_elicit_16  ELYO CILE UMFWIKILA UKUTALI SANA  AWE BAITA ZELO
05-200917-083101_bem_a40_elicit_17  AWE EFYO AISHILE AKALOLESHA AKAMUTI AKA  
05-200917-083101_bem_a40_elicit_19  AWE EFYO BAISHILE ISA UKWISA MONA AKAMUTI AKO NINSHI NAKATWALA INDALAMA
05-200917-083101_bem_a40_elicit_20  ABANA BA MFUMU BEBELE 
05-200917-083101_bem_a40_elicit_21  ICIPUBA ICI ECINGAKWATA AKAMUTI AKA TWALACIPOKA CILEFWAYA NANGU TACILEFWAYA  
05-200917-083101_bem_a40_elicit_22  AWE EFYO BAISHILE BULA AKAMUTI AKO NE NDALAMA SHONSE SHALUBA NOKO SHAYA
05-200917-083101_bem_a40_elicit_23  AWE NAKENA AKAMUTI EFYO KATAMPA IFI KALUFYANYA  
05-200917-083101_bem_a40_elicit_24  AWE NAKABILI FESHITI TUCIBWEKESESHE ICI CINE TUCIMONE IFYO CALACITA
05-200917-083101_bem_a40_elicit_25  AWE BA CIPELA ICIPUBA  
05-200917-083101_bem_a40_elicit_26  AWE INDALAMA NASHENA SHABWEKELAMO 
05-200917-083101_bem_a40_elicit_27  AHAA CABIPA AWE EFYO BATAMPILE UKUYA BALEYAFYE BALEYAFYE 
05-200917-083101_bem_a40_elicit_28  NOMBA CALABA SHANI PANTU TWALAFIKA KU MUSHI  
05-200917-083101_bem_a40_elicit_29  ELYO NGA TWAFIKA KU MUSHI TACAWAME BALEYA BALANDE ATI ICINE CA AKA AKAMUTI NI CI ICIPUBA
05-200917-083101_bem_a40_elicit_30  KANSHI KATU CIKATEFYE TUCUME
05-200917-083101_bem_a40_elicit_31  EFYO BAISHILE MWIKATA BAMUMA BAMUMA  
05-200917-083101_bem_a40_elicit_32  AKAMUTI NAKENA KALIFYE NE CIPUBA  
05-200917-083101_bem_a40_elicit_33  EFYO BAISHILE FIKA BAISA FIKA MU MUSHI
05-200917-083101_bem_a40_elicit_34  IMFUMU AITI NISHANI
05-200917-083101_bem_a40_elicit_35  ATI UKO TWACIYA TWAISA TOLA AKA KAMUTI NOMBA ICI ICIPUBA CILEFWAYA CITUPOKOLOLE
05-200917-083101_bem_a40_elicit_36  BEBELE AWE TACAMUPOKOLOLE  
05-200917-083101_bem_a40_elicit_37  KANSHI BA KAPASO BILENIMO IMBILA  
05-200917-083101_bem_a40_elicit_38  ABEKALA CALO MUKOLONGANE TWISHIBE ABENE BA AKA KAMUTI 
