01-201006-090721_bem_fb0_elicit_0  ABO BAKONA AMALA
01-201006-090721_bem_fb0_elicit_1  ABANTU BALIKELE MU CALO NA MU CALO MULYA MWAPONENE INKASHA YA MUNANI IKALAMBA 
01-201006-090721_bem_fb0_elicit_2  ABANTU BALETOBELA FYE IFISASHI FYEKAFYEKA
01-201006-090721_bem_fb0_elicit_3  BASUKA ABANTU BATENDWA UKUTOBELA IFISASHI E CALENGA BATENDEKE UKWIMBA AMAPANGA MU MPANGA 
01-201006-090721_bem_fb0_elicit_4  BALETI NGA BAIPAYA AMAPANGA AYENGI BALEBULA YAMO BALEYANIKA PA NJINO PAKUTI BAKALETOBELA KUNTANSHI
01-201006-090721_bem_fb0_elicit_5  PA MUSHI UMO BUSHIKU BUMO ABANTU BAILE BONSE MU MILIMO MU MPANGA TAMWASHELE NELYO UMO BASENDELE KUMO NO TWAICE 
01-201006-090721_bem_fb0_elicit_6  BAKAPANGA ABO BAYANIKE PA NJINO BASHIMONA FYE UMUSHI WATALALA BAIMA BALONGANA NA PA LUBANSA 
01-201006-090721_bem_fb0_elicit_7  BATUMAPO NA BANABO BAMO ABATI KABULENI INOMA MU MAYANDA YA BANTU 
01-201006-090721_bem_fb0_elicit_8  BAFUMYA NE YOMA BASHIKANGA KUTI NGA KAPANGA AKUNTAPO YATI NA MBI MBI MBI
01-201006-090721_bem_fb0_elicit_9  BABULA NE NOMA BAPELA NA BAMO ABO BAISHIBE UKUTI E BAISHIBISHE UKULISHA ABENGI BATANTAMA NO MULONGO 
01-201006-090721_bem_fb0_elicit_10  KUTI ABANG'OMA BASHIBILIMUNA INOMA SHATI NA CIBILI CIBILI CIBILI CIBILI
01-201006-090721_bem_fb0_elicit_11  BAKAPANGA WA KANTU BATAMPAKO NO LWIMBO
01-201006-090721_bem_fb0_elicit_12  MWINE MUSHI TALIPO
01-201006-090721_bem_fb0_elicit_13  PA LUBELEBELE PA LUNCECESA 
01-201006-090721_bem_fb0_elicit_14  FWEBO BAKONA AMALA
01-201006-090721_bem_fb0_elicit_15  PA LUBELEBELE PA LUNCECESA 
01-201006-090721_bem_fb0_elicit_16  MUKWAI KUTI NGA KAPANGA AFWENKULA PA MUTIMA PABULA AMALA ALETI NGA AYA PANTANSHI ABWELELA PANUMA BULANDA BUSHALA
01-201006-090721_bem_fb0_elicit_17  BACINDA BACINDA ICIILA CAFUKILA NGANSHI
01-201006-090721_bem_fb0_elicit_18  ABANTU UMO BELE MU MPANGA BAUMFWA ING'OMA SHABILIKILA KU MUSHI BONSE BASHA NE MILIMO ABATI NATUYETAMBA ING'OMBA YAISA KU MUSHI
01-201006-090721_bem_fb0_elicit_19  KUTI ABANTU CILYA BATI FYE TWALAFIKA MU MUSHI 
01-201006-090721_bem_fb0_elicit_20  BAKAPANGA NABALOOTWELA KALE NEFYO BABWESESHE ING'OMA MU MAYANDA NABAYAILINGANYA NA PA NJINO APO BABANIKA
01-201006-090721_bem_fb0_elicit_21  ABANTU UKUFIKA MU MUSHI UKUTI BAMONE ING'OMBA YACILALISHA ING'OMA NAKALYA
01-201006-090721_bem_fb0_elicit_22  AWE CABAPESHA AMANO 
01-201006-090721_bem_fb0_elicit_23  UKULOLESHA PANSHI BAMONE AMAKASA UMO BACILACINDILA NAKALYA FYE BAMONA FYE PA LUBANSA UTUMAKASA TWA BAKAPANGA UTWINGI NGANSHI 
01-201006-090721_bem_fb0_elicit_24  BATI FYE TUTYETYE TWENDAWIKEPO
01-201006-090721_bem_fb0_elicit_25  BASUUKA BALALA NO KULALA
01-201006-090721_bem_fb0_elicit_26  ULUCELO LUMBI KABILI ABANTU BAFURNINA MU MILIMO
01-201006-090721_bem_fb0_elicit_27  KUTI BAKAPANGA BASHIMONA FYE NAKABILI UKUTI UMUSHI WATALALA BAISAFUMA BABUULA NE GOMA SHINE BAKANGA BATALIKA NE CIILA
01-201006-090721_bem_fb0_elicit_28  ABANTU UKO BELE KU MILIMO BAUMFWA INOMA KU MUSHI NGE FINTU BASHUMFWILE MAILO 
01-201006-090721_bem_fb0_elicit_29  BONSE BASHA NE MILIMO BALABWELELA KU MUSHI KU KUTAMBA INOMBA 
01-201006-090721_bem_fb0_elicit_30  NGA FILYA FINE CALI NA MAILO KUTI CILYA BATI TWALAFIKA MU MUSHI BAUMFWA MU MUSHI MWATALALA NA TONDOLO 
01-201006-090721_bem_fb0_elicit_31  CILYA BAFIKA MU MUSHI TETI BAMONE NELYO CIMO 
01-201006-090721_bem_fb0_elicit_32  AWE CABAPESHA AMANO NGANSHI
01-201006-090721_bem_fb0_elicit_33  ABAKALAMBA BASUKA BALONGANA ABATI 
01-201006-090721_bem_fb0_elicit_34  BANE NATUMFWANE PA MASHIWI AYA YALEMONEKA MUNO MUSHI ALA IFI FINTU FILELISHA INOMA MUNO MUSHI TE BANTU IYO FIWA
