04-200917-201407_bem_346_elicit_0  KUTAMPILAPO UKUMUPOSHA
04-200917-201407_bem_346_elicit_1  KANSHI KWAMBILAPO NA 'SHANI'
04-200917-201407_bem_346_elicit_2  ELO BALANDA ATI 'SHANI' ULEUMFWA
04-200917-201407_bem_346_elicit_3  'MULI SHANI'
04-200917-201407_bem_346_elicit_4  ELO NOMBA WAIPUSHA 
04-200917-201407_bem_346_elicit_5  NOMBA NGATAWISHIBE ISHINA LYABO KWIPUSHA
04-200917-201407_bem_346_elicit_6  'NIMWEBO BANANI ISHINA'
04-200917-201407_bem_346_elicit_7  ELYO NABENA BALA ASUKA WAUMFWA
04-200917-201407_bem_346_elicit_8  'NIWEBO NANI ISHINA'
04-200917-201407_bem_346_elicit_9  PANUMA YAIFYO NOMBA
04-200917-201407_bem_346_elicit_10  UMUNOBE ALAKWEBA ISHINA LYAKWE WAUMFWA
04-200917-201407_bem_346_elicit_11  UFWILE WABAPOSHA ICI CILALANGISHA UMUCINSHI
04-200917-201407_bem_346_elicit_12  KANSHI PALYA WABEPUSHA
04-200917-201407_bem_346_elicit_13  'SHANI  ULISHANI'
04-200917-201407_bem_346_elicit_14  'NIWEBO NANI ISHINA'
04-200917-201407_bem_346_elicit_15  'ULI NEMYAKA INGA'
04-200917-201407_bem_346_elicit_16  NINSHI UYO MUNTU ASANGUKA E MUNOBE WAUMFWA
04-200917-201407_bem_346_elicit_17  E IMWE
04-200917-201407_bem_346_elicit_18  EYA IWE IREDI  NINSHI TAUKONKOSESHE
04-200917-201407_bem_346_elicit_19  NAIWE NERBERT TAUKONKOSESHE
04-200917-201407_bem_346_elicit_21  KONKOKO PA 'CIBI'
04-200917-201407_bem_346_elicit_22  INGILENI
04-200917-201407_bem_346_elicit_23  LANDENI 'TWELELENI BAKAFUNDISHA NATUCELWA'
04-200917-201407_bem_346_elicit_24  CAAWAMA SAANA
