12-201010-075548_bem_526_elicit_0  UBUSANSO NA MALILA
12-201010-075548_bem_526_elicit_1  PA MULANDU WA KUKANALANDA NA BANTU CALEMONEKA KWATI INE NIMBASUULA 
12-201010-075548_bem_526_elicit_2  KANSHI ICI CALENGELE UKUKANAUMFWANA NA BANTU NALEMONEKA KWATI NDI WA FILUMBA 
12-201010-075548_bem_526_elicit_3  KANSHI NICO BAKAFUNDISHA BONSE ABALEIKALA KULICILYA CIFULO KALE BATEMENWE UKUYA BALEFWAYA ABAICE LUCELOCELO ABALELOFWA KU SUKULU 
12-201010-075548_bem_526_elicit_4  KANSHI E CALENGELE UKUTI BALEFWA KU MULANDU WA KWAMBULA AMALWELE AYABA NGA YAKUSUMWA NA MUNGWINWI NANGU UTUSEMBELE
12-201010-075548_bem_526_elicit_5  E CALENGA KANSHI ILYO BAKAFUNDISHA BALEFWA IFI 
12-201010-075548_bem_526_elicit_6  ABANTU MU KUMONA BENA BALETONTONKANYA UKUTI BALEBALOWA FYE PA MULANDU WA KUPITANA MU MISHI YA BANTU LUCELOCELO
12-201010-075548_bem_526_elicit_7  ILYO INE NAMWENE IFI NASANGILE UKUTI PA KWIKALA NA BANTU BA UYU MUSANGO NO KUMFWANA KANO FYE WAICEFYA NO KWESHA UKULOSHA UMO BATEMENWE 
12-201010-075548_bem_526_elicit_8  UKUTONTONKANYA KWA IFI KWALENGELE INE NJITE ABANTU ABA MU TUMISHI TWA MUPEPI KU CILONGANINO MU MUSUMBA MWINE UMO TWALEFUNDILA
12-201010-075548_bem_526_elicit_9  NE NSHILA YA ICI CILONGANINO KWESHA UKUMFWANA NA BANTU UKUBALONDOLWELA UMO ISUKULU LYAWAMINA
12-201010-075548_bem_526_elicit_10  PA CILONGANINO CINE ICI NAEBELE ABANTU NATI TACAWAMA UKUTI BAKAFUNDISHA BALEYA MU KUKONKELA ABANA MU MISHI LUCELOCELO 
12-201010-075548_bem_526_elicit_11  PANTU ICI KUTI CALETA ULUPATO PALI BAKAFUNDISHA NA BAFYASHI 
12-201010-075548_bem_526_elicit_12  ICISUMA CINGABAPO KUTILA ABAFYASHI BALEPAMFYA ABANA BABO UKWISA KU SUKULU LUCELOCELO 
12-201010-075548_bem_526_elicit_13  ABAFYASHI ILYO BAUMFWILE AYA MASHIWI BATEMENWE NGANSHI NO KUTASHA BATASHISHE NGANSHI 
12-201010-075548_bem_526_elicit_14  UKUFUMA UBO BWINE BUSHIKU INE NALISHITILE UMUCINSHI KU BANTU BA MU CALO ICI 
12-201010-075548_bem_526_elicit_15  TAPALI NO WAKUKANA PALI AYA MASHIWI IYO 
12-201010-075548_bem_526_elicit_16  BONSE ILYO BABWELELE KU MISHI KU MWABO BALEBOMBA NA MAKA UKUCINCISHA ABANA KU SUKULU 
12-201010-075548_bem_526_elicit_17  ULUCELO KAKONKELEPO TWAKWETE ABANA ABENGI NGANSHI NA BAMBI ABO NSHABALILE MONA APO NAILILE KULI CILYA CIFULO 
12-201010-075548_bem_526_elicit_18  PA KUSANGA WALAUMFWANA NGANSHI NA BANTU CABAPELE INSANSA SHA KUTI TWINGANWA NABO UBWALWA BUSHIKU BUMO 
12-201010-075548_bem_526_elicit_19  UBUSHIKU BUSHILILE KANTU CILYA TWAPWA UKUFUNDA TWAYA NA KU KAYANDA KESU TWALAPEKANYA NE FYAKUFUNDA MAILO 
12-201010-075548_bem_526_elicit_20  UMU TWALI TWIKALISHE TWAMONA FYE UMWAICE AFIKA ATI NI MWENDEITA 
12-201010-075548_bem_526_elicit_21  NA IFWE NIKWI WE MWANA  
12-201010-075548_bem_526_elicit_22  AKAICE AKATI NI KU ISANO MUKWAI 
