01-200917-231428_bem_d31_elicit_0  ICI CIPUTULWA CA MALEMBO KUTI CAYAKANISHIWA MU FIPANDE FINE PAMO NGE FI
01-200917-231428_bem_d31_elicit_1  UKULONDOLOLA
01-200917-231428_bem_d31_elicit_2  UBUBOMFI BWAKWA YOHANE KABATISHA
01-200917-231428_bem_d31_elicit_3  UKUBATISHIWA NO KWESHIWA KWAKWA YESU
01-200917-231428_bem_d31_elicit_4  YESU AITA BASAMBI BAKWE ABANTANSHI
01-200917-231428_bem_d31_elicit_5  CILOMFWIKA BWINO PAKUSANGA KUTI MARKO ATENDEKA UKULONDOLOLA KWAKWE NE CINTU ICACILAMO 
01-200917-231428_bem_d31_elicit_6  IMBILA NSUMA NO MUNTU UWACILAMO YESU KRISTU UMWANA WAKWA LESA 
01-200917-231428_bem_d31_elicit_7  PAMO NE TUNTUKO YA MBILA NSUMA UYU NI LESA
01-200917-231428_bem_d31_elicit_8  ILI SHIWI LYA MBILA NSUMA LYALOLA MU KUTILA ILYASHI LISUMA
01-200917-231428_bem_d31_elicit_9  PAKUTENDEKA FYE MARKO ALEFYAYA UKUTI BAKABELENGA BAMONE CISHINKA CAKUTI IFYO BALEBENGA LYASHI LISUMA KU BALELIBELENGA NO KULITETEKELA
01-200917-231428_bem_d31_elicit_10  KABILI ATWALILILA UKULONDOLOLA UKUTILA ILI LYASHI LISUMA LILI PALI YESU KRISTU UUSHIPELELE FYE PAKUBA UMUNTU LELO MWANA WAKWA LESA 
01-200917-231428_bem_d31_elicit_11  EKUTILA LYAFUMA KULI LESA
01-200917-231428_bem_d31_elicit_12  PAMULANDU WAKUTI LESA ETUNTUKO WA IYI MBILA NSUMA YALIKWATA MAKA YAKUBOMBA MU MYEO YA BANTU ABALI NO KUIPOKELELA UKWISA KWAKWA KRISTU
01-200917-231428_bem_d31_elicit_13  UMULUBUSHI UWASUBWA 
01-200917-231428_bem_d31_elicit_14  KUKUSOKOLOLO BUFUMU BWAKWA LESA LYALI LYASHI LISUMA NGANSHI KU MUNTU NSE 
01-200917-231428_bem_d31_elicit_15  PANTU UKUPITILA MU MWEO NE MFWA PAMO NO KUTUTUBUKA KWAKWA KRISTU EMO LESA APEKANISHE NSHILA YE PUSUKILO NO KWINGILA MU BUFUMU BWAKWE 
01-200917-231428_bem_d31_elicit_16  LYASHI LISUMA MWE
01-200917-231428_bem_d31_elicit_17  UMUSANGO MARKO ALONDOLWELAMO YESU KRISTU UMWANA WAKWA LESA PAMO NGE MBILA NSUMA KU BANTU BA PANO ISONDE CAKUTUPELA ITONTONKANYO MAKA MAKA KU ABANTU ABAYA MUKUSHIMIKA ICEBO
01-200917-231428_bem_d31_elicit_18  BUSHE FINSHI TULONDOLOLA KU BANTU LINTU TUYA MU KUSHIMIKILA 
01-200917-231428_bem_d31_elicit_19  BUSHE TULONDOLOLA PAMULANDU WA LUKUTA LWESU NELYO TUSHIMIKA PAMULANDU WAFYO ICILONGANINO CINGACITILA ABALEUMFWA CEBO 
01-200917-231428_bem_d31_elicit_20  BUSHE TULONDOLOLA PAMULANDU WA FINTU IFYATANTIKWA PA CILONGANINO NELYO TUILONDOLA FYE FWE BENE 
01-200917-231428_bem_d31_elicit_21  TULEKABILA UKUSHIMIKA SHIKULU YESU KRISTU PAMO NGO MULUBUSHI WE SONDE 
01-200917-231428_bem_d31_elicit_22  PANTU ICINE CINE KRISTU E MBILA NSUMA 
01-200917-231428_bem_d31_elicit_23  IFINTU FIMBI FYASHALA FYAKUICITILA FWE BENE KABILI TEKUTI FIPUSUSHE BAKOMFWA BA CEBO 
01-200917-231428_bem_d31_elicit_24  KULI FYE MBILA NSUMA IMO KABILI KRISTU ABA EIYO MBILA NSUMA
01-200917-231428_bem_d31_elicit_25  NGA CAKUTI TWALOLESHA KUBUNTE BWA BATUMWA MAKAMAKA MWIBUKU LYA MILIMO KRISTU UMWANA WAKWA LESA EWALUMBUKA MU KUBILA KWABO 
01-200917-231428_bem_d31_elicit_26  MONENI IFYO PETRO NA PAULO BALELUMBULA KRISTU MU KUBILA KWABO 
01-200917-231428_bem_d31_elicit_27  NATUSOKOLOLE KRISTU UMUSUBWA PAMO NGO MUPUSUSHI WA PANO ISONDE
01-200917-231428_bem_d31_elicit_28  PANUMA YAKULONDOLOLA PANONO ULWAKWA YESU KRISTU PAMO NE MBILA NSUMA MARKO ATENDEKA UKULEMBA PAMULANDU WA BUBOMFI BWAKWA YOHANE KABATISHA
01-200917-231428_bem_d31_elicit_29  TWABELENGA IFI 
01-200917-231428_bem_d31_elicit_30  UBUBOMFI BWAKWA YOHANE BWALI BWAKUTANGILILA BUBOMBI BWAKWA YESU KRISTU
01-200917-231428_bem_d31_elicit_31  YOHANE ALISHIBE KABILI ALIBOMBELE UYU MULIMO WAKUTANGILILO MULUBUSHI
01-200917-231428_bem_d31_elicit_32  YOHANE ASUBILWE UKUBOMBO UYU MULIMO CIBE TALAFYALWA
01-200917-231428_bem_d31_elicit_33  YOHANE ALISHIBE KABILI ALIBOMBELE UYU MULIMO WAKUTANGILILO MULUBUSHI
01-200917-231428_bem_d31_elicit_34  YOHANE ALIPOKELELE UYU MULIMO APELWE
01-200917-231428_bem_d31_elicit_35  ALI NO MUTIMA WAKUIPELA EKUTILA TALEFWAYA KUICITILE FYAKWE
01-200917-231428_bem_d31_elicit_36  PAKULEMBA MARKO ALEBOMFYAKO AMASHIWI YA MU CIPINGO CAKALE PAKULANGA IFYA
01-200917-231428_bem_d31_elicit_37  UBUBOMFI BWAKWA YESU BWATUNTUKA KU KALE
01-200917-231428_bem_d31_elicit_38  EWAISHILE KUKUFIKILISHO BULAYO BWAKWA LESA
01-200917-231428_bem_d31_elicit_39  APO BUBOMFI BWAKWA YESU TABULATENDEKA KULI NO KUBA UMUNTU UWAKUTEYANYA IMITIMA YA BANTU KUKUPOKELELA KRISTU 
01-200917-231428_bem_d31_elicit_40  UYU MUNTU ALI NO KUBA NI YOHANE
01-200917-231428_bem_d31_elicit_41  UBWITE BWAKWA LESA YOHANE KABATISHA AITILWE KULI UBU BUBOMFI CIBE TALAFYALWA 
01-200917-231428_bem_d31_elicit_42  CINTU ICIKANKALA MAKAMAKA KU BANTU ABAIPELA UKUBOMBELA LESA UKWISHIBO KUTILA TE BENE BAITILE KULI UBU BUBOMFI
01-200917-231428_bem_d31_elicit_43  LESA EMWINE WA MULIMO WAKWITA BANTU
01-200917-231428_bem_d31_elicit_44  NALIMO ICI ECILEFWAIKWA UKUPITULUKAMO PAKUTI TUSHININKISHE NGA CAKUTI PAKUIPELA UKUBOMBELA LESA TALITILWE KU MWINE
01-200917-231428_bem_d31_elicit_45  TULI NOKUBOMBA UKUPITILA MWI SENGA LYAKWA LESA PAKUTI TUTWALILILE MU CISHINKA UMULIMO PAMO NGE FINTU MUPASHI WA MUSHILO ATUNGULULA 
01-200917-231428_bem_d31_elicit_46  PAMULANDU WAKUTI YOHANE KABATISHA ALISHIBE CISHINKA ATWALILILE MU CISHINKA UYU MULIMO WAKUTANGILILA YESU UNTU AITILWEKO 
01-200917-231428_bem_d31_elicit_47  IFI TULEFIMWENA MU MUSANGO UNTU ALELONDOLWELAMO ALEISANKONKAPO UWANCILA MAKA UO NSHIFWILE UKWINAMA NO KUKAKULA NSHINGA SHA NDYATO SHAKWE 
