02-200915-233325_bem_197_elicit_0  TEBONSE ABAKALAMBA ABAKWATA AMANO
02-200915-233325_bem_197_elicit_1  TEKUTI WISHIBILE KABELA NGA CAKUTI UMWANA AKAFYALWA NANGU IYO
02-200915-233325_bem_197_elicit_2  TAKUBA KWISHIBA ILYO UMUNTU AKALWALA PANTU UKULWALA KUPUMIKISHAFYE
02-200915-233325_bem_197_elicit_3  UKATASHA BWINO LINTU UKESHIBA IFYO BALEKWAFWA UMO FILOLELE
02-200915-233325_bem_197_elicit_4  UMUNTU UWAMANO ALINGILE ABOMBA IMILIMO YAKWE AKASUBA ELYO UBUSHIKU KUTUSHA
02-200915-233325_bem_197_elicit_5  IMILIMO YABIPA IINGI ICITWA UBUSHIKU
02-200915-233325_bem_197_elicit_6  NANGU WINGESHA NAMAKA YOBE YONSE UKULENGA UNTU WALUFYENYE ALABEKO KUFYO WACITILE TEKUTI CIBOMBE
02-200915-233325_bem_197_elicit_7  WIKESHA UKUBALA UMUNTU PA MWABO AKAKUCITA ICABIPA
02-200915-233325_bem_197_elicit_8  ILYO ULI PAMILIMO UFWILE WABA UWAIPEKANISHISHA BWINO
02-200915-233325_bem_197_elicit_10  UMUNTU CINTOMFWA TAKOKOLA PA CALO
02-200915-233325_bem_197_elicit_11  UMUKOTE UUSHINGAILUNGILA ALIKWATAKO ICAKANIKO KU BUBAMFI BWA BALUMENDO
02-200915-233325_bem_197_elicit_12  UMUKALAMBA UUSHINGAIBOMBELA PALWAKWE ALINGILE UKULYA IFILEBOMBA ABANA BAKWE
02-200915-233325_bem_197_elicit_13  MWIPELELAFYE PA KUKWATA UMWANA UMO MUFWILE MWALUNDAPO NABAMBI
02-200915-233325_bem_197_elicit_14  ILINGILINE ABANA EBALETELELA ABAFYASHI BABO
02-200915-233325_bem_197_elicit_15  IFIKALA MUBUTALA FILAFULA UKUCILA IFYO UBUTALA BUMONEKA KUNSE
02-200915-233325_bem_197_elicit_16  UMUNTU NGABAMUTANA TACILEPILIBULA UKUTI NAWENA AKACITE CIMO CINE
02-200915-233325_bem_197_elicit_17  UBUTANI TEMULANDU WAKUTI WALETA ICIMFULUNGANYA MU CALO
02-200915-233325_bem_197_elicit_18  UMWANA AFWILE AYAFWILISHA ABAFYASHI ILYO BAKOTA NGAFILYA NAWENA BAMWAFWILE KU BWAICE BWAKWE
02-200915-233325_bem_197_elicit_19  UMWANA AFWILE AYAFWILISHA ABAFYASHI ILYO BAKOTA NGAFILYA NAWENA BAMWAFWILE KU BWAICE BWAKWE
02-200915-233325_bem_197_elicit_20  UMUNTU UIMONA KWATI TAKWATA FILUBO AKAISANGA NASEBANA
02-200915-233325_bem_197_elicit_21  UKUBUTUKISHA SANA
02-200915-233325_bem_197_elicit_22  UKUITUNTUMBA UKUBOMBA IFYO USHINGACITA
02-200915-233325_bem_197_elicit_23  NGAWATUMPA BAKUBELELA ULUSE WITILA NALIMBI NKATUMPA CIKABA CIMO CINE
02-200915-233325_bem_197_elicit_24  UKUKANA KWATA BANA ABAKUTUMA KUBIPISHA UBUSHIKU AKASUBA KUTI WATUMAKO NO MWINA MUPALAMANO
