01-180101-060018_bem_d31_elicit_0  UBUSEKO UKUKWELELA KWA CISHINKA UKWAPWILILIKA KULETO BUSEKO NE NSANSA
01-180101-060018_bem_d31_elicit_1  UKUCETEKELWA ABENA KRISTU NANGU ULUKUTA ULWAKWATA UMUTIMA WAKWELELA LULACETEKELWA
01-180101-060018_bem_d31_elicit_2  UKUIPELA UBWELELO KUTI LYABA LISAMBILILO KABILI CAKUMWENAKO KU BANTU ABASHATETEKELA 
01-180101-060018_bem_d31_elicit_3  EICO KUTI BWALENGA UMUNTU UKUIPELA KULI SHIKULU
01-180101-060018_bem_d31_elicit_4  UKUKULA KWA MUPASHI UBWELELELO KUTI BWALENGA UMUNTU NELYO LUKUTA ULWAELELWA UKWISHIBA ICILUBO CABO PAKUTI BALOMBE UBWELELO
01-180101-060018_bem_d31_elicit_5  UKUPOKELELA IMBILA NSUMA NI MU BWELELO EMO TWISHIBILA IMILIMO IYO KRISTU ABOMBELE PA CAPINDAMA
01-180101-060018_bem_d31_elicit_6  UKULAPILA INSHILA YAKWA LESA IYE PUSUKILO PAMO NO BWELELO KU MAKA YA MUPASHI WA MUSHILO EFILENGO MUNTU NELYO LUKUTA UKUSHININWA PAMULANDU WA LUBEMBU ELYO KWABA UKULAPILA
01-180101-060018_bem_d31_elicit_7  NI PANUMA YA KULAPILA UKUFUMA MU BWELELO ELYO KUBA UKWIKALILA NO KUBOMBELA SHIKULU
01-180101-060018_bem_d31_elicit_8  MU MAPEPO TOTELENI LESA PAMULANDU WA BWAFYA UBO ULUKUTA LWASANGWAMO UKWABULA UKULABA UKUTI FYONSE FIBOMBELAKO CAPAMO KUKULETAKO UBUSUMA KU BATEMWA LESA ABAITWA UKULINGANA NO
01-180101-060018_bem_d31_elicit_9 KUPANGA KWAKWE ABENA ROMA EIGHT VERSE TWENTY EIGHT 
01-180101-060018_bem_d31_elicit_10  KABILI MWIBUKISHE UKUTI E NSHILA LESA AKOSESHAMO ULUKUTA ONE ABENA TESALONIKA FIVE EIGHTEEN
01-180101-060018_bem_d31_elicit_11  FUMYENI UBUKALI ICILULO BUCAIBELA ICIPYA NO KUCILA MWIPATA UMUNTU NELYO UMO ABENA EFESE FOUR TWENTY NINE TO THIRTY ONE ILYO MULEBOMBA KUKU CIMFYO LUBEMBA ULWAISA PA LUKUTA
01-180101-060018_bem_d31_elicit_12  BUSHE UBWELELO BWALIKWATE CIBWESHA
01-180101-060018_bem_d31_elicit_13  PAKUBALA NATUMONE FYAFUMINE MU MULANDU WAKWA CHANDE UMULUMENDO UWAIBILE UMUPETO WA MOTOKA ELYO BAMWELEKA
01-180101-060018_bem_d31_elicit_14  CHANDE ALIMWENE CILUBO CAKWE 
01-180101-060018_bem_d31_elicit_15  CHANDE AISHIBE PAMULANDU WA KUYEBELELA ELYO NO KWELELWA
01-180101-060018_bem_d31_elicit_16  ATWALILILE UKUBA UMUNTUNGWA KABILI MU LUPWA LWAKWE
01-180101-060018_bem_d31_elicit_17  ATWALILILE UKUBA MWI BUMBA LYA BANTU
