01-201005-222019_bem_fb0_elicit_0  ICO ING'UNI YAPATILA INSHIMU
01-201005-222019_bem_fb0_elicit_1  KALE IMYAKA ISHISHIBANTU ING'UNI YALI NI CIBUSA WA NSHIMU BATEMWANENE NGANSHI BALEYANGALILA PAMO NO KWAFWANA
01-201005-222019_bem_fb0_elicit_2  NGA IFINTU TWAISHIBA CILA MWAKA IFYANI NGA FYAUMA ABANTU BALAPOSA UMULILO WA KUBUUTISHA IMPANGA PAKUTI MU MPANGA MUWAME
01-201005-222019_bem_fb0_elicit_3  BUSHIKU BUMO ING'UNI YALIKELE MU CISANSALA CAIKO ILELIISHA UTWANA 
01-201005-222019_bem_fb0_elicit_4  KUTI YATI ILOLESHE KU KABANGA YAMONA INTUMBA YA MULILO UKALAMBA NGANSHI 
01-201005-222019_bem_fb0_elicit_5  AWE YALALANGULUKA AITI YANGU NE MULANDA ABANA BANDI BALAISAPYA KU MULILO UYU ABALWANI BAOCA KANSHI NALACITA SHANI 
01-201005-222019_bem_fb0_elicit_6  YAIMA UKUYAIPUSHA AMAKANGA INKWALE IMINOMBA NE FYUNI FYONSE IFIKALAMBA UKUTI FISE FIPUSUSHCKO ABANA BAIKO 
01-201005-222019_bem_fb0_elicit_7  AWE FYONSE FYAKAANA AFITI KABILI NA IFWE BENE TULI NO KUPUSUSHA ABANA BESU NI BUKALULU INOMA PA YAKWE
01-201005-222019_bem_fb0_elicit_8  ING'UNI AMANO YAPELA
01-201005-222019_bem_fb0_elicit_9  UMO YALI ILETONTONKANYA YASUKA YAIBUKISHA BACIBUSA BAIKO BANSHIMU AWE BWANGUBWANGU EKO YABUTUKILA UKUYAFISHA UMULANDU
01-201005-222019_bem_fb0_elicit_10  BANSHIMU BATI BOMFWE UMULANDU ABATI ALA MWANA WESU BUSHE ICO ECO ULECUSHIWA NO KUCUSHIWA SHI NATULEYA FYE 
01-201005-222019_bem_fb0_elicit_11  AWE APO PENE BAIMA BONSE BALUNGAMA NO KWALI ICISANSALA CA NG'UNI 
01-201005-222019_bem_fb0_elicit_12  NG'UNI UMWINE ALAKAKULA NE CISANSALA UKO AKAKILE INSHIMU SHAYA NASHISENDA 
01-201005-222019_bem_fb0_elicit_13  INSHIMU SHAPITA MU MULU UMUTALI SANA NG'UNI NAYO ILEKONKA NA PANUMA 
01-201005-222019_bem_fb0_elicit_14  INSHIMU SHISHICISHA FYE INTUMBA YA MULILO SHAYAIKALA NA KU MUTI UMBI MU MUPYA NG'UNI ALSAKAKILA NE CISANSALA KU MUTI WINE UYO 
01-201005-222019_bem_fb0_elicit_15  AWE BAMWANA GUNI BAPUSUKA
01-201005-222019_bem_fb0_elicit_16  BAGUNI NA BANSHIMU BAIKELE IFYO FINE BALEUMFWANA 
01-201005-222019_bem_fb0_elicit_17  NG'UNI ALETI NGA AMONA BANSHIMU BALEFWAYA UKUKUKILA KUMBI E WALEBAFWAILA ULUPAKO 
01-201005-222019_bem_fb0_elicit_18  KABILI ALEBALENGWILA NO MULUBA NE FINTU FIMBI IFYAKUSANGULA UBUCI
01-201005-222019_bem_fb0_elicit_19  ALA MUKWAI KUTI UMO INSHIKU SHILEPITA ULUSEBA LUMBI LWAFIKA ABANTU NABO TABALEKA KOCA MULIIO MU MPANGA 
01-201005-222019_bem_fb0_elicit_20  AWE BAUTUMBIKA UWAKUTI ULECILUKA AMABAKA AYENEYENE AYAKUTI UMUTI NELYO ULEPE SHANI WACILUKA FYE UMUKA UMO NA MABULA NAYEKATILA
01-201005-222019_bem_fb0_elicit_21  KUTI NG'UNI NAIKALISHA AMONA KWALETWA ATI NA LELO MWANDI LWANYA KAMANGILILE MULAMBA TALATULWILA 
01-201005-222019_bem_fb0_elicit_22  ALUNGAMA NA KULI BACIBUSA WAKWE NABO TE BAKAANI BAIMA FYE BWANGUBWANGU
01-201005-222019_bem_fb0_elicit_23  PA MUKU UYU MU CISANSALA CAKWA NG'UNI MWALI AMANI TE BANA IYO 
01-201005-222019_bem_fb0_elicit_24  BANSHIMU BASHIFIKA FYE BECITA NGA FILYA FINE BACITILE UMWAKA WAPWILE 
01-201005-222019_bem_fb0_elicit_25  BASENDA ICISANSALA NO KUCILUSHA UMULILO BAYAFISHA NA KUMUTI UMBI MU MUPYA  
01-201005-222019_bem_fb0_elicit_26  NG'UNI AKAKA NE CISANSALA NGA MULYA MWINE ACITILE 
01-201005-222019_bem_fb0_elicit_27  KU CESHAMO LILYALINE ALEKAKA ICISANSALA ILINI LIMO LYASOLOMOKA LYAILANGA NA PANSHI NA MPA LYATOBEKA NO KUTOBEKA
01-201005-222019_bem_fb0_elicit_28  INSHIMU SHICIMONA UMUSUNGWISHA WA LINI UKO WAKASHIKA PANSHI NGO MULUBA SHAYAPO KUTI UKWNUNSHAPO SHAUMFWA ICENA ICISUMA SANA 
01-201005-222019_bem_fb0_elicit_29  AWE SHAIBUBAPO SHAPWILA TONSE UTUFUMINE MU LINI 
01-201005-222019_bem_fb0_elicit_30  ICO ILINI LYAWAMISHA AWE NOMBA SHATI FYE NATUPONYE NA YALYA YENE YALI MU CISANSALA
01-201005-222019_bem_fb0_elicit_31  UMUNABO JUNI ATI ATILEKO MWE BANANDI NGA KANSI NI SHANI MWALA  
01-201005-222019_bem_fb0_elicit_32  YABA TE MU KANWA NKOKWELE BAMUBASAMO NO LUBOLA ULWINELWINE IYO INE E MIFULUMUKILE 
01-201005-222019_bem_fb0_elicit_33  AMANI YONSE YATOBAIKA INSHIMU SHAPWILA FYE YONSE LUNI PA KUBWELA UKO ACIBA ABUTUKILE ASANGA FYE IFIPAAPA FYEKAFYEKA E FILEMULOLESHA 
01-201005-222019_bem_fb0_elicit_34  TE PA KUFULWA KWENA ICAKUCITA CABULA ALAMANAMANA FYE
01-201005-222019_bem_fb0_elicit_35  NOMBA NA IMWE KUTI MWATUNGANYA IFYO CALI NG'UNI ALUNGAMA PA MUTANDA APO AMWENE UMUNTU 
01-201005-222019_bem_fb0_elicit_36  AMUSANGA ALAMWEBA ATI WE MUNTUNSE UMFWA UMULANDU NALAKUTUULA
01-201005-222019_bem_fb0_elicit_37  UMUNTUNSE ATI ALE MUNE GUNI KANSHI CINSHI CILEKUCUSHA ULEKE NKWAFWEKO
01-201005-222019_bem_fb0_elicit_38  NG'UNI INE UMUTIMA NAUKALIPA SANA KABILI ULETONA UMULOPA 
01-201005-222019_bem_fb0_elicit_39  TWAYAMBANA ICIBUSA NA BANANDI BANSHIMU KALE BALENCITA BWINA LELO PA BUSHIKU BWA LELO BANCITA ICABIPA SANA 
01-201005-222019_bem_fb0_elicit_40  BANTOBAWILA AMANI NO KUPWILA BAPWILA FYE YONSE 
01-201005-222019_bem_fb0_elicit_41  E CALENGA NAISA KULI IWE UKUTI UMPANDEKO AMANO
01-201005-222019_bem_fb0_elicit_42  UMUNTUNSE OH BUSHE EFYO CILI
01-201005-222019_bem_fb0_elicit_43  CISUMA SANA KABILI WACITA BWINO PA KUBUTUKILA KULI INE 
01-201005-222019_bem_fb0_elicit_44  UMFWA AMANO NALAKUPANDA
01-201005-222019_bem_fb0_elicit_45  IWE APO UPUPUKA KABILI WALISHIBA NAPO INSHIMU SHIKALA PE E CALENGA KANSHI IWE ULESHILENGULA NGA WASHIMONA APO SHILI WAISANJITA 
01-201005-222019_bem_fb0_elicit_46  INE NAKULASHIPANDA NO KUBUULAKO UBUCI 
01-201005-222019_bem_fb0_elicit_47  NA IWE WALISHIBA IFYO INE NATEMWA UBUCI
01-201005-222019_bem_fb0_elicit_48  NGA NAPANDA NA IWE NAKULAKUSHILAKO APO NALIILA NA IWE WAISALYAPO
01-201005-222019_bem_fb0_elicit_49  NG'UNI ATI WE MUNTUNSE WASOSA AMANO AYASUMA NGANSHI CINECINE MWE BANTU MWABA NA MANO
01-201005-222019_bem_fb0_elicit_50  UKUFUMA UBUSHIKU BWA LELO NAKULABETILILA BANSHIMU TABAKAMONE PAKWIKALA 
