03-200916-120506_bem_798_elicit_0  UMWAKA WA CIBEMBA WAYAKANIKANA MUFIPANDE FINE ELYO IMYESHI NAYO YABA IKUMI LIMO NAITATU 
03-200916-120506_bem_798_elicit_1  EMUKUTILA UMWAKA WA CISUNGU WAIBELA PANTU WAKWATA IMYESHI IKUMI LIMO NAIBILI 
03-200916-120506_bem_798_elicit_2  NANGU CAKUTI PALI INO NSHITA TULEKONKA SANA UMWAKA WA CISUNGU CISUMA UKUTI TWAISHIBA IFYO IMYESHI YAKONKANA MUMWAKA WA CIBEMBA
03-200916-120506_bem_798_elicit_3  MUKWAI PESAMBA PALI UBUTANTIKO BWA MYESHI KUKUSO KULI IMYESHI MU CIBEMBA ELYO KUKULYO KULI IMYESHI MU CISUNGU
03-200916-120506_bem_798_elicit_4  IMIBUNDO ENSHITA LINTU ULULEMBELYA LUKOSA ELYO NABANYENYE BATENDEKA UKULILA 
03-200916-120506_bem_798_elicit_5  UBUCI MUMPANA NABO ELYO BUFULA PANTU UBULUBA UBO INSHIMU SHIPANGAKO UBUCI ELYO BUFULA 
03-200916-120506_bem_798_elicit_6  IYI INE NSHITA ELYO NE MFULA YAMULOBOKO ILOKA IKUMBI LIMO NANGU YABILI 
03-200916-120506_bem_798_elicit_7  NGAYALOKAKO FYE NINSHI NE MILIMO YATENDEKA PAKUTI ILYO AKABENGELEKANONO KALEISA NINSHI ABANTU BALIBOMBA KALE IMILIMO YABO 
03-200916-120506_bem_798_elicit_8  ICO BETILA ATI CINSHIKUBILI NICO UYU MWESHI WAYAKANIKANA PABILI WAKWATAMO ULUSUBA NAMAINSA PANTU EMWESHI UNTU IMFULA ILOBOKAMO 
03-200916-120506_bem_798_elicit_9  UMUPUNDUMILIMO NAO ECO BAWITILA IFYO NICO EMWESHI UNTU IMILIMO IINGI IBOMBWAMO
03-200916-120506_bem_798_elicit_10  AMAINSA ENSHITA YAMFULA MU KABENGELE ENSHITA LINTU IMFULA ILOKESHA SANA 
03-200916-120506_bem_798_elicit_11  KWALIBA NE LUMBO ILYO BATILA KABENGELE NSAFYA MANIKA EMUKUTILA ENSHITA ILYO ICALO CIBUNDA NOKUSAPA SANA 
03-200916-120506_bem_798_elicit_12  IYI INE NSHITA ELYO KUBA NOKUTOMONA IFYAKULYA IFYAPALA IMYUNGU IFIPUSHI IFIBIMBI INYANJE NAFIMBIPO
03-200916-120506_bem_798_elicit_13  KUKULEKELESHA KWA MAINSA KWALIBA UMWESHI UNTU BATILA SHINDE 
03-200916-120506_bem_798_elicit_14  UYU MWESHI BAULUMBANYA ABATI NI SHINDE BULALE NAMUCIPE 
03-200916-120506_bem_798_elicit_15  EMUKUTILA ENSHITA IFYAKULYA FIFULA NGANSHI PANTU NINSHI ABANTU NABASOMBOLA BALETI NGABALYA BAIKUTA FIMO FILESHALAKO NA MUFIPE
03-200916-120506_bem_798_elicit_16  PA MWELA ENSHITA LINTU ICIMWELA CISA CALETA KANKUNGWE ELYO CALAFIMBAULA NAMAYANDA ELYO NEMIBILI YABAFYE MPEPOMPEPO 
03-200916-120506_bem_798_elicit_17  IYI ENSHITA INTU ABAUME BATENDEKA UKUTEMA ELYO BANAMAYO NABO BATENDEKA UKUSEEPA
03-200916-120506_bem_798_elicit_18  ULUSUBA NINSHITA YA CIPUKI NAKASUBA AKAKABA 
03-200916-120506_bem_798_elicit_19  UMWESHI WA AUGUST WAYAKANIKANAMO IMYESHI IBILI MUMWAKA WACIBEMBA 
03-200916-120506_bem_798_elicit_20  MWALIBA AKASAKANTOBO LINTU AMABULA AYAPYA KUFIMUTI AYO BETA ATI ULULEMBELYA YATENDEKA UKUMENA ELYO NA NYENYE NINSHI ATENDEKA UKULILA 
03-200916-120506_bem_798_elicit_21  PANUMA YA KASAKANTOBO PAKONKA IPUKUTU ILYO ILISA MUKWINGILAKO NA PANONO NAMUMWESHI WA SEPTEMBER ULUSUBALUNONO 
03-200916-120506_bem_798_elicit_22  IYI ENSHITA ELYO KUTENDEKA UKUKABA ELYO NAMABULA KUFIMITI YAKOSA YAFUMA MULULEMBELYA
03-200916-120506_bem_798_elicit_23  NGATWAFIKA MULUSUBA NINSHI TWAFIKA NAMUKUSONDWELELA UMWAKA WA CIBEMBA KABILI TWABWELELA NAKU MIBUNDO
03-200916-120506_bem_798_elicit_24  PALI INO NSHITA PAMULANDU WAKUTI KWALISA IMISANGO IMBI IYAKULIMINAMO TEMILIMO YONSE IYALONDOLOLWA PAMULU IIBOBWA IYO 
03-200916-120506_bem_798_elicit_25  PALI INO NSHITA MILIMO FYE IINONO IILEBOMBWA UKULINGANA NEFYO YALEBOMBWA KALE 
03-200916-120506_bem_798_elicit_26  LELO NGA MULEFWAYA UKWISHIBA BWINO IFYO IMILIMO IBOMBWA NANGU IFYO YALEBOMBWA KALE 
03-200916-120506_bem_798_elicit_27  KUTI MWAFWAYA AKATABO AKALEMBWA NABA EDMUND KASONDE AKAKUTI IMILIMO YA BENA KALE
03-200916-120506_bem_798_elicit_28  INSHIKU SHA MULUNGU MU CIBEMBA
03-200916-120506_bem_798_elicit_29  UMULUNGU MU CISUNGU WAKWATA INSHIKU CINELUBALI 
03-200916-120506_bem_798_elicit_30  NA MU CIBEMBA MWINE UMULUNGU WAKWATA INSHIKU CINELUBALI TAFYAPUSANA IYO
03-200916-120506_bem_798_elicit_31  MUBUTANTIKO BULI PESAMBA MWALASANGA INSHIKU IFYO SHATANTAMA 
03-200916-120506_bem_798_elicit_32  KU KUSO KULI AMASHINA YANSHIKU MU CIBEMBA ELYO KU KULYO KULI AMASHINA YANSHIKU MU CISUNGU
03-200916-120506_bem_798_elicit_33  UBUSHIKU BWA CITAMFI EBUSHIKU UBO TUTILA SANDE NANGU SONDO
03-200916-120506_bem_798_elicit_34  UKULINGANA NOKUPENDA KWA KWA LESA UBU EBUSHIKU BWAKUTENDEKELAPO UMULUNGU 
