14-201008-145225_bem_40e_elicit_0  IFYO MULENGA ALEPEPA
14-201008-145225_bem_40e_elicit_1  NATUMFWA UKUTI MULENGA EKO ALI LELO TATULAUMFWA IFYO ALECITA PA KUPEPA IMILUNGU YAKWE KUNTU ALEPEPELA 
14-201008-145225_bem_40e_elicit_2  TWALISHIBA UKUTI UMUNTU ONSE NGA ALI UKUTALI NE NCITO ABOMBA UMUTIMA TAWIKALA BWINOBWINO
14-201008-145225_bem_40e_elicit_3  KUTI ALESAKAMANA UKUTI NALIMO NAKULACELWA ATEMWA UMULIMO WANDI TAWAKAPWE BWANGU 
14-201008-145225_bem_40e_elicit_4  KANSHI ALI FYE NO KUKUKILA KULYA KWINE 
14-201008-145225_bem_40e_elicit_5  E CALENGELE NO KUTI MULENGA AKUKILE KU CIPOOMA CA KALAMHO EKO ABALILE UKUPEPELA
14-201008-145225_bem_40e_elicit_6  AILESANGA ICISOKA ICIKALAMBA ICALI MU MENSHI PALYA PENE KALAMBO APONESHA AMENSHI 
14-201008-145225_bem_40e_elicit_7  CALI ICABUTA PA MPUMI ABANTU BALETI CABA NE MPANDE PA MPUMI 
14-201008-145225_bem_40e_elicit_8  ICISOKA CINE ICI ECO BAINIKE NE SHINA LYA KALAMBO 
14-201008-145225_bem_40e_elicit_9  KANSHI MULENGA AIKELE KULYA KWINE EKA KWATI LISHILU 
14-201008-145225_bem_40e_elicit_10  ABALILEPO UKULIMA IBALA ILYO ABYELEMO IMBUTO IMISANGO YONSE MWALI AMALE AMASAKA IMBALALA KALUNDWE 
14-201008-145225_bem_40e_elicit_11  SONKWE ILANDA INYANJE IFYUMBU IFIPUSHI IMYUNGU NE FIBIMBI NA FIMBIPO 
14-201008-145225_bem_40e_elicit_12  MUMBALI YE BALA ILI ABYELEMO IMONO NASHO SHATWELE KAPELEKO
14-201008-145225_bem_40e_elicit_13  KU MONO ALEENGAKO AMAFUTA YA KUSUBA UMWINE NO KUSUBA KU CIPE ALESENDELAMO IFYA KUBOMYA PA KUPEPA ALESUBAKO NE NKULA PAKUTI CIBE ICABUSAKA
14-201008-145225_bem_40e_elicit_14  KABILI UKUSHINGULUKA UMUTANDA WAKWE ALIMINEKO IFYUMBU 
14-201008-145225_bem_40e_elicit_15  PALYA PENE PA MUTANDA EPO ALEFUMA ILYO ALEYA MU KUPEPA PALI KALAMBO
14-201008-145225_bem_40e_elicit_16  MU MANO YAKWE ALETONTONKANYA UKUTI PALYA PANTU PALI IMFUMU IKALAMBA IYACITA CILYA CIPAPWA ICAKUTI UKU KONSE UMUMANA WAFUMA WABA FYE UUSUMA UWATAMBALALA 
14-201008-145225_bem_40e_elicit_17  PANO PENE EPO CAISABA UMUYENGE NA MENSHI YALEPONA IFI NE CONGO ICIKALAMBA 
14-201008-145225_bem_40e_elicit_18  CINECINE LESA ABAPO WA MAKA YONSE
14-201008-145225_bem_40e_elicit_19  ALEYAKO CILA BUSHIKU 
14-201008-145225_bem_40e_elicit_20  ALEYA MU KOOCA IFILYO ALIMINE 
14-201008-145225_bem_40e_elicit_21  ALEFYOCA UMUKU UMO PA MULUNGU UMO 
14-201008-145225_bem_40e_elicit_22  ALEFIPOSA NA PALYA AMENSHI YAPONENA ALESOSA NA MASHIWI ATI 
14-201008-145225_bem_40e_elicit_23  LESA WA MAKA YA KWIMBA ICI ALYE PAKUTI NA INE AMPELE AMAKA YA KULIMISHE FILYO NKALELYA NKENDE NO MUTENDE 
14-201008-145225_bem_40e_elicit_24  IFILYO FILYA FYALEYA NO MUMANA FIMBI NAFYO ICISOKA KALAMBO CALELYA 
14-201008-145225_bem_40e_elicit_25  ALELIMA IFILYO FYVAKWE MU NIKA YA BUNINGI 
14-201008-145225_bem_40e_elicit_26  PANTU INSHITA ILYA ABANTU TABAISHIBE KULIMA BALELIMA PANONO MU MANIKA 
14-201008-145225_bem_40e_elicit_27  IFILYO FYAKWE FYAFUNDILE NGANSHI
14-201008-145225_bem_40e_elicit_28  BUSHIKU BUMO NYINA NA NKASHI YAKWE MWENYA BAFUMINE KU MUSHI ABATI 
14-201008-145225_bem_40e_elicit_29  NATUYE TULAMONA MULENGA WESU UKU KUNTU AIKALA EKA TULEMUFULUKA MUNO
14-201008-145225_bem_40e_elicit_30  BAIMA NO TUBUNGA MU KAPE NA TUCILEMBA MU KANWENO ABATI 
14-201008-145225_bem_40e_elicit_31 TUTWALILE UWAIKALA EKA MU MPANGA TACAWAMA UKUYA KU MWANA ULEIKAMPA FYE NGA WE CIPUBA
14-201008-145225_bem_40e_elicit_32  KATAYI ULYA NA MWANE BAIPOSA NA MU NSHILA BALAYA 
14-201008-145225_bem_40e_elicit_33  TABAILEMUSANGA PA MUTANDA BASANGILE NAYA KU KUPEPA KU CIPOOMA 
14-201008-145225_bem_40e_elicit_34  UBO BWINE E BUSHIKW ALELEKELA LESA IFINTU ALIMINE 
14-201008-145225_bem_40e_elicit_35  BANYINA ILYO BAMWENE IFYO ALIMISHE BASUNGUKA NGANSHI BAPANGA NO KWIKALA PAMO NA MULENGA 
14-201008-145225_bem_40e_elicit_36  MWENYA NKASHI YAKWE ATAMPA UKUMUBILIKISHA PA KWISHIBA UKO ALOLELE PAKUTI OMFWE ABWELELE KU MUTANDA 
14-201008-145225_bem_40e_elicit_37  LELO ICO ALI PA CIPOOMA ICALECITA ICONGO TETI ATESHE
14-201008-145225_bem_40e_elicit_38  BASUKA BAMONA AKASHILA UMO ALOLA PA KUYA KULYA KUNTU NABO EKO BAYA NO TUPE TWINE BAMULETELE 
14-201008-145225_bem_40e_elicit_39  KUTI BATI BALOLESHE BAMONA IFIMENSHI FILEFUMA APATALI NO KUPONA MU MUYENGE PANSHI PAMBIPAMBI 
