02-200917-190114_bem_197_elicit_0  MUKASHITA FYE AKANONO
02-200917-190114_bem_197_elicit_1  UMUNTU UMUTULATULAFYE USHAIBIKWA NAKUNTU AFUMA NAPAKWIKALA TAKWATA
02-200917-190114_bem_197_elicit_2  UMUNTU UWAKASO
02-200917-190114_bem_197_elicit_3  UMUNTU UWAKASO
02-200917-190114_bem_197_elicit_4  UMWANA UWAFYALWA FYE KA
02-200917-190114_bem_197_elicit_5  UMUNTU UWACINSHIKU UUSHILAYA BUFI KWATI FYE KASUBA AKSHICELWA KUTULA NOKUWA
02-200917-190114_bem_197_elicit_6  UKUFILWA UKUMONANA NA UNTU WACILAFWAISHA
02-200917-190114_bem_197_elicit_7  UMUNTU UWALUKA ALUKA KWATI KASUBA AKASHISANGWA PANCENDE IMO INE
02-200917-190114_bem_197_elicit_8  UKULWALA NOKUFWAISHA IFYAKULYAEMUKUTI UKULWALA INSALA UKUCILA UBULWELE
02-200917-190114_bem_197_elicit_9  ICUNGULO CILEKUBWESHAEFYO BEBA UMWAICE UWABUTUKA PA NGAND PANUMA ALUFYANYAPO FIMO
02-200917-190114_bem_197_elicit_10  UMUNTU UWATEMWA UKUTUMPAIKA ABANANKWE
02-200917-190114_bem_197_elicit_11  UKUSEKWA KU BANTU BONSE
02-200917-190114_bem_197_elicit_12  UKUBANGILILILA KUSUMA KUTI WAKWATA IFISUMA
02-200917-190114_bem_197_elicit_13  ICILUBO CAKUBALILAPO KUTI MWACILABAKO NOMBA NGACABWEKESHAPO CILAKALIFYO MUTIMA
02-200917-190114_bem_197_elicit_14  CAKUSHININA
02-200917-190114_bem_197_elicit_15  UMUTI TEKUTI UBOMBE BWINO UKWABULA AMAKA YAKWA LESA
02-200917-190114_bem_197_elicit_16  KULI UBWAFYA KUNTANSHI
02-200917-190114_bem_197_elicit_17  UMUNTU UUSHIFWAYA KUIBOMBELAFYE KANO FYE BAMWEBAWILAPO
02-200917-190114_bem_197_elicit_18  UMULANDU NAWISHIBIKWA KULI BONSE TAPALI NO MWAKUSENGULWILA
02-200917-190114_bem_197_elicit_19  UMUNTU UUBUKILA IFYALACITIKA ELYO AISALANDA IFYAKUMUPUSUSHA MUMULANDU
02-200917-190114_bem_197_elicit_20  INSHITA YAKUBULISHAMAKAMAKA UMWESHI WA KABENGELE KANONO
02-200917-190114_bem_197_elicit_21  UMUNTU UWABUFI
02-200917-190114_bem_197_elicit_22  UMUNTU UWABUFI
02-200917-190114_bem_197_elicit_23  UMUNTU UWABUFI
02-200917-190114_bem_197_elicit_24  UKULETELELA ABALEKUSUNGA PAMULANDU WABULIILI BOBE
