01-200922-000917_bem_d31_elicit_0  YESU WENE TANENWIKE NANGU ABANTU ABO ALEKUSHA BELEFILWA MU TUNTU UTWINGI
01-200922-000917_bem_d31_elicit_1  KANSHI UKU KUSOSOMBA UKUKALAMBA UKULI KULI IFWE FWE BALI MU BUTUNGULUSHI ILELO
01-200922-000917_bem_d31_elicit_2  MUKWAI TULINGILE UKUPOSAPO INSHITA NA MAKA YESU UKUKULA UTUBUNGWE TWAKUBOMBA IMILIMO
01-200922-000917_bem_d31_elicit_3  SHIKULU YESU APOSELE IMYAKA ITATU ALEKULA FYE IBUMBA UKULINGANA NO KUMONA IFINTU ABANTU IKUMI NABABILI BABOMBELE PANUMA 
01-200922-000917_bem_d31_elicit_4  KUTI ILELO TWALANDA UKUTI KANSHI ILYA MYAKA ITATU YESU APOSELE PAKUPANGA ABASAMBI YALIBOMBELE BWINO 
01-200922-000917_bem_d31_elicit_5  NAIFWE KUTI CATUSENDELA AKASHITA AKAKALAMBA PAKUTI TUKUSHE IBUMBA ILYA KUTUMA MUMULIMO WAKWA LESA 
01-200922-000917_bem_d31_elicit_6  TATUKWETE INSHILA IMBI
01-200922-000917_bem_d31_elicit_7  TULINGILE FYE UKUPASHANYA SHIKULU YESU KRISTU NOKUTAMPAKO UKUIBIMBA MULI UYU MULIMO 
01-200922-000917_bem_d31_elicit_8  KUKUSENAMINA KWAKWA LESA TUKABOMBA BWINO
01-200922-000917_bem_d31_elicit_9  ICI CITABO MWABA AMASHIWI NA MASHINA YAMO YAMO AYAKALAMBA AYASALWA UKUFUMA MU CIPINGO 
01-200922-000917_bem_d31_elicit_10  CILA ISHIWI NESHINA BALILILONDOLOLA 
01-200922-000917_bem_d31_elicit_11  ISHIBENE UKUTI ICI CITABO TACAKWATA AMASHIWI YONSE AYA MU CIPINGO
01-200922-000917_bem_d31_elicit_12  PALI CILA ISHIWI NESHINA PALIBA IMBONI AYENGI AYALANDA PALI ILYO ISHIWI
01-200922-000917_bem_d31_elicit_13  ICI CITABO KUTI CAYAFWA BAKASHIMIKA UKUPEKANYA BWINO IMBILA NANGU ISAMBILILO 
01-200922-000917_bem_d31_elicit_14  ELYO KABILI ICI CITABO KUTI CAYAFWA UMWINA KRISTU ONSE UULEFWAYA UKUSAMBILILA IMILANDU YA MU CIPINO BWINOBWINO 
01-200922-000917_bem_d31_elicit_15  ICI CITABO KUTI CATWAFWA UKUSANGA AMALEMBO AYO TULEFWAYA BWANGUBWANGU 
01-200922-000917_bem_d31_elicit_16  AMASHIWI YONSE NAMASHINA YATANTIKWA UKULINGANA NA ICILEMBO ICANTANSHI KULI ILYO ISHIWI 
01-200922-000917_bem_d31_elicit_17  MONENI UBULONDOLOSHI PEBULA IYA CITATU
