13-201009-112851_bem_40e_elicit_0  BALI BALANDA NA MAMA AMASHIWI YAMO IFI
13-201009-112851_bem_40e_elicit_1  LELO TATWACIMWISHIBA LELO MAMA WENA ACIBA ALEMULUMBA NA MALUMBO YAMO IFI 
13-201009-112851_bem_40e_elicit_2  BUSHE NANI NOKO ABA NI KWI
13-201009-112851_bem_40e_elicit_3  BAKAMUKWAMBA BAPOKA ABATI NI MULENGA ULYA AKUMBILE NAMA ICELE MUNDA SHILYA TWALILE ICALO CA LUBEMBA CONSE 
13-201009-112851_bem_40e_elicit_4  AISHILE TULESHA NO KULYA KATAPA NO BOWA ATI KATAPA MAPIPO YA BANA UBOWA NABO MATWI YA BAFWA
13-201009-112851_bem_40e_elicit_5  NAIPUSHA BAKAMUKWAMBA NATI BUSHE AMULALYA KATAPA NO BOWA NGA CALI SHANI
13-201009-112851_bem_40e_elicit_6  ABATI NA IFWE NGA TWALIKUMBILWE ICELE MUNDA NGE NAMA 
13-201009-112851_bem_40e_elicit_7  ALA ENA ATILA ICO ALESHA NINSHI ABANTU BONSE BALEBEELA PANTU BATIINA UKUFWA 
13-201009-112851_bem_40e_elicit_8  ICO WE MWANA UTILE AIKALA KWI 
13-201009-112851_bem_40e_elicit_9  ALA NA IFWE TWAUMFWILE KULI BASHIFWE NGEFI NA IMWE TULEMWEBAKO BATWEBELE UKUTI AIKALA MU LUPILI LWA CHISHA 
13-201009-112851_bem_40e_elicit_10  KABILI BALETI EMO BAMWIPAILE 
13-201009-112851_bem_40e_elicit_11  ALI NI SHIMAPEPO WA MU FIPOOMA NA MU MPILI NA MU NCENGO 
13-201009-112851_bem_40e_elicit_12  ALEPEPA CHISHIMBA MU LUOMBE KALAMBO NAO MU LUNZUWA ALEPEPA NA MALUNDA NA MUSONDA WE TANDWE NE MILUNGU IMBI IINGI 
13-201009-112851_bem_40e_elicit_13  BATUSHIMIKILE UKUTI PAALI IFIPOOMA FIMOFIMO IFYALEISUKA NGA MAYANDA UBUSHIKU UYU SHIMAPEPO ALEPEPAPO NA BANTU BALEINGILA NANKWE MUKATI KA FIYANDA IFI
13-201009-112851_bem_40e_elicit_14  BALETI CHISHIMBA NAO ALEISUKA ABANTU BALEINGILA NA MUKATI UKUFIKA NA KULI MUTUMUNA NA KAELA 
13-201009-112851_bem_40e_elicit_15  MUTUMUNA NA KAELA E FIPOOMA IFINONO IFYABELA PA MULU WA CHISHIMBA MU LUOMBE
13-201009-112851_bem_40e_elicit_16  ABATI NA LELO IMITO NA MAMBA YA MBALALA EMO YABA PAMO NE LINO IYA NSOFU 
13-201009-112851_bem_40e_elicit_17  NE NKUNDA BALETUULA SHALEPUPUKA PALYA PENE 
13-201009-112851_bem_40e_elicit_18  SHENA TABALEIPAYA BALESHIPOSA ISHITUNTULU MU NCENGO NO KWIKALA EMO SHALEIKALA 
13-201009-112851_bem_40e_elicit_19  EFYO PALI NA PALI KALAMBO PENE
13-201009-112851_bem_40e_elicit_20  MATEO NAO AIPUSHA ATI MWASOSA AMUTI ALIFWA KANSHI UWAFWA KUTI AISA SHANI KULI IFWE
13-201009-112851_bem_40e_elicit_21  ABAKALAMBA ABATI BUSHE MWALI EEE EEE YVAKWE NELYO NGA MWAYA MU NG'ANDA MWINE MULEYAMONA AMAKASA APO ACIMININA NAYASHALA NGA IFWE FWE BASHILAFWA 
13-201009-112851_bem_40e_elicit_22  ATEMWA MWALI NAMUMONA AMENSO YENEYENE NGA AYA TUKWETE 
13-201009-112851_bem_40e_elicit_23  NGEFYO MULETI ALI ENGILE UKWABULA ICIIBI UKWISUKA
13-201009-112851_bem_40e_elicit_24  LELO KWABA UMUNTU WUSHILAFWA UKWINGILA MU NANDA UKWABULA UKWISULA ICIIBI
13-201009-112851_bem_40e_elicit_25  KABILI UMUNENU APA ALI ASOSELE UKUTI MWA NAKULU MWENA ALI ASENSENWINA ICIIBI KU KATI PAMO NE MIPINDO KABILI ILYO AFUMA FYONSE FYAISALA 
13-201009-112851_bem_40e_elicit_26  MUNTU NSHI ENGA CITA IFYA MUSANGO UYU UWABUMI
13-201009-112851_bem_40e_elicit_27  MATEO ATI AWE MWANDINI TACACIPALA KU MUNTU UUPEEMA CACIBA FYE MU MUSANGO WA CIMUNTU CIMBICIMBI ICITALI ICABUUTA
