01-200922-100107_bem_d31_elicit_0  UKUPITILA MU CIPINGO KU MIKALILE YA LELO
01-200922-100107_bem_d31_elicit_1  ULUKUTA ULWACINCILA
01-200922-100107_bem_d31_elicit_2  PAKATI KA MAFYA
01-200922-100107_bem_d31_elicit_3  ABANA ABALEKELESHIWA
01-200922-100107_bem_d31_elicit_4  UKUCIMFYANYA KWA BAKALENGA
01-200922-100107_bem_d31_elicit_5  UBU BUSHIKU KWALI UKWABUTA ICO UMWESHI WALIBALIKE 
01-200922-100107_bem_d31_elicit_6  NA MU MUPUTULE MWALELE YOHANE MWALI UMWABUTA LUBALI 
01-200922-100107_bem_d31_elicit_7  MUPEPI NO BUSANSHI KWALI ITEBULO ILINONO APALI ICIPINGO NE NKOLOKO 
01-200922-100107_bem_d31_elicit_8  KABILI MWALI NO MUPANDO APO YOHANE ABIKILE IFYAKUFWALA FYAKWE 
01-200922-100107_bem_d31_elicit_9  PA MPELA YA MUPUTULE PALI ICIPUNA CIMBI PAMO NO MWAKUBIKA IFYAKUFWALA
01-200922-100107_bem_d31_elicit_10  ILYO ALI MU TULO YOHANE ALISUNKENE NO KUPILIBUKA 
01-200922-100107_bem_d31_elicit_11  KU LUBALI LWA MUPUTULE UKWALI IMFIMFI
01-200922-100107_bem_d31_elicit_12  YOHANE AMWENEKO ICINSHINGWA ICALESUKANKANA
01-200922-100107_bem_d31_elicit_13  EFYO YOHANE ATENDEKE UKULOTA UKUTI MWALI UMUNTU UMWAUME MU MUPUTULE UMO ALELE 
01-200922-100107_bem_d31_elicit_14  E ICO YOHANE ALISANTAMWIKE NO KUPUNDA
01-200922-100107_bem_d31_elicit_15  MU CAPITA ONE JOHANE ASANGILE BAWISHI BASHIMAPEPO ABALEMONEKA ABABULANDA IBELI YABO PAUL KABILA WA MBILA NSUMA NA BANA MUTANDA ACITA UBULALELALE 
01-200922-100107_bem_d31_elicit_16  JOHANE AFILILWE UKUSHININKISHA IFYO CACITIIKE 
01-200922-100107_bem_d31_elicit_17  NGA CAKUTILA ALIKWETE ISHUKO LYA KWIPUSHANYA NA CIWA KUTI AFWAISHA UKWISHIBA IFYO CIWA ALENGELE MUNYINA UKUWA UBUBIBUBI
01-200922-100107_bem_d31_elicit_18  ABANTU BAMO BABA NOBUTANI BWA NDALAMA BAMBI NABO UBWAFYO BAISHIBA 
01-200922-100107_bem_d31_elicit_19  MAKA MAKA ABALENGA BUBILI BAFWAYAFYE BALIFYE BEKA PAMULU NGACAKUTI BAMBI TABESHIBE IFYO CIBOMBA LYENA BACILI NABAKWATA ULUBALI MUFYAKUCITA 
01-200922-100107_bem_d31_elicit_20  ULUKALAMBA
01-200922-100107_bem_d31_elicit_21  IMFUMU YESU YESU ALI UWAIBELA 
01-200922-100107_bem_d31_elicit_22  ALEPELAKO NA BAMBI ULUPIYA LWAKWE NA NEFYO AISHIBA 
01-200922-100107_bem_d31_elicit_23  ENA TALETINA NOKUTI BALINGANA
01-200922-100107_bem_d31_elicit_24  ALISHIBE UKUTI ALI NOKWAKANYA IMILIMO 
01-200922-100107_bem_d31_elicit_25  IFYO EFYALI UKUTEYANYA KWAKWA WISHI KU KUFISHA KWISONDE LYONSE 
01-200922-100107_bem_d31_elicit_26  BAMBI BALI NOKWISACITA IFYO ACITILE
01-200922-100107_bem_d31_elicit_27  EICO ALIBAFUNDILE ALIBALANGILE ABASUMINISHE NOKUBIKA AYO MASAMBILILO MUKUCITA NO KUSAMBILILA MU FILUBO
01-200922-100107_bem_d31_elicit_28  AKULILE IBUMBA ILYO LESA ACINJISHEMO ISONDE
01-200922-100107_bem_d31_elicit_29  KABILI BELENGENI MULI IYI MAGAZINI PABUKANKALA BWABA MU MASAMBILILO AYATANTIKWA BWINO MU FILONGANINO FYESU
01-200922-100107_bem_d31_elicit_30  SAMBILILENI KULI BAKALAPASHI MU MULIMO WA MISEPELA IFYO TWINGEKALA PAMO ABAKALAMBA NEMISEPELA ISHINA KRISTU MU CILONGANINO 
01-200922-100107_bem_d31_elicit_31  MONENI IFYO MWINGANONKAMO UKUFUMA MU TUSEBO TULELANDA PAMA PROGRAMMES NA MASEMINARS AYALEKANA LEKANA AYO YALEBOMBA MU FILONGANINO FYESU 
01-200922-100107_bem_d31_elicit_32  NATUPEPELEKO ABO ABAIBIMBAMO NOKUMONA IFYO TWINGABAFWA
01-200922-100107_bem_d31_elicit_33  ABANTU ABENGI BALEIPUSHA UMULANDU TWASALILA ILI SHINA LYA MAGAZINE NATULEYA  LET'S GO BWASUKO 
01-200922-100107_bem_d31_elicit_34  INTANSHI IMFUMU YESU YATWEBELE KABIYENI NO KULENGA ABASAMBI
01-200922-100107_bem_d31_elicit_35  NGA BAKAKONKA ABACUMFWILA TWAYASUKA CILIFYE NATULEYA
01-200922-100107_bem_d31_elicit_36  ICABUBILI CALILANGWA UKUTI AMAFYA AYENGI AYO TULOLENKANA NAYO MU FILONGANINO FYESU NOMO NANGU BABILI BENGEMA APASWEKE NOKUTILA NATULEYA  LET'S GO NATUBOMBELEPO 
01-200922-100107_bem_d31_elicit_37  TWATONTONKENYE UKU IYI MILANDU IBILI ELELANGISHA BWINO BWINO IFYO IYI MAGAZINE ILELANDAPO
01-200922-100107_bem_d31_elicit_38  MUKWAI PEPELENIKO ABO BONSE ABAIBIMBAMO MULI UYU MULIMO UPYA 
01-200922-100107_bem_d31_elicit_39  TWALIKOKOSHAKO UKUFUMYA MAGAZINE WABUBILI PAMULANDU WAKUTILA CALI TUSENDELA INSHITA PAKUTI TUFIKE MU NCENDE ISHABA UKUTALI MUMA PROVINCES IFI EFYACITIKE NA MAGAZINI YAKUBALIPO 
01-200922-100107_bem_d31_elicit_40  IFYAKUBIKA INSHILA IYA KULASALANGANISHISHAMO NO KUSHITISHISHAMO CINTU CIMO ICIKALAMBA ICO TULESHINGWANA NACO 
01-200922-100107_bem_d31_elicit_41  KABILI TULEKABILA UKUTUNGILILWA UKUFUMA KUNDUME NE KANSHI ISHINGA CETEKELWA MU CENDE ISHA LEKANA LEKANA 
01-200922-100107_bem_d31_elicit_42  PEPENI NO KWISHIBISHA BAMBI MULI IYI MAGAZINI MULESANGA CALENDER INGAMWAFWILISHA MULI FYONSE FIBILI
01-200922-100107_bem_d31_elicit_43  KAMBATIKENI KU PA CIBUMBA NANGU KU CIBI PAKUTILA IMWE NABAMBI MULECINKULWA KU KULANDAPO PALI UYU MAGAZINE  KUBANTU ELYO NAKULI LESA
