03-200925-070127_bem_798_elicit_0  MWE NTUNGULUSHI SHA NKUTA NATUBOMBELE PAMO
03-200925-070127_bem_798_elicit_1  BUSHE KUTI NACITA SHANI NGA CAKUTI ABANTU BALEFWAYA UKUKONGOLA IFITABO
03-200925-070127_bem_798_elicit_2  MU MUSANGO UMO WINE BASHITISHISHAMO IFITABO FIMBI ULINGILE UKUSHITISHA PALI KABOKONSHINKANYA 
03-200925-070127_bem_798_elicit_3  EKUTILA ULINGILE UKUPEELA IFITABO KU BANTU ABALEKUPEELE NDALAMA ISHALINGANA NO MUTENGO WA FITABO 
03-200925-070127_bem_798_elicit_4  UYU MUSANGO KUTI WAKUPOKOLOLA KUKUPUSANA NA BANTU
03-200925-070127_bem_798_elicit_5  NALIMO ABANTU BAMBI KUTI BAFWAYA UKUKABUSHANYA BUSHE KUTI NACITA SHANI
03-200925-070127_bem_798_elicit_6  KUTI CACITIKA NGA MWASUMINISHANYA 
03-200925-070127_bem_798_elicit_7  LELO NAPOPENE PALEFWAIKWA UKUKWATA UMUSANGO UMO WINE KULEFWAIKWA UMUNTU UWAKUSHITISHA IFYO FINTU PAKUTI IWE UKWATE NDALAMA THREE THOUSAND KWACHA ISHAKUPEELA KASALANGANYA
03-200925-070127_bem_798_elicit_8  KASALANGANYA WA FITABO ABA MU LUKUTA ULO TATUBOMBA NALO 
03-200925-070127_bem_798_elicit_9  BUSHE NALABOMBA NAO SHANI
03-200925-070127_bem_798_elicit_10  ICITABO CA NATULEYA  LETS GO CA BANTU BA MU NKUTA SHONSE 
03-200925-070127_bem_798_elicit_11  KUTI KWABA UBWAFYA NGA CAKUTI TWALABOMBA MUKULEKANA 
03-200925-070127_bem_798_elicit_12  WILABA UKUTI NA PAULO TASANGILE UBWAFYA MUKUTANDALILA NELYO KUTUMA BAMUNYINA NANGU AMAKALATA KU KORINTI ULUKUTA ULWAIBELELE
03-200925-070127_bem_798_elicit_13  ALIBATEMENWE LELO TALEPASHANYE MICITILE YABO IYABIPA
03-200925-070127_bem_798_elicit_14  NA IFWE EFYO TULINGILE UKULAIKALA NA BABWANANYINA 
03-200925-070127_bem_798_elicit_15  NGA CAKUTI MWAKWATA UBWAFYA KUTI MWALANSHANYA NA COORDINATOR WA MU CITUNGU CENU
03-200925-070127_bem_798_elicit_16  MULI NATULEYA NUMBER ONE TWALIESHA UKULONDOLOLA IFYO ULUPAPULO LUPILIBULA MUKATI NA CALO NO TUBUNGWE TWA BEKALA CALO PAMO PENE NA MU CILONGANINO CAKWA LESA 
03-200925-070127_bem_798_elicit_17  TWALIMONA BWINO BWINO IFYO KRISTU E MUTWE WA CILONGANINO 
03-200925-070127_bem_798_elicit_18  NA KABILI ICEBO CAKWE E NDUBULWILA NA KAPUTULA WA FIKANSA KABILI E LUPAPULO MUKATI KA CILONGANINO
03-200925-070127_bem_798_elicit_19  MULI UNO NATULEYA NUMBER THREE TWATENDEKA UKULONDOLOLA IFIKOMO NE FIPANDE FYA LUPAPULO LWA CHRISTIAN BRETHREN 
03-200925-070127_bem_798_elicit_20  ILYO TULECITA ICI TUFWILE UKUBEBETA ICEBO CAKWA LESA PA KUMONA NGA CAKUTI ULU LUPAPULO LULEKONKA AMASHIWI YAKWA LESA
03-200925-070127_bem_798_elicit_21  ULUPAPULO LWA CHRISTIAN BRETHREN LIMO LINE ABETWA CMML E KUTILA CHRISTIAN MISSIONS IN MANY LANDS
03-200925-070127_bem_798_elicit_22  IFILONGANINO FYA BA CHRISTIAN BRETHREN FYATAMPILWE KU NUMA YA MWAKA NINETEEN HUNDRED NA BAMINSHONI ABAFUMINE KU FILONGANINO FYABA NO BUSUMINO BUMO UKUSHINGULUKE CALO 
03-200925-070127_bem_798_elicit_23  ABA BAMINSHONI BAISHIBIKWE MULI CINO CALO NGA BA CHRISTIAN MISSIONS IN MANY LANDS 
03-200925-070127_bem_798_elicit_24  BAMINSHONI BETWA NA LESA KABILI BABOMBA KUKUITEMENWA UKWABULA AMALIPILO LELO BAFWILISHIWA NE FILONGANINO FYA KUMWABO 
03-200925-070127_bem_798_elicit_25  IFILONGANINO BABOMBAMO FYAISHIBIKWA ATI CHRISTIAN BRETHREN 
03-200925-070127_bem_798_elicit_26  IFI FILONGANINO FYA BAKAYA KABILI CILA CILONGANINO CABA PALWA CIKO CAPAMO FYAISHIBIKWA PA KUNAKILA ICEBO CAKWA LESA 
03-200925-070127_bem_798_elicit_27  ISHINA CHRISTIAN BRETHREN LYAPEELWA KU BENA KRISTU ABASHIFWAYA KWITWA AMASHINA YAPATULA ABATETEKELA LELO ABETWA ABENA KRISTU ATEMWA ABABWANANYINA 
03-200925-070127_bem_798_elicit_28  IFILONGANINO FINTUNGWA TAFITEKWA NE FILONGANINO FYA KUNSE YA CALO LELO KWALIBA INKUTA ISHINGI PANO CALO ISHILONGANA MU MUSANGO UMO WINE 
03-200925-070127_bem_798_elicit_29  ISHIWI ICILONGANINO LIPILIBULA IBUMBA LYA BENA KRISTU LELO ICIKULWA UMO BALONGANA KUTI CAITWA GOSPEL HALL CHAPEL MEETING ROOM NANGULA ISHINA LIMBI 
03-200925-070127_bem_798_elicit_30  IFILONGANINO FYAIKATANA CA PAMO MU BUSUMINO BUMO NE FICITWA FIMO FINE TE MU KUKUMBINKANA KWA BUTEKO BUMO
03-200925-070127_bem_798_elicit_31  AMAPANGE UBUYO NO KUKABILA KWA FILONGANINO FYABA CHRISTIAN BRETHREN NI UKU
03-200925-070127_bem_798_elicit_32  UKUTWALA PA NTANSHI UKUKULA KWA KU MUPASHI KWA BAMEMBALA WABO
03-200925-070127_bem_798_elicit_33  UKUTANDA IMBILA NSUMA YE PUSUKILO YA CITETEKELO MULI SHIKULU YESU KRISTU
03-200925-070127_bem_798_elicit_34  UKUSAKAMANA PALWA MIKALILE YA BAMEMBALA NA BAMBI ABALEBULWA PAMO NGA BA BA MUKAMFWILWA BAKASHIWA NE NDEMA  NA BALEMANA
03-200925-070127_bem_798_elicit_35  LESA MUKULU NGA ATEMWA TULI NO KUKONKANYAPO MULI NATULEYA NUMBER FOUR
