01-201001-195552_bem_fb0_elicit_0  CILYA JANET ATI ASOSEKO AWE BAMOTOKELA ABATI NGO LEASUKAKO NDEKUTOBO LUPI
01-201001-195552_bem_fb0_elicit_1  JANET ICISHELE KUMOKOSHA FYE IFILAMBA ATIINA UBUKALI BWA BAWISHI 
01-201001-195552_bem_fb0_elicit_2  JONI NELYO ALI MU MUPUTULE UMBI KWENA AMASHIWI ALEUMFWA PANONO NOMBA ICAKUTI ASHININKISHE NGA MWINAMWAKWE BALEEBA CENA IYOO
01-201001-195552_bem_fb0_elicit_3  BA PHIRI BAWISHI KWA JANET ICO BAISHIBE UBUTALANTANSHI BWA MWANA WABO TABALEFWAYA KUTANTALISHA BWINGA BWABO 
01-201001-195552_bem_fb0_elicit_4  PANTU BALETINA UKUTI  NGA BATANTALISHA LIMBI ICIPANGANO CAKWA JONI NA JANET KUTI CABA FYE CIBUSA ICISHINGABA CUPO NELYO PANONO 
01-201001-195552_bem_fb0_elicit_5  KANSHI BAEBELE JONI ABATI UMFWA TATA INE NSHILEFWAYA UKUFUSHA INSHIKU PA KUMUFYA NDEFWAYA MU MULUNGU WA BUTATU UKUFUMA LELO LINE E BWINGA BWENU
01-201001-195552_bem_fb0_elicit_6  AWE JONI ASEKELA SANA PANTU NAO TALEFWAYA KUCELWA KU NCITO PANTU BAMUPEELE FYE UMWESHI UMO
01-201001-195552_bem_fb0_elicit_7  UBUSHIKU BWAKONKELEKO JONI ATUMA KALATA KULI BANALUME NO KUBANKOMESHA UKUTI BAKESE KU BWINGA 
01-201001-195552_bem_fb0_elicit_8  ABEBA NA BANTU BAFWILE UKWISA NABO ABAKWISAFUKISHA UBWINGA BWAKWE
01-201001-195552_bem_fb0_elicit_9  INSHIKU SHAKONKELEPO SHALI SHA KUPEKANYA IFYA BWINGA JONI ASHITILE JANET INSALU ISHA MUTENGO NGANSHI
01-201001-195552_bem_fb0_elicit_10  KUTI MU MULUNGU WA CITATU APO JONI NA JANET BAISHILE KU LUSAKA 
01-201001-195552_bem_fb0_elicit_11  KUTI NABEKALISHA BAMONA FYE MOTOKA WAKWA CIBUSA WAKWE DAKA AFIKA KABILI UKUFUMA KU MUFULIRA 
01-201001-195552_bem_fb0_elicit_12  MWAISWILE ABALUMENDO ABAMAKWAYA BA NU IBUMBA LINE LIYA JONI ALIMO 
01-201001-195552_bem_fb0_elicit_13  KABILI BANALUME NA BAMUKA NALUME ABALUMENDO PAUL NA ROBIN NABO BENE BALISHILE KU KUSANGWA KU BWINGA BWA MUNABO
01-201001-195552_bem_fb0_elicit_14  LELO NI MU NSHIKU YA MULUNGU 
01-201001-195552_bem_fb0_elicit_15  JONI NA JANET BABOFYA MU CALICI CA SCOTLAND MU MATERO 
01-201001-195552_bem_fb0_elicit_16  UBU BUSHIKU KWALI AKANTU KU MATERO PA NGANDA YABA PHIRI 
01-201001-195552_bem_fb0_elicit_17  IFILIMBA FYAISHILE NABALUMENDO KUTI NGA FILELILA NO USHAISHIBA KUCINDA KUTALA ATENSHAKO AKAKUULU
01-201001-195552_bem_fb0_elicit_18  PA KUTAMPA KWA FYANGALO BATALILE BALOMBA SHIBWINGA NA NABWINGA UKUTI BESULE UKWANGALA 
01-201001-195552_bem_fb0_elicit_19  KABILI JONI MU FYA MUSANGO UYU EMO ASASA AISAIMYA NA JANET WAKWEBAPONA NA MU LWALALA
01-201001-195552_bem_fb0_elicit_20  BONSE BABILI NI BAFUNDI KU DANCE 
01-201001-195552_bem_fb0_elicit_21  ALA KUTI NGA WAMONAKO NELYO USHAISHIBA KABILI TAUFWAYA KUCINDA UBO BUSHIKU KUTI WAPANGA UKUTI NA IWE UKESHIBE
01-201001-195552_bem_fb0_elicit_22  IYE ALA NATULABA NAKAENDI UKUSHIMIKA IFYUMA FYAILE PA CUPO CA MUNENSU JONI
01-201001-195552_bem_fb0_elicit_23  BATINI JONI BAMUCACA THIRTY IMPANGO WASANGA ISHO ASHITILEMO IFYAKUFWALA FYA MUKASHI IFYA PA BWINGA 
01-201001-195552_bem_fb0_elicit_24  NGA TUMONE ISHA KUSHITAMO IFYAKULYA NESHO APELE UMUNANKWE DAKA PA KULETA ABA KU BWINGA 
01-201001-195552_bem_fb0_elicit_25  KABILI NO BWINGA BWINE KWAISHILE ABABEMBA ABENGI E BAUFISHE NO BWINGA BWINE MWALISHIBA IMITABOTABO UBWINGI NO BAFWAYA 
01-201001-195552_bem_fb0_elicit_26  ALA MUKWAI UMUNENSU NA NASONDA ALISUKUMWIKE
01-201001-195552_bem_fb0_elicit_27  PA KULULA BAWISHI KWA CIKASHANA BA PHIRI BASOSELE ABATI MUNE NATEMWA SANA PA KUSANGA NIWE MUBEMBA WAUPA UMWANA WANDI 
01-201001-195552_bem_fb0_elicit_28  INE ABABEMBA BONSE APO BAPELA NALIBACINDIKA SANA PANTU BABA NE INTAMBI ISHAKUTI UMWANA WA MUNTU ONSE NGA ASHIKONKA KUTI AKULA BWINO SANA 
01-201001-195552_bem_fb0_elicit_29  KANSHI MUNE NDEKULOMBA ULEPOSA JANET UMUKASHI OBE
01-201001-195552_bem_fb0_elicit_30  WILAMUSUMINISHA KUSEKASEKA NA BALUMENDO IYOO 
01-201001-195552_bem_fb0_elicit_31  AMANO YAKWE YONSE ALINGILE UKUYAPOSA KULI IWE 
01-201001-195552_bem_fb0_elicit_32  NIWE TATA NAMONA 
01-201001-195552_bem_fb0_elicit_33  NGA WAMONA TALEKUMFWILA TOOLA AKABWEMBYA WAMUKAMPA ACENJELA
01-201001-195552_bem_fb0_elicit_34  BANYINA KWA JANET BENA BALI ABASEKAMANA PA KUMONA JANET WENA NANGU BONSE BALI ABASANSAMUKA ENA ALI UWAKUTUMANA KABILI BULANDABULANDA 
01-201001-195552_bem_fb0_elicit_35  ICO AKUTUMANINE NO KUSANASANSAMUKA NICO AMAFUNDE YA BUKAPENTA YALINGILE SANA MU MUTWE WAKWE 
01-201001-195552_bem_fb0_elicit_36  ALETWISHIKA NGA KUTI BAIKALA NA JONI INSHITA ITALI 
01-201001-195552_bem_fb0_elicit_37  ALETI NGA ATONTONKANYA ICUMA JONI ALEKA PALI ENA UBUKULU AMONA NEFYO JONI ENGACULA NGA CAKUTI APULA MU IFUNDE LYAKWE AMUKAANA 
01-201001-195552_bem_fb0_elicit_38  AWE AMONA IMFIFI IKALAMBA KUNTANSHI
01-201001-195552_bem_fb0_elicit_39  AMASHIWI NATUMFWA KALE UKUTI JANET NELYO ATEMENWE ABALUMENDO ABALUMBUKA MU NSHILA SHIMO LELO KU CE SHAMO 
01-201001-195552_bem_fb0_elicit_40  TALEFWAYA KWIKALA NABO MU CUPO 
01-201001-195552_bem_fb0_elicit_41  ALEFWAYA FYE UKUKWATA CIBUSA 
01-201001-195552_bem_fb0_elicit_42  UWA KUMULISHA NO KUMUFWIKA EPELA 
01-201001-195552_bem_fb0_elicit_43  ALETONTONKANYA IFYO ABABIYE BENGAMUSEKA NGA BAMUSANGA ALEONSHA UMWANA 
01-201001-195552_bem_fb0_elicit_44  KABILI KUTI ACITA SHANI PA KUPAAPA UMWANA UWAKUTI ALEMULAMFISHA AMALAYA YAKWE AYA NDALAMA KU MISU KABILI NO KWENDA NA MATEBELA KASUBA KONSE 
01-201001-195552_bem_fb0_elicit_45  IFI FYONSE FYAMULETELA UBULANDA UBUKALAMBA NGANSHI
01-201001-195552_bem_fb0_elicit_46  UKUKANASANSAMUKA KWAKWA JANET ASUKILE JONI NAO AKUMONA 
01-201001-195552_bem_fb0_elicit_47  ELYO ILYO BALI BABILI MU NGANDA JONI ASUKA AIPUSHA JANET ATI  
01-201001-195552_bem_fb0_elicit_48  NGA KANSHI LELO WABELA NSHI IFI DARLI TAUSANSAMWIKE CINSHI CALENGA
01-201001-195552_bem_fb0_elicit_49  JANET ATI NSHILEUMFWA BWINO UMUBILI ULI FYE MPEPOMPEPO
