03-201002-054811_bem_798_elicit_0  NAO BAMUPATULULA
03-201002-054811_bem_798_elicit_1  CANDA MUMAPEPO
03-201002-054811_bem_798_elicit_2  MUMAPEPO BONSE TWAIKELE KUTAAREV JIM APELWA UKULANDA ATILA MU SOUTH AFRICA IMILANDU YALI ONE MILLION FIVE HUNDRED
03-201002-054811_bem_798_elicit_3  UMUSONKO FIVE HUNDRED THOUSAND ELYO IMILANDU YABWALWA FIVE THOUSAND
03-201002-054811_bem_798_elicit_4  ALANDILE NAPAKUPATULUKANA AMA SUKULUABATIFI BEKA NABASUNGU BEEKA
03-201002-054811_bem_798_elicit_5  ATILA INKANDA TEKANTU PANTU YABA MUCIPASHO CIMO
03-201002-054811_bem_798_elicit_6  LEESA TENGENENEMWANDANSHI NO MUULU UBUKULU BWENU BWAPULA NAMUKWILUKA KONSE UKWAPANO ISONDE
03-201002-054811_bem_798_elicit_7  TWAMIPAAPATA UKUTI MWISE NENONDO YAMUPASHI NOKWISA TOBAULA IFYABUBI FYONSE IFYO TUCITA
03-201002-054811_bem_798_elicit_8  TWAFWENI FWE MPULA MAFUNDE UKUBOMFYA UMUSASHI WAMUPASHI WENU
03-201002-054811_bem_798_elicit_9  LEESA TATA NIMWE MWAISHIBA UKULAMUNUNA LAMUNUNENI ABAFIITA NABABUUTA
03-201002-054811_bem_798_elicit_10  PEELENI ICIKUUKU NECONGWE KULI BANKOSA MITIMA
03-201002-054811_bem_798_elicit_11  NAINGILA BU BUSTORO BOYI
03-201002-054811_bem_798_elicit_12  DONA AFULWA ICO NALEKA IMILIMO
03-201002-054811_bem_798_elicit_13  ALEFWAYA UKULUNDA NOMBA BWANA AKANA CILIA MUCIBEMBA BATILA KWISANO BATI BAMPEKO KWAPITA  KACILINGANYA
03-201002-054811_bem_798_elicit_14  DONA AISAMPEELA AMALAYA MUTANDA AYAKUTUMINA BAMAAYONAYAMBI AYAFUMINE KULI NKASHI NANKWE ATI NOKUTILA NINKUFWAILA INCITE MUSHITOOLO
03-201002-054811_bem_798_elicit_15  PAABA ICIBEMBA CAKUTILA IFYUNI NGAFYAPEELELWAFIBUTUKILA KUFISANSALA KUKUFWAYA UBULO
03-201002-054811_bem_798_elicit_16  TWAUMFWA NOKUTILA UMUNTU NGATASHILE UMWANA BALEMUBIKA UMUFITO PAMUSULA UKUTILA WIKABWELAKO KUNO
03-201002-054811_bem_798_elicit_17  EKUTILA WIKABWELA MUPASHI PANTU ULI MUBI TAUSHILE IMBUTO PA CAALOPANO ISONDE
03-201002-054811_bem_798_elicit_18  NAUPA  NATATAMUNA LENIE UWFUMINE KUMULUME NOMULANDU TAWAISHIBIKWA
03-201002-054811_bem_798_elicit_19  AWE ACUSHA AIBA NEFIPE FYONSE KUMO NENCINGA PANUMA YAKWIKALA NANKWE  UMWAKA UMO NEMYESHI MUTANDA
03-201002-054811_bem_798_elicit_20  NASHALA MUMENSO POKO
03-201002-054811_bem_798_elicit_21  INKONGOLE SHENA NISOTABE
03-201002-054811_bem_798_elicit_22  NASUKA NAKUNCITO NASHOTA
03-201002-054811_bem_798_elicit_23  PAMULANDU WA KUSHOTA TWO HUNDRED POUNSHI INCITO YAPWA CILIA BATILA UMWAKA USHILI OBE TAUCILWE BAKA
03-201002-054811_bem_798_elicit_24  ABO TWAILE NABO KUNDOLA BAFULWA ILYO NAIBILE UMWINA KYUSA TWO FIFTY POUNSHI
03-201002-054811_bem_798_elicit_25  KWALI NAKANTU AKALELILA NGAA NGAA NGAA AWE NAKAPOSELE MUCIMBUSU PAKA KALEKA
03-201002-054811_bem_798_elicit_26  BAMAYO BAMONEKELA AWE BAKALIPA NOKUTILA NAKWEBELE UKUPA ICUPO ICAMPOMFU LEELO WALOLALOLA FYE
03-201002-054811_bem_798_elicit_27  BAMBUKILE ICALETELE ICIWA AWE  CASANGWA ATI KUPULA MWIFUNDE NEFINTU FIMBI AWE TWATWALA IFYAKUFUTA NECIWA CAYA
03-201002-054811_bem_798_elicit_28  UBWALWA
03-201002-054811_bem_798_elicit_29  NAINGILA INCITO YAKUTOOLA UTUKOPO APA EPALENWENA BACIMBWI CAIKALAMBA
03-201002-054811_bem_798_elicit_30  BALI NIBA CAKOLWA NOMBA BALENWA NAMAANO
03-201002-054811_bem_798_elicit_31  BATILA KALE ABANTU BALENWA UBWALWA NAMAANO KABILI MUNSHITA IYALINGA
03-201002-054811_bem_798_elicit_32  KWALI UBWA KOLOLA IMISANA YABALIMI UBO BALENWA PANUMA YAKUBWELA KUMULIMO UBWAKUTUMYA UKWAFWANA MUMILIMO UKWAFWA ABAKOTE NABASHIMBE
03-201002-054811_bem_798_elicit_33  KWALI NOBWALWA BWA CISUNGU 
03-201002-054811_bem_798_elicit_34  BALETI UBWALWA BULAKOLA BULUME BWANAMA MBUNWENA BALETI KALWELE BUSHILU TAKAFYA KUTETA
03-201002-054811_bem_798_elicit_35  BABOMFYA IPINDA LYAKUTILA AKANAKANKOKO UKUPALA NINSHI NANYINA ALAPALAUMWANA TAIPALA
03-201002-054811_bem_798_elicit_36  UBWALWA TEKUNWA FYE LEELO KANO NOKULIMA PANTU EKULETA UBWALWA
03-201002-054811_bem_798_elicit_37  MUKALAALE KUMWENA KU MEENO AYAFIITA
03-201002-054811_bem_798_elicit_38  KUMWENA KULEETA IMFWA MWABA UBUCENDE IFYUPO FILONAIKA BUSANGULA ABAMAANO UKUBA IFIPUBA
03-201002-054811_bem_798_elicit_39  AMALIPILO YESU NIKUBOKO PAKANWA
03-201002-054811_bem_798_elicit_40  AMALIPILO YALIFYE AYACIWELE WELE
03-201002-054811_bem_798_elicit_41  PA PENSION KUPOKAFYE UBUFUNGAU NGA THREE POUNSHI
03-201002-054811_bem_798_elicit_42  KUMUSHI TAKWABA PENSION
03-201002-054811_bem_798_elicit_43  KOLWE AKOTA ASABILWA NABANA
03-201002-054811_bem_798_elicit_44  ICIPULULU CALILA NACITAMFYA
03-201002-054811_bem_798_elicit_45  INCITO YAPWA
03-201002-054811_bem_798_elicit_46  ABANTU NAKONGWELEKO BAPOKA IMPIYA ISHO NAPOKELE
03-201002-054811_bem_798_elicit_47  NALIKOTELE NOMBA NAFYELE ABANA BATATU
03-201002-054811_bem_798_elicit_48  UMO ALI KUSUKULU
03-201002-054811_bem_798_elicit_49  UMWANAKASHI ALIKULILE ALI NIKAPENTA ISHINA LYABUULE
03-201002-054811_bem_798_elicit_50  UMWAUME UMBI ALIFILILWE ISUKULU ALATEYA INJUKA
03-201002-054811_bem_798_elicit_51  TSOTSI NAKAPENTA BASUNGU BALETA
03-201002-054811_bem_798_elicit_52  AMASHINA AYALANGA UKUTILA ABAANA TABAISHIBA AMALANGO YAKUMYABO FINGULYALYA
