05-200916-155836_bem_a40_elicit_0  BUSHE NIMWE BANAANI
05-200916-155836_bem_a40_elicit_1  ISHINA LYANDI NINE BRIAN NAFUMA KU AMELIKA NDI KAIPEELA MU PEACE CORPS 
05-200916-155836_bem_a40_elicit_2  NAISA MUNO MUSHI WENU PAKUTI TUSAMBILISHANYE NA BANTU BENU PA BUYANTANSHI
05-200916-155836_bem_a40_elicit_3  NGA MWANSUMINISHA KUTI NATEMWA UKUMONANA NA BANTU BENU PA CIBELUSHI
05-200916-155836_bem_a40_elicit_4  CIISUMA WALONDOLOLA BWINO MUNE 
05-200916-155836_bem_a40_elicit_5  NDI NOKWISHIBISHA ABANTU BONSE PAKUTI MUKALANSHANYE NABO
05-200916-155836_bem_a40_elicit_6  CIISUMA NATOTELA
05-200916-155836_bem_a40_elicit_7  ABEKALA MUSHI BAFWAISHA UKUBOMBELA PAMO NABA KAIPEELA ABALANDA ULULIMI LWABO
05-200916-155836_bem_a40_elicit_8  CIISUMA UKUSENDA UBUPE NGA MULEFWAYA UKUMONANA NE MFUMU
05-200916-155836_bem_a40_elicit_10  MUFWILE UKULANGA UMUCINSHI KU MFUMU MUKULANDA NA MUMIFWALILE
05-200916-155836_bem_a40_elicit_11  MWALITEMWANA NA BAUME 
05-200916-155836_bem_a40_elicit_12  TAMWATEMWANA NA BANAKASHI
05-200916-155836_bem_a40_elicit_13  BALIMONANA NE MFUMU 
05-200916-155836_bem_a40_elicit_14  TABAMONENE NA KAPAASO
05-200916-155836_bem_a40_elicit_15  TWALIAFWANA NA BASAMBI 
05-200916-155836_bem_a40_elicit_16  TATWAAFWENE NA BAKAFUNDISHA
05-200916-155836_bem_a40_elicit_17  BALIPANGANA NA BANTU BAMUMUSHI 
05-200916-155836_bem_a40_elicit_18  TABAPANGENE NA BAKAFUNDISHA
05-200916-155836_bem_a40_elicit_19  MULATEMWANA NA BANTU 
05-200916-155836_bem_a40_elicit_20  TAMUTEMWANA NE NAMA
05-200916-155836_bem_a40_elicit_21  BALAMONANA NE MFUMU 
05-200916-155836_bem_a40_elicit_22  TABAMONANA NA KAPOKOLA
05-200916-155836_bem_a40_elicit_23  TULAFWAANA NA BANTU 
05-200916-155836_bem_a40_elicit_24  TATWAFWANA NE NAMA
05-200916-155836_bem_a40_elicit_25  TULASEKANA NA BANGONI 
05-200916-155836_bem_a40_elicit_26  TATUSEKANA NA BALUNDA
05-200916-155836_bem_a40_elicit_27  MWALITEMWANA
05-200916-155836_bem_a40_elicit_28  BALITEMWANA 
05-200916-155836_bem_a40_elicit_29  TWALIMONANA 
05-200916-155836_bem_a40_elicit_30  BALITUMANA 
05-200916-155836_bem_a40_elicit_31  TAMWATEMWEENE 
05-200916-155836_bem_a40_elicit_32  TABATEMWEENE 
05-200916-155836_bem_a40_elicit_33  TATWAMONENE 
05-200916-155836_bem_a40_elicit_35  NDEIPIKISHA INAMA
05-200916-155836_bem_a40_elicit_36  NSHILEIPIKISHA ISABI
05-200916-155836_bem_a40_elicit_37  MULETWIISHA IMBALALA
05-200916-155836_bem_a40_elicit_38  TAMULETWIISHA UBUUNGA
05-200916-155836_bem_a40_elicit_39  BALELIISHA UBWALI
05-200916-155836_bem_a40_elicit_40  TABALELIISHA INKONDE
05-200916-155836_bem_a40_elicit_41  TULEBIKISHA UMUCELE MU MUNANI
05-200916-155836_bem_a40_elicit_42  TATULEBIKISHA UMUCELE MU MUSUNGA
05-200916-155836_bem_a40_elicit_43  MULI SHANI MAYO 
05-200916-155836_bem_a40_elicit_44  NDIFYE BWINO NGA IMWE
05-200916-155836_bem_a40_elicit_45  NDIFYE BWINO BUSHE FINSHI MULEIPIKA
05-200916-155836_bem_a40_elicit_46  NDEIPIKA UMUNANI
05-200916-155836_bem_a40_elicit_47  MUNANI NSHI MULEIPIKA
05-200916-155836_bem_a40_elicit_48  NDEIPIKA CIBWABWA YA KUSASHILA
05-200916-155836_bem_a40_elicit_49  BUSHE BEPIKA SHANI CIBWABWA YAKUSASHILA
