01-201001-204524_bem_fb0_elicit_0  ICIPANDE CALENGA CINE LUBALI
01-201001-204524_bem_fb0_elicit_1  UBUSHIKU BA NDOLA BAISHILE KU CIBANSA CA MUPILA ICA MU MUFULIRA KWAISHILE NO WA KU IBELE
01-201001-204524_bem_fb0_elicit_2  PA KUYA KU CIBANSA JONI AEBA JANET ATI NGA ULEFWAYA UKUYATAMBAKO UMUPILA IPEKANYE TWALAIMA PA THREE KOLOKO
01-201001-204524_bem_fb0_elicit_3  JANET TE PA KUTEMWA AYASAMBA NA BWANGUBWANGU ABWELA ALAFWALA NA BUSAKABUSAKA 
01-201001-204524_bem_fb0_elicit_4  CILYA CALATWALA MU THREE KOLOKO JONI ALAFWALA NA MALAYA YA MUPILA APO NISHI JANET ALESAKULA BWINOBWINO UMUSHISHI WAKWE 
01-201001-204524_bem_fb0_elicit_5  PA KUMONA JONI MU MALAYA YA MUPILA JANET AUMFWA NA KACILUMBA MU MUTIMA PA KUPWA KULI CILUMENDO ACINDAMA IFI
01-201001-204524_bem_fb0_elicit_6  JANET ALAISALA MU NGANDA JONI AYABUULA ICITUKUTUKU 
01-201001-204524_bem_fb0_elicit_7  CILYA ABWELA ASANGA JANET ALEMULOLELA PA LUBANSA JONI ALISHA NE CITUKUTUKU BANINA BALAYA NA KU CIBANSA
01-201001-204524_bem_fb0_elicit_8  MUPEPI NE CIBANSA UTWAICE TWALALUMBA ATUTI JONIE JONIE JONIE
01-201001-204524_bem_fb0_elicit_9  JONI PA KUMONA IFYO ASANSAMUKA AIMYA FYE UKUBOKO PA KUBAPOSHA
01-201001-204524_bem_fb0_elicit_10  PA FOUR KOLOKO BA NDOLA NA BA MUFULIRA ABE TIIMU LYA PA KUBALA BAPONENAMO MU CIBANSA 
01-201001-204524_bem_fb0_elicit_11  JONI ALETA PA RIGHT INSIDE 
01-201001-204524_bem_fb0_elicit_12  E KUTI JONI ALETI NGA AIKATA UMUPILA JANET APO EKELE TE PA KULUMBA 
01-201001-204524_bem_fb0_elicit_13  AMATIIMU YONSE YALEMONEKA KWATI NAYALINGANA AMAKA 
01-201001-204524_bem_fb0_elicit_14  KANSHI KWALI UKUSHOTANA PA NSHITA ITALI LIMBILIMBI NISHI NE FIPANDA NABACINJA 
01-201001-204524_bem_fb0_elicit_15  JONI APOKELELA UMUPILA UWA MU MULU GOALIE WA BA NDOLA WENA ALETONTONKANYA UKUTI NALIMO JONI ALEBALA ANYANTEPO 
01-201001-204524_bem_fb0_elicit_16  YABA TATA BOLA AFIKILILA FYE KU LUKASA LWAKWA JONI ILI NA MU ISUMBU MULI NA NDOLA 
01-201001-204524_bem_fb0_elicit_17  APO ABANTU ICIBANSA CONSE KUTI NGA BALUMBA JONI BULANDA
01-201001-204524_bem_fb0_elicit_18  AWE MUKWAI BASHOTANA BASHOTANA WASUKA NO MUPILA WAPWA
01-201001-204524_bem_fb0_elicit_19  BA MUFULIRA BACIMFYA ABANABO PA KUBENGISHA AKAKATO KAMO BENA ABANABO NAKALYA 
01-201001-204524_bem_fb0_elicit_20  JANET PA KUSANGA JONI EKA E WAINGISHE 
01-201001-204524_bem_fb0_elicit_21  KUTI CILYA BAKUMANA JANET AFUKATILA JONI ATI WABOMBA SANA WE MUTEMWISHI WANDI 
01-201001-204524_bem_fb0_elicit_22  NITEMWA SANA PA KUMONA UKUTI ABANTU ABENGI NIWE BALI BALELUMBA
01-201001-204524_bem_fb0_elicit_23  JONI NAO PA KULANGA INSANSA APAMPASHA JANET PANUMA AMUTOMONA NA PE SAYA ATI NATOTELA SANA JANET WANDI
01-201001-204524_bem_fb0_elicit_24  PANUMA YA KUPELA ICIKOMBE KULI BA MUFULIRA JONI NA JANET BANINA PA CITUKUTUKU BAYA NO KUYA
01-201001-204524_bem_fb0_elicit_25  UBUSHIKU BUMBI JONI AMONFA UMUSUNGU WAKWE AMULETELA KALATA ALAMWIPUSHA ATI BUSHE NI KALATA OBE UYU
01-201001-204524_bem_fb0_elicit_26  JONI PA KUMONAPO ISHINA LYAKWA JANET ASOSA ATI KWENA TE KALATA WANDI LELO WA MUKASHI WANDI 
01-201001-204524_bem_fb0_elicit_27  ABIKA NA KALATA MU TUMBA KABILI LIMBI AISAFUMYA ULYA KALATA ALOLESHAPO AMONA ILEMBO LYA CANAKASHI 
01-201001-204524_bem_fb0_elicit_28  UMUTIMA UMO WAMWEBA ATI ISULA UMONE IFILIMO 
01-201001-204524_bem_fb0_elicit_29  UMBI NAO WAMUKANYA AUTI WIISULA NAKALIMO IFUMINE KULI BANYINA KWA JANET EPA KUBIKA KALATA NAKABILI MU TUMBA
01-201001-204524_bem_fb0_elicit_30  ILYO JONI AFUMA KU NCITO ASANGA JANET MU CIKINI ALEIPIKA ICAKULYA 
01-201001-204524_bem_fb0_elicit_31  ATI ATUUSHE CINONO ELYO APEELA JANET KALATA WAKWE 
01-201001-204524_bem_fb0_elicit_32  JANET ICO AISHIBA ILEMBO APOKA FYE LUBILOLUBILO ASULA ATAMPA NO KUBELENGA
