01-201002-000224_bem_fb0_elicit_0  PANTU NGA WAPAAPA NINSHI UBUKASHANA BWAPWILILILA NAKALYANAKALYA 
01-201002-000224_bem_fb0_elicit_1  INE E CANDESHA NO KUPWA KUKALI KWINE 
01-201002-000224_bem_fb0_elicit_2  EMULANDU NABUTUKILE KU MULUME BATUFISHE NANKWE KU PRITORIA 
01-201002-000224_bem_fb0_elicit_3  NJIKALA NANKWE NOMBA NGA NDI NA BANA UMULONGO 
01-201002-000224_bem_fb0_elicit_4  NO KUBIPA NGA NABIPA NGANSHI 
01-201002-000224_bem_fb0_elicit_5  BUSHE IWE IFUMO LYOBE LILEKUSEKESHA 
01-201002-000224_bem_fb0_elicit_6  INE NDETI UMUKASHANA UWAWAMA UMUBILI NGA IWE TALINGILE KUKWATA MWANA 
01-201002-000224_bem_fb0_elicit_7  NGA WATI BUFI NAKUBEPA ALE LEKA UKATILA FYE UBUSHIKU ABALUMENDO BAKESHIBA UKUTI WABA NO MWANA APO PENE TAWAKAMONE WA KU KUBIKAKO AMANO 
01-201002-000224_bem_fb0_elicit_8  NINSHI APWA ILYO JANET AMWENE AYA MASHIWI MUKWAI ATALA AIKATA NA MU MUTWE UBULANDA BWAMWISHILA UBUKALAMBA 
01-201002-000224_bem_fb0_elicit_9  UKUFUMA BULYA BWINE BUSHIKU ATAMPA NE NSHILA SHA KUTI ENGONAEILAMO IFUMO NO KUFWAYA UKUPUTULE CUPO NA JONI
01-201002-000224_bem_fb0_elicit_10  ILYO JONI AFIKA PA NGANDA UKUFUMA KULYA TUSOSELE KWA BANDA JANET ATI BWELENIKO 
01-201002-000224_bem_fb0_elicit_11  JONI TE WAKUPOSAKO NA MANO JANET WENA APO ATENDEKA NO KUTUTUMA ATI NALIMO NABAMUSHIMIKILA UMULANDU WA KU BIAOLO 
01-201002-000224_bem_fb0_elicit_12  PA KUTI AHININKISHE NGA NATESHA CINECINE AMWIPUSHA ATI MWE BANTU NDETI MWABWELENI KANSHI FINSHI NDUFYENYE PA KUKAANANJASUKA
01-201002-000224_bem_fb0_elicit_13  JONI AMWASUKA BUKALIBUKALI ATI ULETI NO KUTI MWABWELENIKO NGA WE ULEWAMYA TALA ISA KUNO TUMFWE
01-201002-000224_bem_fb0_elicit_14  BAINGILA BONSE BABILI MU NGANDA 
01-201002-000224_bem_fb0_elicit_15  APO PENE JONI ASUKUSHILA JANET KALATA ILYA YALWILE MU CIBEMBA ATI E KALATA AFUMINE KULI BANOKO MWAICE UYO ATI
01-201002-000224_bem_fb0_elicit_16  JANET CAMUPESHA AMANO ALALAKALAKA FYE NA KALATA MU MINWE 
01-201002-000224_bem_fb0_elicit_17  CILYA ATI ASOSEPO CIMO JONI AMUPUTULA ATI WIKAANA NELYO KAMO PANTU NGA NAYALETA ABAKUKUSHININA CILESABIPA SANA 
01-201002-000224_bem_fb0_elicit_18  IWE UWAKUTUMINE UYU KALATA NI CIBUSA OBE KAPENTA MUBIYO KU LUSAKA KAANA
01-201002-000224_bem_fb0_elicit_19  JANET APAKUKANINA PABULA ASUMINA ATI KWENA CINECINE MUNANDI E WANTUMINE LELO KAPENTA ALYUPWA
01-201002-000224_bem_fb0_elicit_20   JONI NGA KANSHI CINSHI WALEMUFISHILA
01-201002-000224_bem_fb0_elicit_21  JANET NALETI KUTI WAKALIPA NGA NAKWEBA ICA CISHINKA
01-201002-000224_bem_fb0_elicit_22  JONI KUTI NAKALIPA SHANI KALATA NGA PALI IFISUMA 
01-201002-000224_bem_fb0_elicit_23  BUSHE IFI ALEMBELE MULI UYU KALATA KUTI MUNANDI ALINTEMWA ALAMFUSHANA IFYAKUTEEKA INGANDA 
01-201002-000224_bem_fb0_elicit_24  INE CINECINE NATWISHIKA UYU MUKASHANA TETI ABE UWAUPWA BUSHE UWAUPWA KUTI AKAANA SHANI UKUKWATA ABANA 
01-201002-000224_bem_fb0_elicit_25  NAKULESHA UKWASUKA UYU KALATA NGA WAYASUKA PASOPO
01-201002-000224_bem_fb0_elicit_26  JANET APO ENAMINE FYE PANSHI ALEYALAULA NE MINWE 
01-201002-000224_bem_fb0_elicit_27  JONI NAO TAISHIBE UKUTI ALYASUKA KALATA KALE KABILI LELO LINE NO KUBWELA NABWELA KALATA
01-201002-000224_bem_fb0_elicit_28  JANET ATI IYOO CINECINE APO WANDESHA NSHAKAMUBWESESHE KALATA WAKWE
01-201002-000224_bem_fb0_elicit_29  AYA MASHIWI YATI YAPWE JONI AFUMYA ICITUKUTUKU PA KUTI ACIPUKUTE 
01-201002-000224_bem_fb0_elicit_30  NO TWAICE TUBILI TWAISAMWAFWAKO UKUCIWAMYA CILYA BAPWA ICITUKUTUKU CALABEEKA FYE NGE CIPYA 
01-201002-000224_bem_fb0_elicit_31  JONI ASANTIKA UTWAICE ATUPELA NA BISHIKETI TWAYA NA KUMWABO
01-201002-000224_bem_fb0_elicit_32  JONI NA JANET NABEKALA MU NGANDA JONI ALESOMA INYUSHI JANET WENA ALECISA AMALAYA BAUMFWA AKAICE PA MWINSHI NIMWE NDEITA BA JONI KWA PAUL CANDA
01-201002-000224_bem_fb0_elicit_33  JONI EYA MUNE TANGILAKO NALAISA NOMBALINE
01-201002-000224_bem_fb0_elicit_34  JANET APO NA MAKA MU MUBILI YAPWA KU MWENSO PANTU ASHININKISHA UKUTI NOMBA ILYA NKAAMA YAYAISHIBIKWA 
