12-201010-073403_bem_526_elicit_0  ING'ANDA YESU YALELETA UMWENSO
12-201010-073403_bem_526_elicit_1  UWALETA UBUSHIKU KWENA MWANDI ALIWAMYA NGANSHI PANTU KUTI CILYA WATI ULETONTONKANYA IFINGI AWE UTULO TWAISA WALALA 
12-201010-073403_bem_526_elicit_2  UMO MUKWAI NALI NDETONTONKANYA IFYA KOWA MU KAMANA KALYA AWE NO TULO TWASUKA TWANSENDA 
12-201010-073403_bem_526_elicit_3  EYA NINDABA KANTALE NSHIMIKE UMULANDU WA NGANDA YESU ILYA TWALESENDAMAMO
12-201010-073403_bem_526_elicit_4  MWALISHIBA KU MUSHI IFYO AMAYANDA YESU YABA 
12-201010-073403_bem_526_elicit_5  KWENA AMAYANDA BATALA BAIMIKA IFILU BAMASA BAKUBATILA  NA MU KATI NO MUTENGE BAFIMBA KABILI BALESHINGULA BWINOBWINO MUKATI NA KUNSE
12-201010-073403_bem_526_elicit_6  NOMBA TUMONE II QANDA TWALESENDAMAMO NTILE FYE YONSE AMAYANDA YA KULYA KUNTU 
12-201010-073403_bem_526_elicit_7  AWE MWANDI CIPESHA MANO 
12-201010-073403_bem_526_elicit_8  BALIMIKA FYE IFILU BWINO NO KUFIMBA NAKO BAFIMBA FYE BWINO NOMBA TABAMASA IYO KABILI TABAKUBATILA 
12-201010-073403_bem_526_elicit_9  KUTI FYE IFYANI NGA FYAMENA PANSE FILEINGILA NA MUKATI KA NANDA
12-201010-073403_bem_526_elicit_10  KUTI WATINI NGANDA IYO UMWINE AFWILE ILYO ISHILAPWA ILYA BATILA INANDA YA CISHALE 
12-201010-073403_bem_526_elicit_11  BUSHE IMWE KUTI MWATI INGANDA YA MUSANGO UYU KUTI MWALILA NANGU AKASENSE NGANDA TE NAKALYA FYE 
12-201010-073403_bem_526_elicit_12  MWAKUTI NGA WAUMFWA TUMUNG'WING'WI NGA TWAYAMBA UKULILA WAUMFWA MWAKABA NA SEE KWATI NI MU LUPAKO LWA NSHIMU 
12-201010-073403_bem_526_elicit_13  E NG'ANDA TWALESENDAMAMO FWE BAKAFUNDISHA BA PALI LILYA ISUKULU 
12-201010-073403_bem_526_elicit_14  NOMBA UMULILO WENA TE WAKUSHIMA IYO PA MULANDU WA MWENSO MWATI NALIMO ICISWANGO KUTI CATWINGILILA 
12-201010-073403_bem_526_elicit_15  NOMBA SANGENI KU BAKAYA BENE KUTI WASANGA UKU LUBALI IMBUSHI NASHILALA UKU LUBALI TUBANA NATO NATULALA 
12-201010-073403_bem_526_elicit_16  AMAYANDA YENA YALEBA IMISANGOMISANGO KUTI NAPO WASANGA AKALUPUNGU AKATALI NGANSHI 
12-201010-073403_bem_526_elicit_17  KAKUTI NGA WANINAPO WATEMWA NGANSHI ICO PENA NALIMO TETI PABE TUMUNGWINWI 
12-201010-073403_bem_526_elicit_18  ICABIPILEKO FYE KU MPUNGU SHINE ISHI MINSHI PANTU KUTI PA KWINGILA ULEKULIKA FYE NGA FUNDI ALEBENDELA INAMA 
12-201010-073403_bem_526_elicit_19  KABILI NA YENGI TAYAKOSESHE IYO PANTU KUTI AMAINSA AYENGI YALEWA KU MFULA
