12-201010-081738_bem_526_elicit_0  IMILANDU IFYO YALUBULWILWE
12-201010-081738_bem_526_elicit_1  KULYA NAILE KU KUFWALA IFYAKUFWALA FIMBI KUTI NDEPEMPELA FYE NA KAMUPUKUMO NINSHI NIMBIKAMO 
12-201010-081738_bem_526_elicit_2  NDETI NGA NALOLESHA MU MULU NAMONA NO KUFWA KULI FYE APATALI 
12-201010-081738_bem_526_elicit_3  BWANGUBWANGU NIMBWELAKO NO KUBWELA NASANGA ELYO BAITILAMO NO BWALWA BUMBI AWE TWABIKAPO NO KUBIKA 
12-201010-081738_bem_526_elicit_4  KUTI CILYA INSHITA YABA NA TWO KOLOKO WA BUSHIKU AWE TWATAMPA NO KUSALANGANA 
12-201010-081738_bem_526_elicit_5  UKUFIKA MU NGANDA TAPALI NO WA KULANDA NAKALYA KUWA FYE IFYO FINE NE FYAKUFWALA KUMO PA KASHITA KANONO NO KUFOOMA TWALAFOOMA 
12-201010-081738_bem_526_elicit_6  NABO TABUKOKOLA NAKALYA KUMFWA FYE UKO INYENJELE ILELILA
12-201010-081738_bem_526_elicit_7  YANGU E BUSHE NABUCA 
12-201010-081738_bem_526_elicit_8  AWE NABUCA 
12-201010-081738_bem_526_elicit_10  KUTI CILYA TULEYA NA BAICE NABAFIKA NO KUFIKA TWATAMPA NO KUFUNDA NOMBA PA MULANDU WA KUCELWA MU BWALWA AMAKA TATWAKWETE TWALEAMBASHIKA FYE 
12-201010-081738_bem_526_elicit_11  NICO NI NCITO NGO BOMBA NO KUBOMBA
12-201010-081738_bem_526_elicit_12  KUTI MUKWAI BWANGUBWANGU NATWINUKA NO KWINUKA TULETUSHA NO KUTUSHA 
12-201010-081738_bem_526_elicit_13  INE NABUULA NA KATABO NALABELENGA 
12-201010-081738_bem_526_elicit_14  KUTI CILYA NDELEKO NDEBELENGA NO MWAICE AFIKA ATI NIMWE NDEITA BAKAFUNDISHA 
12-201010-081738_bem_526_elicit_15  NATI NI KWI BALENJITA WE MWAICE 
12-201010-081738_bem_526_elicit_16  ATI NI KU ISANO BALEMUFWAYA NAIPOSA NA MU NSHILA NALAYA 
12-201010-081738_bem_526_elicit_17  KUTI CILYA NAFIKA KU ISANO NAMONA IMFUMU IFWELE FIMBIFIMBI IFYABUKALI 
12-201010-081738_bem_526_elicit_18  KUTI NDOLESHE NAMONA BALYA BALELWA MAILO BABATEKELE NA MUKATI ELYO NAISHIBA NATI KULI IMILANDU PANTU INE NALETONTONKANYA NATI NALIMO TUBWALWA BANJITILA 
12-201010-081738_bem_526_elicit_19  NOMBA NALATONTONKANYA ICO BANJITILA NA INE KU MILANDU NE USHALELWAKO LUBULI 
12-201010-081738_bem_526_elicit_20  CILYA NAFIKA IMFUMU YAMPELA NA KAPUNA NAIKALA NO KWIKALA UMUTIMA WENA MUNDA NAUFWAFYE TE PA MWENSO 
12-201010-081738_bem_526_elicit_21  NAUMFWA IMFUMU YATAMPAKO AITI  ILYO ABA BANTU BALELWA MAILO UYU EKELE APA ALIKUMYA KU ITEPE LYA BWALWA NO KU KWITILA KU FYAKUFWALA ATI 
12-201010-081738_bem_526_elicit_23  IMFUMU AITI NOMBA MULEFWAYA NSHI PA MULANDU UYU 
12-201010-081738_bem_526_elicit_24  IFWE KUNO MWESU UMUNTU NGA AONAWILA UMUBIYE IFYAKUFWALA  ATEMWA ICIPE ICILI CONSE ALINGILE UKUFUTA 
12-201010-081738_bem_526_elicit_25  INE NATI IYO MUKWAI IFYAKUFWALA TAFYAONAIKE FILI FYE BWINO NKACAPA 
12-201010-081738_bem_526_elicit_26  AWE NAUMFWA BONSE BAKANININA FYE ABATI IYO ULINGILE UKULIPILWA 
12-201010-081738_bem_526_elicit_27  PA KUPUTULA IFIKANSA BWANGUBWANGU NA INE NJEBELE CISUMA MUKWAI KANSHI NABAPINGULE IFYO BALEFWAYA
