01-201001-193222_bem_fb0_elicit_0  ICIPANDE CALENGA FISANO
01-201001-193222_bem_fb0_elicit_1  LELO E BUSHIKU BWA KUYA KU LUSAKA KU KUMONA ABAFYASHI BAKWA JANET 
01-201001-193222_bem_fb0_elicit_2  JONI ABUKILE BUSHIKUSHIKU
01-201001-193222_bem_fb0_elicit_3  ALASAMBA FYE ALALOLELA CIBUSA WAKWE JAPHET DAKA UO BAPANGANE NANKWE UKUMUSENDA MULI MOTOKA WANKWE
01-201001-193222_bem_fb0_elicit_4  PAPITA FYE AKASHITA KANONO NA JAPHET AFIKA 
01-201001-193222_bem_fb0_elicit_5  JONI ALALONGA KATUNDU WAKWE MULI MOTOKA
01-201001-193222_bem_fb0_elicit_6  BAIMA BALOLA NA KU NGANDA KWA JANET BASANGA JANET PA MUSEBO EPO ALELOLELA
01-201001-193222_bem_fb0_elicit_7  MUKWAI JAPHET DAKA KUTI CILYA ALOLESHA JANET ACENWA KU MENSO NA MAFIGA YAKWA CIKASHANA 
01-201001-193222_bem_fb0_elicit_8  DAKA AISHA NE CEFU AIPUSHA JONI ATI BUSHE E BAMAMA WENU ABA
01-201001-193222_bem_fb0_elicit_9  JONI E ABA BENE WE SANO NGA KANSHI NI SHANI
01-201001-193222_bem_fb0_elicit_10  DAKA AWE NAIPUSHA FYE PANTU NSHABESHIBA
01-201001-193222_bem_fb0_elicit_11  APO PENE BALONGA NO TUPE TWAKWA JANET MULI MOTOKA BAYAMBA NO KUYA
01-201001-193222_bem_fb0_elicit_12  NSHILA YONSE DAKA ALEUMFWA NGO ULI MU CILOTO KU MULANDU WA KULOWA KWA KACENA KALEFUMA KULI JANET 
01-201001-193222_bem_fb0_elicit_13  MWATILE MUSHILUNDA NA KALISHIWI NA KALUSEKO KAKWA JANET DAKA NI CIKANGA ALUNDEKO IMPANGA UKUYAFIKA KU BULAWAYO PA LUSAKA PAIPIPA 
01-201001-193222_bem_fb0_elicit_14  PA KULANGA BUFUNDI BWA KWENSHA MOTOKA PA KUCINJA AMAGIA KUTI ALEFUKILA NO KUFUKILA TE PA MANGUNGU NI CIKANGA MOTOKA AKWATE AMAGIA MUTANDA
01-201001-193222_bem_fb0_elicit_15  PA KAPIRI MPOSHI BATALA BAIKA UKUFUNGULULAKO AMOLU BASHITAPO NA TUMOTUMO IFI BALALYA 
01-201001-193222_bem_fb0_elicit_16  KABILI BAIMA BALAYA
01-201001-193222_bem_fb0_elicit_17  MU BROKEN KANDOLO EMO BAPOSELE INSHITA IKALAMBA PANTU DAKA ALI NO KUMONANA NA BAKALAMBA BAKWE MU LOKOSHENI LWA BWACA 
01-201001-193222_bem_fb0_elicit_18  BAILE BONSE NA JONI NA JANET
01-201001-193222_bem_fb0_elicit_19  BATI BAFUME MU BROKEN HILL DAKA ANUNSHA MOTOKA IYAKUNUUNSHA KUTI CILETWALA MU 2 KOLOKO BALI NA MU LUSAKA 
01-201001-193222_bem_fb0_elicit_20  BAYALUKILA KU MATERO UKWALEIKALA ABAFYASHI BAKWA JANET 
01-201001-193222_bem_fb0_elicit_21  MOTOKA AYAFIKA NA PA MWINSHI WA NGANDA YA BAFYASHI BAKWA JANET 
01-201001-193222_bem_fb0_elicit_22  JONI APO PENE ALATOTELA DAKA ATI WE MFUMU YANDI NATOTELA SANA BUSHE NINSHI NI NSHITA NSHI IYAKUBWELELAMO
01-201001-193222_bem_fb0_elicit_23  DAKA PAKUBALA NDI NO KUYAFIKA KU MAZABUKA 
01-201001-193222_bem_fb0_elicit_24  NGA NABWELA KU MAZABUKA NKESASENDAMA MUNO LUSAKA MWINE 
01-201001-193222_bem_fb0_elicit_25  ELYO NGA MULEFWAYA TUKESABWELAMO NENU KU MUFULIRA UBUSHIKU BUKAKONKAPO 
01-201001-193222_bem_fb0_elicit_26  KANSHI EKUTILA MULI NE NSHIKU SHITATU MUNO LUSAKA
01-201001-193222_bem_fb0_elicit_27  JONI CISUMA SANA NGA MWABWELA KU MAZABUKA TUKESAUMFWANA NGA TULI NO KUBWELELAMO NENU KU MUFULIRA
01-201001-193222_bem_fb0_elicit_28  DAKA BATI BAMUTEEKE KU CAKULYA AKAANA ATI KWENA NASANTIKA SANA LELO TULI NO KUKUMANA NABO TWAPANGENE NABO PA TWO THIRTY E CALENGA NSHIKWETE NSHITA 
01-201001-193222_bem_fb0_elicit_29  AYA NO KUYA
01-201001-193222_bem_fb0_elicit_30  BANYINA KWA JANET TE PA NSANSA PA KUMONA JONI LUMBWE WA MWANA WABO 
01-201001-193222_bem_fb0_elicit_31  NECO TABALESUBILA JANET UKUFWAYO KUPWA BATEMENWE NGANSHI PA KUMONA CIJONI CACINDAMA IFI 
01-201001-193222_bem_fb0_elicit_32  NA PA MULANDU WA KWIKALISHA MU LUSAKA INSHITA IKALAMBA BA NYINA KWA JANET BASUKILE BAISHIBA ICIBEMBA 
01-201001-193222_bem_fb0_elicit_33  KANSHI E LULIMI BALELANDA BONSE NA JANET WINE 
01-201001-193222_bem_fb0_elicit_34  BAWISHI KWA JANET BASANGILE FYE ELYO BABWELELAMO KU NCITO LELO BALI NO KWINUKA PA FOUR KOLOKO
01-201001-193222_bem_fb0_elicit_35  BANAFYALA JONI TE PA KUMULOLEKESHA ILYO ALEBALONDOLWELA ULWA KUMWABO KU CHINSALI BALESUMINISHA FYE TONSE UTO ALESOSA
01-201001-193222_bem_fb0_elicit_36  ILYO BASHIFYALA JONI BAFIKILE UKUFUMA KU NCITO JONI ATEMENWE SANA PANTU BALI NE MIPULWE YA KUSOSA NE MILANGWE
01-201001-193222_bem_fb0_elicit_37  ICO BAISHIBE UKUTI JONI MUBEMBA BATAMPA NO KUMUSESHA UBUNUNGWE ABATI IWE WE MWANA WA MUBEMBA NIWE ULEFWAYA UKUUPA UMWANA WANDI BATI
01-201001-193222_bem_fb0_elicit_38  WISHIBE NGA WAMUUPA NA IWE ULI NO KUSANGUKA UMUNSENGA 
01-201001-193222_bem_fb0_elicit_39  MWANA WANDI TALINGA KUSANGULO MUBEMBA EPALI NGA MWAYA NANKWE KU LUBEMBA WAYAMUPATIKISHO KUNIINA KU MITI NA BWANAKASHI 
01-201001-193222_bem_fb0_elicit_40  BONSE MU NGANDA BAWA FYE KU NSEKO
01-201001-193222_bem_fb0_elicit_41  KABILI BAYALUKILA KU MWANA WABO ABATI TATA UYU MWANA WANDI WAMONA ATEMWA SANA UKUFWALA INSALU SHA BUSAKA KANSHI MUNE UKOSE FYE PA KUMUFWIKA
01-201001-193222_bem_fb0_elicit_42  KABILI ABATI BUSHE KUNO LUSAKA WATALA AWISAKO
01-201001-193222_bem_fb0_elicit_43  JONI ATI IYOO MUKWAI KALELO LINE NGE FYASOSELE UMUPUUPU
01-201001-193222_bem_fb0_elicit_44  ABATI OH LEKA MUNE MAILO NGA NABWELA KU NCITO NKAYA NDAKUTANDASHA MUNO LUSAKA UKESHIBEMO
01-201001-193222_bem_fb0_elicit_45  KU MULANDU WA KUTI JANET PA KUYA KU MUFULIRA UKUFUMA MU LUSAKA AFYUKILE FYE E CALENGA BAWISHI BAMWITA EKA KU MUPUTULE WA NGANDA UMBI
01-201001-193222_bem_fb0_elicit_46  ELYO BATENDEKA UKUMWEBA ABATI IMYENDELE YOBE PALI ISHI NSHIKU SHAFUMINEKO INE TAYANSEKESHE NELYO PANONO 
01-201001-193222_bem_fb0_elicit_47  UBUSHIKU WAFYUKILE UKUYA KU MUFULIRA NAFULILWE NGANSHI
01-201001-193222_bem_fb0_elicit_48  NA LINO LINE AUBULAISA NA MWATA OBE NGA NAKUUMA ICAKUPAPA NOMBA IKUMBI LYAIKALA PA KASUBA 
01-201001-193222_bem_fb0_elicit_49  NSHIFWAYA UMWANA UO MFYELE E WALAENDA NA BAKAPENTA KASUBA KONSE
01-201001-193222_bem_fb0_elicit_50  IWE LELO WASHUKILA CIMO
