06-200916-110927_bem_c20_elicit_0  NANKALAMO ATI ALOLESHE AFULWA
06-200916-110927_bem_c20_elicit_1  KALAIKANGA NA KUMULILO AKATI IMFULA YA UNO MWAKA NAYO ILELOKA NA AMALUMBA TATA
06-200916-110927_bem_c20_elicit_2  NASUNKUTU MUMUTIMA ALETIFYE MWANDI AKA KANTU NAKO BALAISAKAFULULA KU MULUME KABILI FINO ALI NA MU NSHILA KUKWISA
06-200916-110927_bem_c20_elicit_3  AKATI WE BUSHE UMUNANDI ELEKWI
06-200916-110927_bem_c20_elicit_4  NANKALAMO ATI UMUNOBE NAANI
06-200916-110927_bem_c20_elicit_5  AKATI TEMULUME OBE
06-200916-110927_bem_c20_elicit_6  TALA TUNAILEPO NA UBWALI
06-200916-110927_bem_c20_elicit_7  AWE NASUNKUTU ATEKAPO NA UBWALI
06-200916-110927_bem_c20_elicit_8  CILYA ANAYA UBWALI NOMBA ATI MPUNGULE UMUNANI KAKALULU AKATI TALA NANGA UMUNANI TUMONE
06-200916-110927_bem_c20_elicit_9  AWE MUKWAI KAMONAFYE YA BANTU NA MOOLU
06-200916-110927_bem_c20_elicit_10  AKATI AWE UYU UMUNANI WENU LEKA NDETE NA INE UMUNANI WANDI
06-200916-110927_bem_c20_elicit_11  KAYABULA NA ICISANSA CAKWA SUNKUTU KAMUPOSELA AKATI E MUNANI WANDI UYO
06-200916-110927_bem_c20_elicit_12  KAMWANA NKALAMO KATI KALOLESHE AKATI CAPLAFYE ICA BATATA 
06-200916-110927_bem_c20_elicit_13  NYINA ENA ALAKANKAFYE
06-200916-110927_bem_c20_elicit_14  AKATI UMUNANI TAWAPYE BWANGU CIINE ENDESHA
06-200916-110927_bem_c20_elicit_15  KAFUMA KAYAFUMYA UMUTWE WAKWA SUNKUTU MULITUMBA NA ICIMUCILA KUMO KAISACISEBEKA NA PAMULILO AKATI 
06-200916-110927_bem_c20_elicit_16  OCA BWANGU ENDESHA
06-200916-110927_bem_c20_elicit_17  MUKASUNKUTU LYENA ALEKA NA UKUTWISHIKA 
06-200916-110927_bem_c20_elicit_19  ALATUTUMAFYE KUMO NA UTWANA
06-200916-110927_bem_c20_elicit_20  AKANA KAMO AKATI KWATI CABATATA ICI
06-200916-110927_bem_c20_elicit_21  NYINA ALELOLESHAFYE
06-200916-110927_bem_c20_elicit_22  ELYO ATI WE MWANA KALETEKO UTUKUNI PA CIKUKA PALYA ULEKE TWISE TOCELE ABACINTU
06-200916-110927_bem_c20_elicit_23  CILYA AKANA KAFUMA EMIILE KABILI NA KAMBI AKATUMAPO NAKO KAYA IFYO FINE PASHALAFYE UMO
06-200916-110927_bem_c20_elicit_24  KAKALULU KABUULA NA ICIMUCILA KAUPULA NA MWANA NKALAMO AKATI KONKELA ABABIYO
06-200916-110927_bem_c20_elicit_25  CILAFYE AFUMA ATAMPE NA ULUBILO
06-200916-110927_bem_c20_elicit_26  NYINA NAO AISAFUMA ATI KANKONKELE ABANA ABA TABAISE BWANGU
06-200916-110927_bem_c20_elicit_27  CILYA AFUMA ATI ATAMPE ULUBILO ILYO LINE AWA NA UKUWA
06-200916-110927_bem_c20_elicit_28  KAKALULU AKATI SHININSHI ULEBUTUKAFYE
06-200916-110927_bem_c20_elicit_29  KAISAFUMA NA UKUFUMA KAMONAFYE ABA APATALI 
06-200916-110927_bem_c20_elicit_30  KAMUKUNKUNIKA MUKWAI 
06-200916-110927_bem_c20_elicit_31  UTWANA APO TWILEIMININA TWAMONAFYE UKO ALEISA ULUBILO NYINA NABAMUPISHA TWAYAFYE ICIYEYEYE
06-200916-110927_bem_c20_elicit_32  MUKWAI KAYABASHINTAFYE UKUTALI ELYO KALABWELAKO
06-200916-110927_bem_c20_elicit_33  KAISABULA NA INYAMBI NA IMITWE NA IFISANSA KALAYA NA KURNUSHI
06-200916-110927_bem_c20_elicit_34  CILYA KAPALAMAFYE KUMUSHI KATAMPA NA UKUPUNDA AKATI KUNKUTA NA LELO WALYA EE NA LELO WALYA EE
06-200916-110927_bem_c20_elicit_35  ABANTU ABATI NGA NI KALULU NAIPAYA NGA ALAPUNDA SHAANI
06-200916-110927_bem_c20_elicit_36  KAPITILILAFYE KWISANO KAFIKA KAFUBULA NA INYAMI MUCENI CA MFUMU KAFUMYA NA UMUTWE NA IFISANSA A UMUCILA
06-200916-110927_bem_c20_elicit_37  ABANTU BONSE BAISA MUKUTAMBA ABATI ALANAKEPAYA
06-200916-110927_bem_c20_elicit_38  ELYO ABATI TUTUNGULULE TUYESENDA
06-200916-110927_bem_c20_elicit_39  AWE KABATUNGULULA BAYALETA NA ICITUMBI KU MFUMU BALAKASUBA NA INKULA NA UBUNGA
06-200916-110927_bem_c20_elicit_40  ILYO LINE NA IMFUMU YAKAPELA NA KASUBA KAUPA KABA NI KALUMBWE
06-200916-110927_bem_c20_elicit_41  ABANTU BABILI BAALIKELE PA MITANDA
06-200916-110927_bem_c20_elicit_42  BONSE BAALI NA BAKASHI NA BAANA
06-200916-110927_bem_c20_elicit_43  UMO AALI NI KAFULA AAKWETE NA INCEELO IISUMA SAANA 
06-200916-110927_bem_c20_elicit_44  UMUBIYE NAO AALI MULIMI MUKALAMBA AABYELE NA INSUPA MUPEPI NA INSAKA
06-200916-110927_bem_c20_elicit_45  IMILMO YAPWA KUMITANDA ELYO ABATI NATUBWELELE KAMUSHI
06-200916-110927_bem_c20_elicit_46  BABWELELA NA KURNUSHI
06-200916-110927_bem_c20_elicit_47  LIYA BAYAIKALA KU MUSHI INSUPA YASHALA YATAMBILA MU NCEELO EMO UMUSHISHI WAYAPITA 
06-200916-110927_bem_c20_elicit_48  KUNTANSHI KWINE KULYA WILE KWATWALA NA INSUPA IISUMA SAANA ILYA BATILA MUTIMA WA NSEFU
06-200916-110927_bem_c20_elicit_49  ELYO II NSUPA YAKULA SAANA NOMBA TAYAKOSELE IYOO KABILI KUMUSHISHI ONSE KWATWELEFYE INSUPA IMO EPELA
