11-201007-191752_bem_c4b_elicit_0  UBULIMBO
11-201007-191752_bem_c4b_elicit_1  BANE EE
11-201007-191752_bem_c4b_elicit_2  HEEE
11-201007-191752_bem_c4b_elicit_3  MPINGULE KALANDU
11-201007-191752_bem_c4b_elicit_4  PINGULA
11-201007-191752_bem_c4b_elicit_5  NATULEYA KU KUTEYA UBULIMBO
11-201007-191752_bem_c4b_elicit_6  EYAAA MWANDI WAPINGULA BWINO NATULEYA
11-201007-191752_bem_c4b_elicit_7  KONDA BULIMBO
11-201007-191752_bem_c4b_elicit_8  UBIKEMO NE PINDO NGA BUKULEKE
11-201007-191752_bem_c4b_elicit_9  WAPYAKO SHIKULU
11-201007-191752_bem_c4b_elicit_10  UKUTENDEKA PA MWELA NO KWISAFIKA PA MIBUNDO E NSHITA YALINGA UKUTEYA UBULIMBO 
11-201007-191752_bem_c4b_elicit_11  PANTU PALI II NSHITA YONSE ELYO IMITI IINGI IBALULA YAKWATA UBULUBA NA IMBI YAKWATA AMABUULA AYAPYA 
11-201007-191752_bem_c4b_elicit_12  UTUNI NATO ELYO TUSEMPUKA TWALAMANANYA FYE PANTU UTULYO NO TUNTU TUMBI UTWALOWA E NSHITA TUMONEKA
11-201007-191752_bem_c4b_elicit_13  IMITI IMOIMO IYAISHIBIKWA IYO UTUNI TULYAKO UMULUBA NO KUNWAKO AMENSHI YA BUCI MIPUNDU IMITOBO IMIFINSA YA MU MUSHITU NA IMBI IINGI
11-201007-191752_bem_c4b_elicit_14  IYI NSHITA IMONEKA IYANSANSA KU BAICE TABAPEMA BWINO IYO BAPEMA FYE AKANSANKI 
11-201007-191752_bem_c4b_elicit_15  IMITIMA IKALIPA NGANSHI PA KUMONA UMUNANI WA TUNI ULEYANGALILA FYE 
11-201007-191752_bem_c4b_elicit_16  ILYO BENA KU MUSHI ICIKASHA CA KUTOBELA UMUSALU CAIPAYA FYE NI CIKANDA NE MPUUPU 
11-201007-191752_bem_c4b_elicit_17  SOOSA NAO MU MPANGA EKALILE UKUICONCOBWELA ALELONGOFYANYA NO KULONGOFYANYA 
11-201007-191752_bem_c4b_elicit_18  AWE MUKWAI NI CIKANGA BALEPUKE 
11-201007-191752_bem_c4b_elicit_19  NOMBA ICISHELE KUTILA FYE AKAMWEO TAKAILETA KANO WE MUNTU WABILINGANAPO FYE 
11-201007-191752_bem_c4b_elicit_20  E PA KUPANGA UKUYA MU KUTEYA UBULIMBO
11-201007-191752_bem_c4b_elicit_21  UBULIMBO BABUFUMYA KU FIMUTI FIMO IFYABA MU MPANGA ICILEMBA UMUPULA MPAKO ICINIMBWE UMWIKALAMPUNGU NA IMBIKO
11-201007-191752_bem_c4b_elicit_22  UBULIMBO BAKOMA KULI II MITI E BWAWAMISHA UKUCILA UBWA KU MITI IYO TUSHILUMBWILE PANTU BWENA TABUBOLA BWANGU KABILI BWALIKONDA
11-201007-191752_bem_c4b_elicit_23  PA KUKOMA UBULIMBO BWA MWIKALAMPUNGU BASWAKO TULYA TUTWALAKO BAUBAKO AMAMBA E PAKULASHETA 
11-201007-191752_bem_c4b_elicit_24  LIMBI KUTI BAIPIKA ELYO BATWA KUTI BASALA ICAYANGUKA PA KUCITA 
11-201007-191752_bem_c4b_elicit_25  UBULIMBO BWA KU MITI IMBI BWENA PA KUKOMA KUTI BAKOMA AMAFWA EMO BULESUMINA ELYO BALEKAMBATULA 
11-201007-191752_bem_c4b_elicit_26  NGA BAKOMA BWAKULA E PA KUYA MU MPANGA ATEMWA KU MUSHITU UKO BAMONA MUTANU EO BAYAPAMINA UBULIMBO 
11-201007-191752_bem_c4b_elicit_27  BASAKANYA PAMO PAKUTI UTUNI TATULEPUTULA NO KUKAANABOLA BWANGU 
11-201007-191752_bem_c4b_elicit_28  UBULIMBO NGA BWABAMO MUTANU ELYO BUBA UBULIMBO BWINEBWINE 
11-201007-191752_bem_c4b_elicit_30  BULANUNKA NGA BWABOLA 
11-201007-191752_bem_c4b_elicit_31  MUTANU NAO NGA AFULISHA TABUWAMA KABILI NGA ACEPA NALYO CABIPA PANTU UTUNI KUTI TULEPUTULA NGA TWAIKATWA
11-201007-191752_bem_c4b_elicit_33  UMUNTU ONSE AFWILE AIKWATILA UBULIMBO BWAKWE EKA NO KUISUNGILA MU KATONTOLO
11-201007-191752_bem_c4b_elicit_34  PA KUYA KU KUTEYA BALASENDA UTUSEMBE UTO ABAFYASHI BABO BABAFULILA UTWAKUIPANGASHA 
