01-200914-185607_bem_d31_elicit_0  BUSHE NINDONGA FYONSE
01-200914-185607_bem_d31_elicit_1  LEKENI INCHEKING'E MWE
01-200914-185607_bem_d31_elicit_2  PANADO EMOILI
01-200914-185607_bem_d31_elicit_3  EFYO NACHILAISHUPA ATI INKASABE MAILO ULUCELO IFI AWE
01-200914-185607_bem_d31_elicit_4  KUTI WABULISHAPO FIMO
01-200914-185607_bem_d31_elicit_5  BUSHE NINDONGA ULIA UUKALI
01-200914-185607_bem_d31_elicit_6  TETI INJEFYE UKWABULA UMUTI KU TAUNI TETI
01-200914-185607_bem_d31_elicit_7  UMUTI WACHITEMWIKO NINDONGA NAO
01-200914-185607_bem_d31_elicit_8  TUONE
01-200914-185607_bem_d31_elicit_9  NINDONGA ONSE UUKALI
01-200914-185607_bem_d31_elicit_10  ALA NGANICIISHUPA
01-200914-185607_bem_d31_elicit_11  NALAPOSAFYE MULYAMWINE MU COOLA
01-200914-185607_bem_d31_elicit_12  MAYO MWE
01-200914-185607_bem_d31_elicit_13  CINSHI KANSHI UKWIMA MU LUBILO
01-200914-185607_bem_d31_elicit_14  TEKUYA
01-200914-185607_bem_d31_elicit_15  ALA MPOMBO WIBILIMA ABA BILIMA TABAYA
01-200914-185607_bem_d31_elicit_16  NIPESA MWAMONA IMPOMBO PANO NINE CHINTELELWE
01-200914-185607_bem_d31_elicit_17  NAUFILWA NOKUSENDAMA BWINO UMULANDU WAKUFWAYA UKUYA KU TOWN
01-200914-185607_bem_d31_elicit_18  NENO NDEFWAYA UKUYA NDEYA KU KALALE
01-200914-185607_bem_d31_elicit_19  IYII NAKUPELA IYI NI 300 KWACHA
01-200914-185607_bem_d31_elicit_20  NASHIKUMANINA ISHIIUSUNGE BWINO INDALAMA
01-200914-185607_bem_d31_elicit_21  LOBE NGA BAKWIBILA BA KAPOLALA
01-200914-185607_bem_d31_elicit_22  BAKABOLALA BEBILE INE KU BALOWA
01-200914-185607_bem_d31_elicit_23  NGA IWE FINSHI UFULILWE
01-200914-185607_bem_d31_elicit_24  MWILANSOSHAMO
01-200914-185607_bem_d31_elicit_25  MONA KUNO UKASHALE WAPOKA SHONSE INDALAMA NASHA KUNO WAUMFWA
01-200914-185607_bem_d31_elicit_26  ALENI AKUYENI
01-200914-185607_bem_d31_elicit_27  NINANI MUSHILE NAO INDALAMA
01-200914-185607_bem_d31_elicit_28  IMPIYANSHI AWE ILI LYASHI LYA INE NA KATUMBI
01-200914-185607_bem_d31_elicit_29  ENDESHA KABILI MUSHINDIKE ALEYA
01-200914-185607_bem_d31_elicit_30  IWE NGA IYI RING KU KUBOKO NAUKOBEKELWA
01-200914-185607_bem_d31_elicit_31  NIBA EMMANUEL EBANKOBEKELE
01-200914-185607_bem_d31_elicit_32  MWAMONA EFYI UBWALWA BWABA POLOPELA
01-200914-185607_bem_d31_elicit_33  MWAMONA EFYO NDANDAPO PA BWALWAA
01-200914-185607_bem_d31_elicit_34  IYO BACIMULASA UMWELE KWITAKO
01-200914-185607_bem_d31_elicit_35  NI MU BWALWA FITUNIKILA
01-200914-185607_bem_d31_elicit_36  ALA POLOPELA KOSA ULI MWAUME
01-200914-185607_bem_d31_elicit_37  PANO PACILYE TWAISA  LYASHI LYA NDOSHI TULELANDAPO
01-200914-185607_bem_d31_elicit_38  IMFUNINE PANSE NASANGA INDOSHI IYO
01-200914-185607_bem_d31_elicit_39  UMUNTU UUPEPA OLO UMUNTU UWAISHIBA UKULANDA NA LESA LESA KUTI AKWEBA EFYO ULINGILE UKUCITA
01-200914-185607_bem_d31_elicit_40  MWATANDALA SHANI BA MAYO
01-200914-185607_bem_d31_elicit_41  BUSHE NIKWISA MULEYA
01-200914-185607_bem_d31_elicit_42  AWE KWENA TWACISHINDIKA FYE CINTELELWE
01-200914-185607_bem_d31_elicit_43  NAIMA UBULENDO BWAKUYA KU KALALE
01-200914-185607_bem_d31_elicit_44  ULISHANI KATUMBI
01-200914-185607_bem_d31_elicit_45  CAWAMA EPO TWAMONANA 
01-200914-185607_bem_d31_elicit_46  NACILAFWAYA MUNGAFWILISHEKO TAATA
01-200914-185607_bem_d31_elicit_47  MUKWAI KUTI MWANTUMINAKO PHONE KULI EMMANUEL KU KALALE UKUMWISHIBISHA ATI CHINTELELWE NAIMA ALIMUNSHILA
01-200914-185607_bem_d31_elicit_48  KU KALALE
01-200914-185607_bem_d31_elicit_49  EMUKWAYI MUMWEBE ATI UMULUMENDO NAIMA
