01-200917-202141_bem_d31_elicit_0  ALISHIBA IFIBI PAMO NA MATUNKO AYALI NO KUPONENA ABALUNGAMA KABILI ALAPEKANYE NSHILA YAKUFUMINAMO
01-200917-202141_bem_d31_elicit_1  KABILI LESA ALAPEKANYA IFIFULO APAKUBOMBELA MU MISANGO IYALEKANA LEKANA
01-200917-202141_bem_d31_elicit_2  MONENI IFYO DABIDI ASUBILWE KABILI ASHELE PAKATI KA LUPWA LWAKWE 
01-200917-202141_bem_d31_elicit_3  ILI LISAMBILILO KUTI LESA AFWAYA BABOMFI BAKWE UKUTENDEKA UKUMUBOMBELA PALYA PENE BASANGWA
01-200917-202141_bem_d31_elicit_4  IFI EFYO EALI NA MUBUBOMFI BWAKWA SHIKULU YESU KRISTU
01-200917-202141_bem_d31_elicit_5  NI MWI SAMBILILO LIMO LINE SHIKULU YESU KRISTU AKONKOMESHE ABASAMBI BAKWE UKUTENDEKA UKUBILA IMBILA NSUMA MU MUSUMBA UMO BALI
01-200917-202141_bem_d31_elicit_6  UKUSUBWA NAMAFUTA KWAMONEKA UKUBAMO NA MAKA TE IFYO FINE
01-200917-202141_bem_d31_elicit_7  ABANTU BAMO MUKULOLEKESHA PALI ILI LYASHI BALOLEKESHA PA KUSUBA KWA MAFUTA 
01-200917-202141_bem_d31_elicit_8  UBUKANKALA BWA CIPASHO ICALI MULI AYA MAFUTA KUTI BWASOKOLOKELA MWI LIMBO ILI 
01-200917-202141_bem_d31_elicit_9  NO MUPASHI WAKWA YEHOBA WALOMPOKELE PALI DABIDI UKUFUMA PALI KALYA KASUBA NO KUPULAMO
01-200917-202141_bem_d31_elicit_10  ICI CALOLELE MUKUTI NANGULA AMAFUTA ICISHIBILO YALI NO KUMA ICINTU CINE CINE UMUPASHI WA MUSHILO WALI NO KUSHALA ULEBOMBA 
01-200917-202141_bem_d31_elicit_11  TAKWABO MUNTU UWAMANO UWINGEKATILILE CISHIBILO NELYO ALEMONE CINTU CINE CINE 
01-200917-202141_bem_d31_elicit_12  EMULANDU WINE TACABA LIFUNDE UKUSUBA UMUNTU AMAFUTA PAKUTI ENGILE MU KUBOMBELA LESA MU CIPINGO CIPYA 
01-200917-202141_bem_d31_elicit_13  NAKUBA UMUSANGO UUBOMBA WAKUBIKA MABOKO
01-200917-202141_bem_d31_elicit_14  MU NSHITA SHA KUKANAISHIBA ABANTU BALEFWALA IFYA MALELE PA MIBILI 
01-200917-202141_bem_d31_elicit_15  LELO MULI SHINO NSHIKU KULI UKUBOMFYA MAFUTA APASHILINGILE 
01-200917-202141_bem_d31_elicit_16  CILI KWATI AMAFUTA EYAPYANINE PAFYA MALELE 
01-200917-202141_bem_d31_elicit_17  UKUCETEKELA MU FINTU FYAMUSANGO YU CIMO NO KUBWELELA KUMITONTONKANISHISHE YA MALELE
