05-200916-193628_bem_a40_elicit_0  ABANAKASHI MAFI YA MPOMBO
05-200916-193628_bem_a40_elicit_1  ABAPUSHI TABATEMWANA
05-200916-193628_bem_a40_elicit_2  ABENI NINKWA BAKAKILWA PAMO
05-200916-193628_bem_a40_elicit_3  AKABOKO KAKONKA AKABIYE
05-200916-193628_bem_a40_elicit_4  AKABWELELO KA LALYA
05-200916-193628_bem_a40_elicit_6  AKAFUMBE UKUNONA KATULA KU BWAICE
05-200916-193628_bem_a40_elicit_7  AKAFUPA UTEMENWE KALASHA IMICHENE
05-200916-193628_bem_a40_elicit_8  AKAKULU KAKULU KACHINDA MASHA KAFYENENKESHA
05-200916-193628_bem_a40_elicit_9  AKAKUNYELELE TAKALABWA
05-200916-193628_bem_a40_elicit_10  AKALIMO BASHIKUPELE ICILAMBU LUPI
05-200916-193628_bem_a40_elicit_12  AKALWELE WISHIBE TAKAFYA KUTENSHA
05-200916-193628_bem_a40_elicit_15  AKANA KANG'WENA KAKULILA KWITETE
05-200916-193628_bem_a40_elicit_16  AKANA KANSHA TAKALUBA UMO NYINA APITILE
05-200916-193628_bem_a40_elicit_17  AKANANI KANTU KALI PABWALI
05-200916-193628_bem_a40_elicit_18  AKANWA KA MWEFU TAKABEPA
05-200916-193628_bem_a40_elicit_20  AKANYELELE NGA WAKAPIMPILA KALASUMA
05-200916-193628_bem_a40_elicit_21  AKAPESHI UKUMENA INGALA KUIMINA
05-200916-193628_bem_a40_elicit_22  AKASHIINGANDA USHILALA BAKAKUMBWA UMUTENGE
05-200916-193628_bem_a40_elicit_23  AKATANSHI TAKALISHA AKALELEKELESHA KALALISHA
05-200916-193628_bem_a40_elicit_24  AKATONDO KABWALWA NINSOKOLOLA TWEBO
05-200916-193628_bem_a40_elicit_25  AKAYA MYABO TAKELILWA
05-200916-193628_bem_a40_elicit_26  AKONI KEKALA UMUTI KATEMENWE
05-200916-193628_bem_a40_elicit_27  AKOSULILE EKOPA NOKO
05-200916-193628_bem_a40_elicit_28  AMANO MAMBULWA
05-200916-193628_bem_a40_elicit_29  AMANO YAFUMINE MWIFWESA YAYA MUCHULU
05-200916-193628_bem_a40_elicit_30  AMASHA YA MUKULU KUBOKO
05-200916-193628_bem_a40_elicit_31  AMENSHI BALINGA NO BUNGA
05-200916-193628_bem_a40_elicit_32  AMENSHI YAKONKA UMUFOLO
05-200916-193628_bem_a40_elicit_34  UMWANA ASHENDA ATASHA NYINA UKUNAYA
05-200916-193628_bem_a40_elicit_35  APATEBETA LESA TAPAFUKA CHUSHI
05-200916-193628_bem_a40_elicit_36  BAMUKOLWE NGA BAFULA TABUCA BWANGU
05-200916-193628_bem_a40_elicit_37  BANGOSHE TABALALA CHULU CIMO
05-200916-193628_bem_a40_elicit_38  BATASHA ICHO WAMWENE
05-200916-193628_bem_a40_elicit_39  BATILA KAFYALWENI TABATILA KAPALANENI
05-200916-193628_bem_a40_elicit_40  BULAPO TEKUPA
05-200916-193628_bem_a40_elicit_41  BUTA BWANDI LALA KUNO NIKWANA BENE
05-200916-193628_bem_a40_elicit_42  BUTEMBELE NGOBULILE
05-200916-193628_bem_a40_elicit_43  CHAKANYA BAMULILILE ABANA
05-200916-193628_bem_a40_elicit_44  CHAMWENSO ALIPUSWIKE
05-200916-193628_bem_a40_elicit_45  CHANGA BASEKA UWACHELWA
05-200916-193628_bem_a40_elicit_46  CHILYA TATWALA BUNDA BWAMABULA
05-200916-193628_bem_a40_elicit_47  CHINCHI WABABILI TE CHINCHI ULI WEKA
05-200916-193628_bem_a40_elicit_48  CONDE AFUTA ABAMWENDA
05-200916-193628_bem_a40_elicit_49  ICHABU CHA KALE CILABUNSHA
