02-200918-103456_bem_197_elicit_1  UMUNTU UWATEMWA UKWENDAUKA
02-200918-103456_bem_197_elicit_2  UKUSANSAMUKA UKUBA NENSANSA ISHINGI
02-200918-103456_bem_197_elicit_3  UKUSEKA UMUNOBE MITUMFYAMITUMFYA
02-200918-103456_bem_197_elicit_4  KALE WALI UMUSHA
02-200918-103456_bem_197_elicit_6  ABENI BAFWILE UKWENDELA PAMO ILYO BALI MUMUSHI WABENE
02-200918-103456_bem_197_elicit_7  UBUSUMA BWA CINTU TABUBA MUBUKULU BWA CIKO IYO
02-200918-103456_bem_197_elicit_8  NGA WASULA UMUNOBE NAIWE UIPEKANNYE PANTU BUSHIKU BUMO NIWE CIKACITIKILA
02-200918-103456_bem_197_elicit_9  WILACETEKELA UKUKWATA IFISUMA UKWABULA UKUFIBOMBELA
02-200918-103456_bem_197_elicit_10  NAMAYO ALINGILE UKUCANKILWA NOKULUMBA UMULUME WAKWE
02-200918-103456_bem_197_elicit_11  AMAKA YANDI TEYALUBULI IYO NJABOMFYA KUKUBOMBA IFYA BUYANTANSHI
02-200918-103456_bem_197_elicit_12  TEKWESHA KULUMBULE NKALAMO PANTU KUTI YAMONEKA NOKUTWIPAYA 
02-200918-103456_bem_197_elicit_13  UKULUMBULA INCINTU ICABIPA TAKWAWAMA
02-200918-103456_bem_197_elicit_14  UMUNTU NGA ALEFWAISHA NOMUTIMA WAKWE ONSE UKUBOMBA FIMO AKASUKA AKAFIKILISHE
02-200918-103456_bem_197_elicit_15  NGAWAUPA UMUPINA UFWILE WAISHIBA NEFYAKUFWAYA IFYAKUMUSUNGILAMO
02-200918-103456_bem_197_elicit_16  UMUNTU UWALEKA UMUKASHI UNTU AKWATAMO ABANA
02-200918-103456_bem_197_elicit_17  UKUBIKA UMUNTU MUMULANDU UNTU SHISHIBE
02-200918-103456_bem_197_elicit_18  NAPAFITA KULI FYE ULUBUTO ULUNONO ULWAKUMONAFYE AMAALA
02-200918-103456_bem_197_elicit_19  AMACUSHI YA MULI CINO CALO TUKABA NAYO MPAKA KUMFWA
02-200918-103456_bem_197_elicit_20  UMUBI UMUTIMA TEULYA UULANDA ILYASHI KANO ULYA UUYA ALETANDANYE LYASHI UWALWAMBO
02-200918-103456_bem_197_elicit_21  UMUBI UMUTIMA TEULYA UULANDA ILYASHI KANO ULYA UUYA ALETANDANYE LYASHI UWALWAMBO
02-200918-103456_bem_197_elicit_22  UMUNTU NANGU AKACONE SHANI BUSHIKU BUMO INSHIKU SHIKAMUBWESHA KU MYAKWE
02-200918-103456_bem_197_elicit_23  UMUNTU NANGU AKACONE SHANI BUSHIKU BUMO INSHIKU SHIKAMUBWESHA KU MYAKWE
02-200918-103456_bem_197_elicit_24  KUTI WAKWATE CIFULO ICIKULU MUCALO LELO BUSHIKU BUMO UKABWELA NOKUSHIKWA NGA BANTU BONSE
