01-200922-010446_bem_d31_elicit_0  NOMBA ILIPUSHO LIKALAMBA
01-200922-010446_bem_d31_elicit_1  KUTI TWACITA SHANI NGE NTUNGULUSHI MU FILONGANINO FYA KU CHRISTIAN BRETHREN NANGU NGE FILONGANINO FYA EVANGELICAL CHURCH 
01-200922-010446_bem_d31_elicit_2  ILYO IMISEPELA SHESU SHILEFWAYA UKUNKANSHIWA ILYO KULI AYA MASEMINARS
01-200922-010446_bem_d31_elicit_3  BUSHE TUBASUMINISHE 
01-200922-010446_bem_d31_elicit_4  BUSHE TUBASOKE 
01-200922-010446_bem_d31_elicit_5  BUSHE TUBAKANYE UKUSANGWAKO 
01-200922-010446_bem_d31_elicit_6  UBUSUKO UBULI BONSE UBWAWAMISHA MUKUMONA KWENU TWAPAPATA TULEMBELENI MUKWANGUFYANYA 
01-200922-010446_bem_d31_elicit_7  AMATONTONKANYO YENU PALI UYU MULANDU YAKATWAFWA UKULEMBA ILYASHI LYA KULEKELESHAKO PALI UYU MULANDU 
01-200922-010446_bem_d31_elicit_8  ELYO MWILABA UKULONDOLOLA UMULANDU MWAPELELA AMASUKO YENU UKUFUMA MUCIPINGO
01-200922-010446_bem_d31_elicit_9  UKUMANA AKAPI BA BIBLE SOCIETY NE FILONGANINO FILANDA CIBEMBA MU ZAMBIA
01-200922-010446_bem_d31_elicit_10  NOMBA BUSHE KUTI BAKUUTA SHANI IMFUMU IYO BASHASUMINA 
01-200922-010446_bem_d31_elicit_11  NGA KUTI BASUMINA SHANI IMFUMU IYO BASHATALA ABOMFWAPO 
01-200922-010446_bem_d31_elicit_12  NGA KUTI BAUMFWAPO SHANI NGA TAKULI UWA KUBABILILA
01-200922-010446_bem_d31_elicit_13  NGA KUTI BABILA SHANI NGA TABABA TUMINE 
01-200922-010446_bem_d31_elicit_14  NGEFYO CALEMBWA UKUTI YANGU IFYO KWAWAMA UKWISA KWA BANTU ABABILA IMBILA NSUMA
01-200922-010446_bem_d31_elicit_15  NGEFYO MWAMONA ALA MASHIWI FYE YAKWA LESA EYAKWATA UBWASUKO KU MEPUSHO YONSE NGAYO YALI PAMULU 
01-200922-010446_bem_d31_elicit_16  KABILI MASHIWI FYE YAKWA LESA YEKA EYAKWATA UKWASUKA AMAFYA YONSE AYACUSHA ABANTU BA PANO ISONDE 
01-200922-010446_bem_d31_elicit_17  NE MFUMU YESU KRISTU YALILANDILE MULI MATEYO FOUR VERSE FOUR AMASHIWI YAKUTI 
01-200922-010446_bem_d31_elicit_18  CALILEMBWA UKUTI UMUNTU TEKALA UMUMI PAMU LANDU WACAKULYA ALYA LELO EKALA UMUMI PAMULANDU WA MASHIWI AYAFUMA MU KANWA KAKWA LESA 
01-200922-010446_bem_d31_elicit_19  EICO UKWABULA AMASHIWI YAKWA LESA UBUMI BWENU BWAPELELA FYE PAKATI BWABO UBUMI UBWAPELELA PACAKULYA MULYA
01-200922-010446_bem_d31_elicit_20  LELO LESA KUCIKUKU CAKWE NASUMINISHA NAKABILI AMASHIWI YAKWE UKUTI YAPILIBULWE UKUFUMA MULULIMI LWA CINGELESHI UKULETA MU CIBEMBA ICILEUMFWA ABANTU ILELO 
01-200922-010446_bem_d31_elicit_21  PAKUTI ABANTU ABALELO BABE ABAKULAUMFWA BWINO IFYO AMASHIWI YAKWA LESA AYA MULI BAIBO YALANDA
01-200922-010446_bem_d31_elicit_22  NEYI BAIBO ILI NOKUBA IYO ABANTU TABAKASANGEMO UBWAFYA MUKUMFWA AMASHIWI AYALEMBWAMO
01-200922-010446_bem_d31_elicit_23  TULEPEPA UKUTI TUKABE ABAKUPWISHA UKULEMBA IYI BAIBO MULI UYU MWAKA ULEISA
01-200922-010446_bem_d31_elicit_24  NOYU MULIMO WAKUPILIBULA AMASHIWI YAKWA LESA WATENDE MU NINETEEN NINETY FOUR 
01-200922-010446_bem_d31_elicit_25  ALA UYU MULIMO UNTU WAKOSA NGANSHI 
01-200922-010446_bem_d31_elicit_26  NAPA KUFIKAFYE NAPALI INO NSHITA NATUPITA MU MAFYA AYALEKANA LEKANA LELO ICINTU CIMO ICAWAMISHAPO CAKUTILA TAKWABA ICAKOSA KULI LESA 
01-200922-010446_bem_d31_elicit_27  NOKUFIKA PALI INO NSHITA UMULIMO NAWENDA NGANSHI NGEFYO INO NSHITA MWAISHIBA BWINO UKUTI BAIBO YA CIPANGANO CIPYA YALIFUMA KALE ILI NA MUMATUUKA YAKUSHITISHISHAMO IFITABO FYAKWA LESA
01-200922-010446_bem_d31_elicit_28  MULI SHINO NSHIKU TULEBOMBA PA CIPANGANO CAKALE NOKUFIKA PALI NOMBA NATUPWISHAKO NEFITABO FISANO FILYA IFYA KUKUTENDEKA 
01-200922-010446_bem_d31_elicit_29  NEFI FITABO TWALIFITUMA NA KUNCENDE IYILOLESHA PAMILIMO YA KUPILIBULA AMA BAIBO MUNO MU CALO CESU AKABELA KU LUSAKA PAKUTI NABO BAKAKWATE UKUPITULUKAMO MUFYO TWALEMBA 
01-200922-010446_bem_d31_elicit_30  INO NSHITA IBUMBA LIPILIBULA AMASHIWI 
01-200922-010446_bem_d31_elicit_31  LILEBOMBA PAKUWAMINISHA IMILIMO YABOMBWAMU FITABOI UKUFUMA PACITABO CAKWA YOSHUA UKUFIKA PA MALUMBO PAKUTI NAYO YENE TUKATUME KU LUSAKA
01-200922-010446_bem_d31_elicit_32  ELYO IFITABO FYONSE IFYASHALA NATUPWISHA UKUFILEMBA PALI BA MASHINI WESU ELYO NAFYO FINE BALEFIPITULUKAMO NOKUFIWAMINISHA KU BANENSU ABABOMBELA MUNCENDE SHIMBI
01-200922-010446_bem_d31_elicit_33  PAKULEKELESHA NDELOMBAFYE UKUTI MUTWALILILE UKUTUPEPELAKO
01-200922-010446_bem_d31_elicit_34  TUCILI TULEKABILA AMAPEPO YENU NGANSHI PAKUTI TUKAFIKILISHE UKUBOMBA BWINO UYU UMULIMO WAKWA LESA 
01-200922-010446_bem_d31_elicit_35  KABILI KUTI NATEMWA UKUBOMFYA NSHITA INE INO UKULOMBA KULI ABO BONSE ABATEMWA LESA UKUTWIBUKISHAKO MUKUPEELA INDALAMA ISHAKUTI TULESHITAMO AMAPEPALA NOKUSONKELA INGANDA ILYA TUBOMBELAMO
01-200922-010446_bem_d31_elicit_36  LESA AMUPALE
01-200922-010446_bem_d31_elicit_37  IFYO ABENA KRISTU KU CHINGOLA BALEBOMBA
01-200922-010446_bem_d31_elicit_38  UBUSHIKU BUMO ILYO NA FUMINE MU BANK NAMWENE FYE UKO UMWAICE UMO UMWAUME AISA NOKUMPOSHA 
01-200922-010446_bem_d31_elicit_39  ILYO LYONSE TWALEPELA IFYA KULYA KU BANA BANSHIWA CILA MULUNGU SHALEMONA JAMES PALIPITILE NE MYESHI INONO 
01-200922-010446_bem_d31_elicit_40  ELYO AIMININE KU NTANSHI YANDI NOKU TONTA AMENSO YAKWE PALI INE NOKUNJIPUSHA ATI
01-200922-010446_bem_d31_elicit_41  BUSHE LESA ALI KWISA ILYO BAMAYO BAFWILE 
01-200922-010446_bem_d31_elicit_42  ALA MUKWAI ILYO LINE NABIKILE IFYOLA FYANDI PANSHI PA MWINSHI WAMU BANK ELYO NAMUKUMBATILA BONSE TWALALILA NOKULILA
01-200922-010446_bem_d31_elicit_43  BUSHE FINSHI WINGALANDA PA NSHITA YABULANDA ILI NGA II
01-200922-010446_bem_d31_elicit_44  BA KELVIN SAMWATA BACILI NOBULANDA SANA ILYO LYONSE BATULONDOLWELA ICI CINTU CABACITINKILE ICABULANDA 
01-200922-010446_bem_d31_elicit_45  MU MYAKA IYAPITA BA SAMWATA PAMO NABENA KRISTU BAMBI ABAMULUKUTA LWA BETHEL CHAPEL KU CHINGOLA BALI ABALANGULUKILA ABANA ABALEKELESHIWA MU COPPERBELT ABASHAKWATA UMWAKWIKALA
01-200922-010446_bem_d31_elicit_46  ABABULWA ULUPWA ELYO KABILI ABABULWA ISUBILO LYABWIKALO UBUSUMA KUNTANSHI
01-200922-010446_bem_d31_elicit_47  EICO BA SAMWATA TWABEPWISHE AMEPUSHO AYA
01-200922-010446_bem_d31_elicit_48  NI LILALI MWATENDEKE UKUBOMBA NABANA ABALEKELESHIWA
01-200922-010446_bem_d31_elicit_49  PAPITA IMYAKA PABULA MU TWO THOUSAND
