04-201005-211232_bem_40e_elicit_0  BONSE BAWA PANSHI BATOOTA 
04-201005-211232_bem_40e_elicit_1  MULENGA AIPAYA NE YOMBE IMO AOCA 
04-201005-211232_bem_40e_elicit_2  ALAPUNDA ATI MULUNGU WE LESA WA PANO WE WAMAKA YONSE TWAKUPAPATA FWE BANTU BOBE TUPELE AMAKA YA KWANSHA ABALWANI BESU 
04-201005-211232_bem_40e_elicit_3  E PAKUTI BONSE BAKESHIBE UKUTI ULI SHIBO
04-201005-211232_bem_40e_elicit_4  AIPULA INAMA NA PA MULILO ALASHIPOOSA PA MENSHI YASUKA INOMBE YONSE YAPWA 
04-201005-211232_bem_40e_elicit_5  ICISOKA NACO CAIBILA NA PA MENSHI
04-201005-211232_bem_40e_elicit_6  ELYO AEBA IMFUMU NA BANTU ATI AWE NOMBA CAPWA INOMBE YASHALA IPAYENI MOCE YENA TWALALYA NIFWE 
04-201005-211232_bem_40e_elicit_7  ABANTU BWANGU BWANGU BAIPAYA ING'OMBE BAOCA BALALYA NO KULYA
04-201005-211232_bem_40e_elicit_8  MULENGA ABEBA NO KUSHINGA IMITO BOCELEPO INAMA PA MPUMI E KUKANALABA IMFUMU YA MPANDE PA MPUMI 
04-201005-211232_bem_40e_elicit_9  ABAKALAMBA BAMOBAMO BASOSELA PAMO ABATI ICILIBWE CALEISUKA KWATI MWINSHI NA BANTU BALEINGILA MUKATI
04-201005-211232_bem_40e_elicit_10  BAMBI NABO ABATI NE LINO LYA NSOFU LINE LILYA BABIKILE MUKATI KA CILUCENGO 
04-201005-211232_bem_40e_elicit_11  BASOSA NO KUTI NGA BENGATOBAULA ICILIBWE BAKASANGAMO IFINTU FIMOFIMO IFYAKALE
04-201005-211232_bem_40e_elicit_12  LLYO BAPWA UKUPEPA BABWELELAMO KU KUTWALA MWAMBA KWA NTALASHA
04-201005-211232_bem_40e_elicit_13  BAYASANGA E BUSHIKU BACIMFISHE ABAYEKE 
04-201005-211232_bem_40e_elicit_14  ABANTU BONSE E PA KWISHIBA UKUTI MULENGA NI SHIMAPEPO WINEWINE
04-201005-211232_bem_40e_elicit_15  NAKAOMA NA NKASHI YAKWE MWENYA BAKUKILA KULYA KWINE
04-201005-211232_bem_40e_elicit_16  NOMBA PA KUYA KU KUPEPA BALACITA IFI NYINA ALESENDA IFINTU FYE LAMBO MWENYA ENA INKUNI SHA KOCELAPO ICIITA 
04-201005-211232_bem_40e_elicit_17  CALI CA NSONI KULI MULENGA PA KULASENDAMA INANDA IMO NA BANYINA NA NKASHI YAKWE
04-201005-211232_bem_40e_elicit_18  ASUKA AYASANGA ULUPILI WA CHISHA UMO ALEPITANA MU KUFWAYE NAMA SHA KULEKA IFIITA 
04-201005-211232_bem_40e_elicit_19  ASHINGULUKA ULU LUPILI ASUKA AMONA UMWINSHI KWATI NI YANDA
04-201005-211232_bem_40e_elicit_20  AINGILA MUKATI MWALI UMWAFIITA FITITI TAISHIBE UKUTI CABA NGE NANDA ATEMWA LUCENGO 
04-201005-211232_bem_40e_elicit_21  APAMFIWA SANA UKUTI AMONE MUKATI 
04-201005-211232_bem_40e_elicit_22  AFUMA ALASHIKA NO MULILO AKOSHA ASENDA UTUKUNI NO MULILO AKOSHA MUKATI
04-201005-211232_bem_40e_elicit_23  AMONA KABILI KUNTANSHI KWAFIITA ATOLE CISHISHI CA MULILO ASANIKAKO AMONA FYE CIYANDA ICIKULU SANA KWATI NI PA MUKOOTI 
