02-200916-210458_bem_197_elicit_1  UMUNNTU UWAMUTEMBO UUPOKELELA ABENI
02-200916-210458_bem_197_elicit_2  KWISANO KWALYAFYA UFWILE WACENJELA ILYO ULEYAKO
02-200916-210458_bem_197_elicit_3  UMULANDU WASOKOLOKA PANTU SHIMILANDU NASUMINA
02-200916-210458_bem_197_elicit_4  TATWISHIBA UKULEFUMA UBUSANSO NANGU UULEKUFUTUKA
02-200916-210458_bem_197_elicit_5  NGA ULEFWAYA UKUKWATA IFINTU FIMO UFWILE WAFYENDELA NOKUFICULILA
02-200916-210458_bem_197_elicit_6  TEKUTI UKWATE ICILI CONSE NGACAKUTI WIKELEFYE UKWABULA UKUBOMBA
02-200916-210458_bem_197_elicit_7  UMUNTU UWATEMWA UKUBELELEKA NO KULANSHA BAMUKA BENE
02-200916-210458_bem_197_elicit_9  UMWANA UUSHUMFWA ILINGI ALAPONENA MUBWAFYA
02-200916-210458_bem_197_elicit_10  UMUNTU AFWILE ABA UWACISHINKA KULI BALUPWA NANGU KU CALO CAKWE
02-200916-210458_bem_197_elicit_11  SAKAMANA NOKUSUNGA ICUMA ICO WANONKA KALE WICETEKELA ICISHILAMONEKA
02-200916-210458_bem_197_elicit_12  SAKAMANA NOKUSUNGA ICUMA ICO WANONKA KALE WICETEKELA ICISHILAMONEKA
02-200916-210458_bem_197_elicit_13  TAUFWILE WABIKISHA IFYUMA FYOBE KUBANTU USHISHIBE BWINO PANTU KUTI CALUBA
02-200916-210458_bem_197_elicit_14  ILYO USENDELE ICISENDO ICAFINA ULINGILE WALAALWILA ALWILA PAKUTI CAKWANGUKILAKO
02-200916-210458_bem_197_elicit_15  UMUSHA WENA NANGU FYE BAMUPELA IFISHIPIKWE BWINO NINSHI BAMUCINDIKA NGANSHI
02-200916-210458_bem_197_elicit_16  ABANTU NGELYO BAUPANA BALOMFWA BWINO NGANSHI NOKUTEWANA SANA
02-200916-210458_bem_197_elicit_17  IYI NSOSELO IBOMFIWA KU BAUPANA NOMBA LINE UKWESHA UKUBASOKA UKUTI KULI IFYO BAKASANGA MUCUPO CABO IFINGALENGA UKUTI BAPUSANE
02-200916-210458_bem_197_elicit_18  NGAWAUPA KUTI WACITA IFILIFYONSE NO MUKASHI OBE LELO NINSHI TAUKWETE INSAMBU SHAKUMUCUSHA NANGU UKUMWIPAYA 
02-200916-210458_bem_197_elicit_19  UBU BUSOKO KULI SHIBWINGA
02-200916-210458_bem_197_elicit_20  UTWAKULYA UTUSUMA UTO UMUKASHI ABIKILA UMULUME WAKWE PAMBALI
02-200916-210458_bem_197_elicit_21  UKUSENDAPOFYE IFYABUFI ELYO WASHA IFISHINKA
02-200916-210458_bem_197_elicit_22  UKUSENDAPOFYE IFYABUFI ELYO WASHA IFISHINKA
02-200916-210458_bem_197_elicit_23  ULEBOMBESHAFYE NO KULOLELA PANTU TAWAISHIBA IFYO LESA AKUSUNGILA BUSHIKU BUMO UKASHUKA
02-200916-210458_bem_197_elicit_24  ULEBOMBESHAFYE NO KULOLELA PANTU TAWAISHIBA IFYO LESA AKUSUNGILA BUSHIKU BUMO UKASHUKA
