01-200917-185936_bem_d31_elicit_0  SENDAMENIPO
01-200917-185936_bem_d31_elicit_1  KAFIKENIPO BANE MWILABA UKWEBA YOHANE UKWISA KU NG'ANDA KU MWANDI E KWASUKA KWAKWA SEMBE SHIMAPEPO
01-200917-185936_bem_d31_elicit_2  BADIKONE BONSE BAASUKILE CAPAMO ABATI TATWALABE BASHIMAPEPO BALOLA NA MU KASHILA AKALEFUMA KU CILONGANINO
01-200917-185936_bem_d31_elicit_3  SEMBE AISALE CIBI CAKU CILONGANINO ELYO AILE KU NG'ANDA YAKWE 
01-200917-185936_bem_d31_elicit_4  IYI NG'ANDA YAKWE YAKULILWE MUPEPI NE CILONGANINO KABILI EYALI IIKULU UKUCILA AMAYANDA YONSE MU MUSHI WA TANO 
01-200917-185936_bem_d31_elicit_5  NE MIPUTULE NAIMBI YALILUNDILWEKO PAKUTI KUBE UMWAKULALA ABENI PAMO NGA BAKABILA BA MBILA NSUMA NA BASHIMAPEPO NA BABOMFI ABALEFUMA MU FILONGANINO FIMBI 
01-200917-185936_bem_d31_elicit_6  SEMBE TALI UMUKALAMBA SANA ALI FYE NE MYAKA FIFTY SIX LELO PALI UBU BUSHIKU ALEENDA KWATI MUKALAMBA SANA ALEENDA PANONO PANONO NGO MUNTU UWANAKILE SANA 
01-200917-185936_bem_d31_elicit_7  ILYO AINGILE MU NG'ANDA ASANGILE UMUKASHI ALEMULOLELA 
01-200917-185936_bem_d31_elicit_8  UMUKASHI ALOLESHE SEMBE KWATI ALEMWIPUSHA IFYO AENDELE 
01-200917-185936_bem_d31_elicit_9  PANUMA YA KUSUMINISHA KU MUTWE UMUKASHI ALILILE UMUSOWA ATI YANGU MWANA WANDI EEE
01-200917-185936_bem_d31_elicit_10  PALI IYI NSHITA NINSHI SEMBE EKELE FYE MU CIPUNA
01-200917-185936_bem_d31_elicit_11  LESA ALITEMWE CILONGANINO  NAIFWE BENE TWALICITEMWA UYU E MULANDU UMO PA MILANDU IINGI ICO UYU MAGAZINI ALELEMBELWA
01-200917-185936_bem_d31_elicit_12  ABAUME BALACITE FINTU FINGI PAKUTI BOPE UMUKASHANA
01-200917-185936_bem_d31_elicit_13  BALASHITE FYABUPE IFYAMUTENGO NO KWENDA IMILUNDU KABILI NO KUBOMFYE NSHITA IITALI MU KULANSHANYA 
01-200917-185936_bem_d31_elicit_14  LELO LESA ALEKELE ABANTU BAKWE UKUMUSULA NOKUMULABA PA MYAKA AMAKANA
01-200917-185936_bem_d31_elicit_15  NELYO CALI FYO ATWALILILE UKUBATUMINE LYASHI LYAKUTEMWA UKUPITILA MULI BAKASESEMA 
01-200917-185936_bem_d31_elicit_16  ALEBALUNGIKA NO KUBAPANIKA PAMO NO KUBAPUPUTULA NAKUKULEKELASHA ABAPELE UMWEO WAKWE WINE 
01-200917-185936_bem_d31_elicit_17  UMULOPA WAKWE WATWISWILILE NSHILA FWE BABEMBU ABABIPISHA KUKUBA MU MUBILI UUPYA KABILI UUSUMA NABWINGA WAKWE 
01-200917-185936_bem_d31_elicit_18  NELYO ASOKOLOLA UKUTEMWA PAMO NO KWANGWA KWAKWE KU BANTU BONSE ABAPANO ISONDE NABWINGA WAKWE EWABA ICIKWATWA CAKWE CAMUTENGO KABILI KU MUTIMA WAKWE
