03-200916-133712_bem_798_elicit_0  ABASUMA TABAKOKOLA
03-200916-133712_bem_798_elicit_1  AKALIMBAKA KWASHIMA TAKAPWISHA MISANGO
03-200916-133712_bem_798_elicit_2  AKANANI KANTU KALI PABWALI
03-200916-133712_bem_798_elicit_3  AKAMUTI UKWETE EKO BOMINAKO IMBWA
03-200916-133712_bem_798_elicit_4  AKACILA KAMBUSHI KASENGULA EPO KEKELE
03-200916-133712_bem_798_elicit_5  AKABWELELELA KALALYA
03-200916-133712_bem_798_elicit_6  AKANTU KANTU UKWETE KUMINWE
03-200916-133712_bem_798_elicit_7  AKANTINA KA KWA LESA ENTUNTUKILO YAMANO
03-200916-133712_bem_798_elicit_8  AKABOKO KAKONKA AKABOKO KABIYE
03-200916-133712_bem_798_elicit_9  AKONI KAKELA UMUTIKA TEMENWE
03-200916-133712_bem_798_elicit_10  AMENSHI YAKUTALI TAYASHIMYA MULILO
03-200916-133712_bem_798_elicit_11  AMASHIWI YAMUKOTE YAPUSA KEBO YAPUSA AKABWE
03-200916-133712_bem_798_elicit_12  AMANO MAMBULWA YAFUMA MWIFWESA YA YAMUCULU
03-200916-133712_bem_798_elicit_13  BABILI TEMWENSO KUSOSHANYA
03-200916-133712_bem_798_elicit_14  BESHIBA EKOWAFUMA TABESHIBA EKOLEYA
03-200916-133712_bem_798_elicit_15  BAKOLWE BASEKANA UTUPATO
03-200916-133712_bem_798_elicit_16  CIMBWI PAKULILA NINSHI PALI EKO ASHITINTILILE
03-200916-133712_bem_798_elicit_17  CIMUMBWA PALA NOOKO PALA WISO UKUWAMA
03-200916-133712_bem_798_elicit_18  CIPATA MUKAYA UMWENU AKAYA UKASHALA UCIMONA
03-200916-133712_bem_798_elicit_19  CUMBU MUNSHOLOLWA
03-200916-133712_bem_798_elicit_20  ICALO LIFUPA BAKOLOKOTA KOFYE WASHA
03-200916-133712_bem_798_elicit_21  ICI TWATE SEMBE MUTIMA
03-200916-133712_bem_798_elicit_22  ICIKU PEMPULA ECIKULYA
03-200916-133712_bem_798_elicit_23  ICUPO NI INGANDA
03-200916-133712_bem_798_elicit_24  IFILALA FYAMUNDA YANAMA
03-200916-133712_bem_798_elicit_25  IFYAKULYA UBUSHIKU BAFIMWENA KUMALUSHI
03-200916-133712_bem_798_elicit_26  IMPUTI ISULA TAIBULA KU BWEKESHAPO
03-200916-133712_bem_798_elicit_27  IFYA KWIBA TA FINONSHA
03-200916-133712_bem_798_elicit_28  IMITI IKULA EMPANGA
03-200916-133712_bem_798_elicit_29  IMPUPU NIPA KU BOKO 
03-200916-133712_bem_798_elicit_30  IMBILA YAMUSHI TABAYA SUKILA
03-200916-133712_bem_798_elicit_31  ICIKALIPA CUNFWA UMWINE
03-200916-133712_bem_798_elicit_32  IFI LALA FYA MUNDA YANAMA
03-200916-133712_bem_798_elicit_33  ILYASHI LYAKUKATI TELYAKUTWALA PACIBWANSE
03-200916-133712_bem_798_elicit_34  IMITI IPALAMENE TAIBULA KUKWESANA
