01-200922-110537_bem_d31_elicit_0  KASEBO KA BUYANTANSHI
01-200922-110537_bem_d31_elicit_1  UKUSHABA KUPANDA AMANO AMAPANGE YAFULUNGANIWA LELO UKULI ABAPANDA AMANO ABENGI AMAPANGE YALEMININA
01-200922-110537_bem_d31_elicit_2  PAPITA IMYAKA AMAKUMI YATATU APO SOLOMOMI NA BAMBI BALEMBELE AMANO YABO 
01-200922-110537_bem_d31_elicit_3  LELO AYA MANO KUTI YATWAFWA NA MULI SHINO NSHIKU 
01-200922-110537_bem_d31_elicit_4  MAKA MAKA ILYO IBUMBA LYA BENA KRISTU NGA IFWE 
01-200922-110537_bem_d31_elicit_5  FWEBASHALEMBAPO MAGAZINE KALE 
01-200922-110537_bem_d31_elicit_6  TULEFWAYA UKUTENDEKA NKUFIKILISHA UYU MULIMO MU CALO CESU ICA ZAMBIA
01-200922-110537_bem_d31_elicit_7  EICO TULI NE NSANSA SANA PAFYO BA MUNYINEFWE BA MARK DAVIES BATUPANDILEKO AMANO NOKUTUNKANSHA ILYO BASAMBILISHE PA KULONGANA
01-200922-110537_bem_d31_elicit_8  KWA NTANSHI UKWABAKELULA MU MWESHI WA MARCH KU LUANSHYA 
01-200922-110537_bem_d31_elicit_9  ELYO KABILI TWAPOKELELE AMASAMBILILO AYATANTIKWA UKUFUMA KU KABUNGWE KA MAGAZINE TRAINING INTERNATIONAL 
01-200922-110537_bem_d31_elicit_10  AKA EKABUNGWE AKABOMBA UMULIMO WAKUKANSHA ABO BONSE ABALEFWAYA UKUTENDEKA
01-200922-110537_bem_d31_elicit_11  MAGAZINE YA BENA KRISTU UKULI KONSE PANO ISONDE 
01-200922-110537_bem_d31_elicit_12  NAKABILI TULETOTELA ABENA KRISTU MUNO ZAMBIA ABATUPANDAKO AMANO MUFYO BATULEMBELA
01-200922-110537_bem_d31_elicit_13  ILYO KWALI UKULONGANA KWAKUSABANKANYA UMULINO WA MAGAZINE KU SAMFYA UKWASANGILWE ABAKALAMBA MU NKUTA NABA KAPYUNGA NALIMO HUNDRED
01-200922-110537_bem_d31_elicit_14  NABO BALANDILE PAFYO TWINGATWALA UMULIMO UYU PANTANSHI 
01-200922-110537_bem_d31_elicit_15  UMWIMINISHI WESU KU COPPERBELT ALELANSHANYA NENTUNGULUSHI SHA FILONGANINO MU MATAUNI YONSE KULYA 
01-200922-110537_bem_d31_elicit_16  UYU MWESHI ULEISA TULI NOKUTANDALILA ICITUNGU CA LUAPULA PAKUTI TUKALANSHANYE NENTUNGULUSHI UMUSANGO WA
01-200922-110537_bem_d31_elicit_17  KUSHITISHA NOKUSALANGANYA AMA MAGAZINE 
01-200922-110537_bem_d31_elicit_18  UKU KULANSHANYA KULECITIKA NAMU NORTHERN PROVINCE
01-200922-110537_bem_d31_elicit_19  ABAKWATA ISHUKO LYAKUBOMFYA AMA COMPUTER KUTI BAMONA IFI FINTU PAKEYALA KESU WWWNATULEYACOM 
01-200922-110537_bem_d31_elicit_20  ABO BONSE ABENGAFWAYA UKUBELENGA MAGAZINE YESU KONSE UKO BALI PANO ISONDE KUTI BABOMFYA II WEBSITE ELYO KABILI
01-200922-110537_bem_d31_elicit_21  MU NSHIKU ISHILEISA NAFIMBI IFYAKUBELENGA FIKALASANGWA PALI II WEBSITE
01-200922-110537_bem_d31_elicit_22  EICO MUKWAI ABO BONSE ABALETONTONKANYA PALI FIMO NANGU ABALEMONA IFINTU FIMO IFINGATWAFWA UKUWAMYA UYU MULIMO
01-200922-110537_bem_d31_elicit_23  KUTI BATULEMBELA IFYO BALETONTONKANYA 
01-200922-110537_bem_d31_elicit_24  ELYO UKUCILA FYONSE BONSE NATUPEPE UKUTI LESA UMWINE UWACILA BONSE UKUPANDA AMANO
01-200922-110537_bem_d31_elicit_25  AKAPELE AMANO NECIKOSELESHI KULI BONSE ABAIBIMBA MULI UYU MULIMO 
01-200922-110537_bem_d31_elicit_26  NGA YEHOBA TAKULILE NG'ANDA NINSHI ABAKULAKO BACUCUTIKA APA FYE
01-200922-110537_bem_d31_elicit_27  MUKWAI TUPEPELENIKO
01-200922-110537_bem_d31_elicit_28  PAKUPEKANYA AMA MAGAZINE YAKUNTANSHI
01-200922-110537_bem_d31_elicit_29  PALI BAKALEMBA NABAKWILULA
01-200922-110537_bem_d31_elicit_30  KALEMBA MUKALAMBA EDITOR ELYO NAKABUNGWE KA BAMPANDAMANO
01-200922-110537_bem_d31_elicit_31  PALUPIYA ULULEKABILWA MULI UYU MULIMO
01-200922-110537_bem_d31_elicit_32  ABAKALASHITISHA AMA MAGAZINE
01-200922-110537_bem_d31_elicit_33  PAKUSANGA INSHILA IISUMA MUKUSHITISHA AMA MAGAZINE
01-200922-110537_bem_d31_elicit_34  INTUNGULUSHI ISHILETUNGILILA UMULIMO MUFILONGANINO FYABO
01-200922-110537_bem_d31_elicit_35  UKUTI LESA UMWINE ENGALAKUULA ULUKUTA UKUPITILA MULI UYU MULIMO
01-200922-110537_bem_d31_elicit_36  UBUSHIKU BWA KUKANSHIWA BWA KWILULWA
01-200922-110537_bem_d31_elicit_37  UKULONGANA KWA BAKWILULA MU CIBEMBA NA MU CINGELESHI MU MULIMO WA NATULEYA MAGAZINI UKWAPEKANISHIWE NA BA OBED MWAPE 
01-200922-110537_bem_d31_elicit_38  LUANSHYA PAMO NA BA MARCO VEDDER 
01-200922-110537_bem_d31_elicit_39  KASAMA KWALIFYE BWINO
01-200922-110537_bem_d31_elicit_40  UKU KULONGANA KWABELELE PA NCENDE APASUMA APATALALA TONDOLO KUNSE YE TAUNI LYA MASAITI ILYABELA
01-200922-110537_bem_d31_elicit_41  KU KAPINDA KA KULYO AKE TAUNI LYA LUANSHYA
01-200922-110537_bem_d31_elicit_42  UKU KULONGANA KWALIKO PA BUSHIKU BWA FOURTEEN MARCH TWO THOUSAND AND NINE ELYO KABILI KWASANGILWE ABANTU IKUMI LIMO TEN 
01-200922-110537_bem_d31_elicit_43  ABA BANTU BAFUMINE MU FITUNGU FITATU MUNO ZAMBIA LUAPULA NORTHERN ELYO NA KU MIKOTI
01-200922-110537_bem_d31_elicit_44  NANGULINE UKU KULONGANA KWALIFYE KWA BUSHIKU BUMO TWASAMBILILE IFINTU IFINONO IFIKANKALA
01-200922-110537_bem_d31_elicit_45  IFYAKUTWAFWA MU MULIMO WA NATULEYA MAGAZINI 
01-200922-110537_bem_d31_elicit_46  FIMO PALI IFI FINTU NIFI
01-200922-110537_bem_d31_elicit_47  UKWISHIBA ABO ABAKALABELENGA UYU MAGAZINI
01-200922-110537_bem_d31_elicit_48  UMULIMO NE MIBELE FYA BAKWILULA
01-200922-110537_bem_d31_elicit_49  UKWISHIBA UMUSANGO TWAKULALEMBELAMO ICIBEMBA
01-200922-110537_bem_d31_elicit_50  UKUBOMBA UMULIMO WAKUFWAILISHA PA MILANDU IMOIMO IIKUMINE UYU MULIMO
01-200922-110537_bem_d31_elicit_51  IFI EFINTU IFYO NAMWENE UKUBA IFIKANKALA MULI UYU MULIMO WA NATULEYA MAGAZINI
01-200922-110537_bem_d31_elicit_52  UWANGWE CEBO CA KWA LESA AKASANGO BUSUMA NO UTETEKELA YEHOBA ALIPAALWA
01-200922-110537_bem_d31_elicit_53  UWA MUTIMA WA MANO ETWO WA MUCETEKANYA NO KULOWA KWA FYA MU MILOMO KULUNDAKO UKUKOLOPEKA
01-200922-110537_bem_d31_elicit_54  PANUMA YAKULONGANA UKUKALAMBA UKWABELELE KU CALO CA SOUTH AFRICA MU TWO THOUSAND AND FOUR 
01-200922-110537_bem_d31_elicit_55  INTUNGULUSHI UKUFUMA MUFILONGANINO FYA CHRISTIAN BRETHREN UKUFUMA MU FYALO IFYALEKANA
01-200922-110537_bem_d31_elicit_56  LEKANA MUNO AFRICA SHIKALONGANA MUNO ZAMBIA MU MWESHI WA AUGUST
01-200922-110537_bem_d31_elicit_57  TUKESHA UKUSAMBILISHANYA ELYO NOKUMONA IFYO TWINGAFWANA MU NSHIKU SHAKUNTANSHI
01-200922-110537_bem_d31_elicit_58  ABALINGILE UKUSANGWA KULI UKU KULONGANA NI ABO ABAIBIMBA MU MILIMO YAKWA SHIKULU IYALEKANA LEKANA
01-200922-110537_bem_d31_elicit_59  NALIMO MUCITUNGU UMO BEKALA NANGU ABO ABAPYUNGA MU NCENDE ISHALEKANA LEKANA MUNO ZAMBIA
01-200922-110537_bem_d31_elicit_60  ABA BANTU BAFWILE UKUBA ABAISHIBA BWINO BWINO UKULANSHANYA MU LULIMI LWA CINGELESHI 
