01-201004-193949_bem_fb0_elicit_0  IFILIMO
01-201004-193949_bem_fb0_elicit_1  ICO IMFUBU YAPATILA ABANTU ICO THILA NE FILYO FYABO
01-201004-193949_bem_fb0_elicit_2  ICALENGA UKUD CIMBWI ABE NO MWENSO
01-201004-193949_bem_fb0_elicit_3  ICO INUNI YAPATILA INSHIMU
01-201004-193949_bem_fb0_elicit_4  AMATUKUTO YA FYULA
01-201004-193949_bem_fb0_elicit_5  AMALIBU YA KUILOMBEIA
01-201004-193949_bem_fb0_elicit_6  APATULA IMIGOMBA UKULYA IMBALALA MU FIFWANI
01-201004-193949_bem_fb0_elicit_7  ABO BAKONA AMALA
01-201004-193949_bem_fb0_elicit_8  ICO IMBWA YAIKALILA NA BANTU
01-201004-193949_bem_fb0_elicit_9  ISHAMO LYAKWA MULIMA
01-201004-193949_bem_fb0_elicit_10  ISHIWI LYANTANSHI
01-201004-193949_bem_fb0_elicit_11  MU KATABO AKA NALEMBAMO IMILUMBE PABULA 
01-201004-193949_bem_fb0_elicit_12  PA MILUMBE II MULI FYE IMILUMBE ITATU IYO NAUMFWILE KU BAKALAMBA NEYI ILI PA FIPENDO FIVE NA SIX NA SEVEN 
01-201004-193949_bem_fb0_elicit_13  YONSE IYASHALA NASHIKILE FYE NE MWINE UKWABULA UKUMFWA KU BANTU BAMBI 
01-201004-193949_bem_fb0_elicit_14  NGA CAKUTI YAWAMA ABAKABELENGA E BAKASOSA
01-201004-193949_bem_fb0_elicit_15  ICISHIBILO CAKUTI IMILUMBE ILI MUKATI NAIWAMA KUSHITWA KWE BUKU 
01-201004-193949_bem_fb0_elicit_16  KWENA NGA YAWAMA KUTI MWANEMBELA PAKUTI NKESEESHA UKUSHIKA NA IMBI NAYO TUKAILEMBE MU IBUKU LIMBI
