04-200916-232620_bem_346_elicit_0  TWACILYA
04-200916-232620_bem_346_elicit_1  NOMBA NINSHI MULEIMBILA KWATI BANA ABALWELE
04-200916-232620_bem_346_elicit_2  UMUTWE NA MAPEYA AMAKUFI NO TUKONDO
04-200916-232620_bem_346_elicit_3  UMUTWE NA MAPEYA AMAKUFI NO TUKONDO
04-200916-232620_bem_346_elicit_4  ZENAIDA ISA KUNO KUNTANSHI
04-200916-232620_bem_346_elicit_5  IMBA WEKA PALOBE
04-200916-232620_bem_346_elicit_6  UMUKASHANA MUSUMA
04-200916-232620_bem_346_elicit_7  MONENI EFYO ALAISA IMBA 
04-200916-232620_bem_346_elicit_8  UMMUKASHANA MUSUMA
04-200916-232620_bem_346_elicit_9  UMUTWE NA MAPEYA AMAKUFI NO TUKONDO
04-200916-232620_bem_346_elicit_10  UMUTWE NA MAPEYA AMAKUFI NO TUKONDO
04-200916-232620_bem_346_elicit_11  ELO AMENSO NA MATWI NA KALEFU LEFU NO MONA
04-200916-232620_bem_346_elicit_12  UMUTWE NA MAPEYA AMAKUFI NO TUKONDO
04-200916-232620_bem_346_elicit_13  MONENI NACISHUPA MUTOTELENIKO
04-200916-232620_bem_346_elicit_14  WACITA BWINO WACITA BWINO UMWANA UMUSUMA
04-200916-232620_bem_346_elicit_15  NI NANI ULEFWAYA UKWESHAKO UKWIMBA
04-200916-232620_bem_346_elicit_16  UMUTWE NA MAPEYA
04-200916-232620_bem_346_elicit_17  IKATENI PAMITWE YENU BONSE IKATA UMUTWE
04-200916-232620_bem_346_elicit_18  IKATA PA MUTWE
04-200916-232620_bem_346_elicit_19  AMAPEYA
04-200916-232620_bem_346_elicit_20  AMAKUFI
04-200916-232620_bem_346_elicit_21  PAKANWA
04-200916-232620_bem_346_elicit_22  TAWISHIBE PAKANWA POBE NI PESA
04-200916-232620_bem_346_elicit_23  CIINSHI ECO ULANDILAMO
04-200916-232620_bem_346_elicit_24  APA LELO TWALASAMBILILA EFYO BABOMFYA ICIMBUSU
