05-200918-093426_bem_a40_elicit_0  PATILE AKANTU  
05-200918-093426_bem_a40_elicit_1  UMULUMENDO ALIFUMINE KU CALO CIMBI UKWISA UPILA KUNO KWA KASOMA 
05-200918-093426_bem_a40_elicit_2  UMUKASHI WAKWE ILYO BAUPENE AMWEBELE 
05-200918-093426_bem_a40_elicit_3  WE MULUME WANDI KUNO FWEBO TAKWABA BUFI NGA BA KUMFWA ULEBEPA UBUFI EBUSHIKU NO KUFWA UKAFWA
05-200918-093426_bem_a40_elicit_4  SHUWA WE MUKASHI WANDI
05-200918-093426_bem_a40_elicit_5  ATI ALA NIFYO FINE TAKWABA BUFI KUNO   
05-200918-093426_bem_a40_elicit_6  AWE EFYO BAIKELE EFYO BAIKELE UMULUMENDO EBELE UUNHU KUNO KUNTU TAKWABA BUFI FESHITI NGALE KANKAYE KULI BATATA 
05-200918-093426_bem_a40_elicit_7  EFYO UMULUMENDO AIMINE NOKUYA KULI BAWISHI 
05-200918-093426_bem_a40_elicit_8  ELYO AFIKILE  APOSESHE BAWISHI NOKULONDOLWELA 
05-200918-093426_bem_a40_elicit_9  BATATA NEBO UMFWENI UKU KWA KASOMA IFYO KWABA KWENA TAKWABA BUFI UBUSHIKUFYE WA BEPA NINSHI NO KUFWA EKUFWA
05-200918-093426_bem_a40_elicit_10  AWE EFYO WISHI EBELE OOHO EFYO KWABA  
05-200918-093426_bem_a40_elicit_11  ATI EEE KANSHI TAKWABA UUBEPAUBUFI
05-200918-093426_bem_a40_elicit_12  OKE WE MWANA WANDI 
05-200918-093426_bem_a40_elicit_13  ISUMBU ILI 
05-200918-093426_bem_a40_elicit_14  ILISUMBU NAKUPELA 
05-200918-093426_bem_a40_elicit_15  WEBO UKWA KUTEYA NOTI KU MUMANA
05-200918-093426_bem_a40_elicit_16  KUTEYA KU MULUNDU 
05-200918-093426_bem_a40_elicit_17  KULYA KWINE KU MABALA YENU MUYA MU KULIMINA EKO UKAYE TEYA ISUMBU ILI 
05-200918-093426_bem_a40_elicit_18  IFI KALACITIKA EFYO UKALAMONA 
05-200918-093426_bem_a40_elicit_19  AWE EFYO UMULUMENDO KULYA ASENDAMA BWISE BUCE ABWEKELA KU BAKASHI 
05-200918-093426_bem_a40_elicit_20  AAHA MWAISAKO NE SUMBU ATI EEE 
05-200918-093426_bem_a40_elicit_22  AWE UMULUMENDO EFYO AIKELEMO TUDESHI AKA FILIDESHI UMULUMENDO ALIMINE 
05-200918-093426_bem_a40_elicit_23  MUKASHI WANDI NAYA MU KUTEYA ISUMBU 
05-200918-093426_bem_a40_elicit_24  ALOLA KU MULUNDU UKWABULA NANGU ICA KOBELAKO TAKWETE EFYO AYA KU MABALA KULYA ATEYA ISUMBU ATEYA ATEYA   
05-200918-093426_bem_a40_elicit_25  ULUCELO AISHILE EBA UMUKASHI MUKASHI WANDI TULEYA TULOLE ISUMBU
05-200918-093426_bem_a40_elicit_26  IMWE ILI ISUMBU MWATWELE KU MULUNDU EKO TWINGAYA KU
05-200918-093426_bem_a40_elicit_27  NATULEYA IWE 
05-200918-093426_bem_a40_elicit_28  UKU MUPATIKISHA UMUKASHANA ULYA BAILE NO MULUME WAKWE  
05-200918-093426_bem_a40_elicit_29  BAYA FIKA NA KULYA KU MABALA 
05-200918-093426_bem_a40_elicit_30  KUYASANGA KULYA KULI AMENSHI KULI UMUKUKU ELYO ISABI NALIKAPYA ILYA MPENDE NA LIMBI ILYA SHALA   
05-200918-093426_bem_a40_elicit_31  UMUKASHI WAKWE ATONTONKANYA UUNHU UYU MUNTU EKWASANGWA ISABI BUSHE NIKU MUMANA KUNO TULI NANGU NIKU MPANGA  
05-200918-093426_bem_a40_elicit_32  NOMBA ACITA NGA ALOLESHA NA TUTE ILEMONEKA 
05-200918-093426_bem_a40_elicit_33  AWE UMULUMENDO AOLOLA ISABI AOLOLA AOLOLA ABULA NE SUMBU ABIKA NAPA LUPUTA ATI 
05-200918-093426_bem_a40_elicit_34  MUNE TWA ANIKA ISUMBU TUKESA TEYAKO MASOSHI BA BWEKELAMO
05-200918-093426_bem_a40_elicit_35  UMUKASHANA ALECITA NGA AINGILILAMO 
05-200918-093426_bem_a40_elicit_36  UUNHU BUSHE NIKU TULO KWENA TULELOTA 
05-200918-093426_bem_a40_elicit_37  NOMBA TEKUTULO KABILI NE SABI ILI TULELYA
05-200918-093426_bem_a40_elicit_38  AWE EFYO BAIKELE AKA BUTATU KAFIKA  MUNE NAYA MU KUTEYA ISUMBU
05-200918-093426_bem_a40_elicit_39  MWAYA MU KUTEYA ISUMBU 
05-200918-093426_bem_a40_elicit_40  ATI EEE  AWE EFYO UMULUMENDO AILE KU MPANGA KULYA ATEYA ISUMBU ABWELA 
05-200918-093426_bem_a40_elicit_41  MWABWELENI MUKWAI 
05-200918-093426_bem_a40_elicit_42  ATI EYA MUKWAI 
05-200918-093426_bem_a40_elicit_43  AMUPA NOTU MENSHI TWAKU SAMBA NAKA BWALI ACAYAKO 
05-200918-093426_bem_a40_elicit_44  AWE ICUNGULO CAFIKA BWAILA UBUSHIKU BALALA  
05-200918-093426_bem_a40_elicit_45  MUNE TUYE TULOLE ISUMBU WE
05-200918-093426_bem_a40_elicit_46  AAHA NEBO LELO NSHILEYAKO SENDENI KA MULAMU WENU  
05-200918-093426_bem_a40_elicit_47  EFYO BAILE NAKA MULAMU WAKWE 
05-200918-093426_bem_a40_elicit_48  KUYA FIKA KULYA KUYA KUSANGAFYE AMENSHI ISABI NALIKATWA NELILE SUNUKA KWISUMBU 
05-200918-093426_bem_a40_elicit_49  KA MULAMU WAKWE KALOLESHA 
05-200918-093426_bem_a40_elicit_50  AWE KWENA NDEYA SHIMIKILAKO BATATA MWE UUNHU KWABA UMUNTU WA MUSANGO IFI  KUNO KU MPANGA 
05-200918-093426_bem_a40_elicit_51  EFYO BA OLWELE ISABI NA MASUMBU AYANIKA BABWEKELA KU MUSHI
05-200918-093426_bem_a40_elicit_52  UMO ABALUMENDO BASHI TEKANISHISHA KUYAFYE KU BANANKWE ATI 
05-200918-093426_bem_a40_elicit_53  BANE MULAMU WANDI ISUMBU UKO ATEYA NIKU MUMANA AAHA NIKU MPANGA ATEYA ENA TATEYA KU MUMANA UKU  
05-200918-093426_bem_a40_elicit_54  ALA ISABI LILEKATWA
05-200918-093426_bem_a40_elicit_55  BAISA TUYE TWIPUSHE BA MULAMU OBE NGA NIKU MPANGA BATEYA AMASUMBU 
05-200918-093426_bem_a40_elicit_56  AWE EFYO BAISA ABALILAPO EBELE NKASHI YAKWE TAISHIBE ENA KUYA FIKA KULYA
05-200918-093426_bem_a40_elicit_57  ATINI BA MULAMU TEKU MULUNDU TWACIYA MU KWANDULA AMASUMBU 
05-200918-093426_bem_a40_elicit_58  UUNHU IWE  KUNO KU MWENU TAKWABA BUFI EFYO NKASHI YOBE ALANDILE TULEYA KU CIPANGO
05-200918-093426_bem_a40_elicit_59  EKU MUTWALA KU CIPANGO ULYA MULUMENDO EFYO BA MWIPEYE
05-200918-093426_bem_a40_elicit_60  NO MULUMENDO ULYA ALIBWEKELEMO NAKU MWABO
05-200918-093426_bem_a40_elicit_61  NA KASHIMI MUKWAI KAPELA
