01-201006-110929_bem_fb0_elicit_0  ISHAMO LYAKWA MULIMA
01-201006-110929_bem_fb0_elicit_1  LESA MUKULU ILYO APWILE UKUBUMBA IFYUNI FYONSE IFYA PANO ISONDE AFIPELE UBUSUMA CIMOCIMO UKULINGANA NOMO AISHIBILE UMWINE 
01-201006-110929_bem_fb0_elicit_2  LELO ICUNI ACISHISHEPO UKUYEMFYA NO KUMONEKA UBUSAKA MULIMA 
01-201006-110929_bem_fb0_elicit_3  UMULIMA WAKWETE AMASAKO AYABEKA AYASUMA NGANSHI WALI NA KAMUTWE NAKO AKASUMA NA KAMULOMO AKATAL AKAMUTUNTULA
01-201006-110929_bem_fb0_elicit_4  IFYUNI FYONSE FYALEKUMBWA UBUSUMA BWA MULIMA
01-201006-110929_bem_fb0_elicit_5  MULIMA PA KUMFWA UKUTASHIWA KU BABIYE ICILUMBA CAMWIKATA SANA ATENDEKA NO KUSUULA ABABIYE ALABASEKA ALABAMBA NO KUBAMBA 
01-201006-110929_bem_fb0_elicit_6  KABILI ABIKAPO NO MULOMO NO BUFI NA BUKAFUKANYA 
01-201006-110929_bem_fb0_elicit_7  ICI CALENGELE IFYUNI IFINGI UKUTI FIMUPATE
01-201006-110929_bem_fb0_elicit_8  BUSHIKU BUMO ASANGILE AMAKANGA YALEPALA IMBALALA MU CIFWANI CA BANTU 
01-201006-110929_bem_fb0_elicit_9  APO PENE ATENDEKA BUKAFUKANYA BWAKWE ATI MWE BAUME BAMAKANGA BUSHE MWALITESHA IFYO CEMBE ALEMWEBA 
01-201006-110929_bem_fb0_elicit_10  NABO AWE YAMA TATWATESESHE NGA KANSHI ALETI SHANI
01-201006-110929_bem_fb0_elicit_11  MULIMA YABA LELO NGA MWATESHA MULETEMWA 
01-201006-110929_bem_fb0_elicit_12  ALA CEMBE ALETI BALYA BANTU BABA AMABALA NGA BALWALA IFIBASHI NABO UKUCUSHA ABANTU 
01-201006-110929_bem_fb0_elicit_13  BENA CALIBANSHA UKUIFWAILA FYE IFYAKULYA 
01-201006-110929_bem_fb0_elicit_14  KANO UKUYA MU KULAIBILA ABENE IMBALALA 
01-201006-110929_bem_fb0_elicit_15  TABAMONA KULI INE NE WAMAKA NJIBAMBILA FYE UMUNANI NE MWINE
01-201006-110929_bem_fb0_elicit_16  TETI NDEIBA IFYABENE 
01-201006-110929_bem_fb0_elicit_17  BALYA BAPUMBU KABILI BAPUUPU BENEBENE EFYO ALEMWEBA IFYO FINE
01-201006-110929_bem_fb0_elicit_18  AMAKANGA YATI YATESHE IFYO IMITIMA TE PA BUKALI AYATI 
01-201006-110929_bem_fb0_elicit_19  CINECINE CEMBE KUTI ATUTENDEKA FYE IFYO FINE BUSHE NI MBALALA SHAKWE TULYA 
01-201006-110929_bem_fb0_elicit_20  FWE BENE TUILANDULA PA MULANDU WA KUTI NA IFWE UMUNTU ATUPATA NGANSHI 
01-201006-110929_bem_fb0_elicit_21  ATILA APO ATUSANGA ALATUTAMFYA NE MBWA SHAKWE KABILI E WALOFYA NA BANA BESU ABENGI 
01-201006-110929_bem_fb0_elicit_22  NATUYE TUMUMFWE LELO LYENA NGA TAYESOSA BWINO TULEYAMUTWALA KU CILYE
01-201006-110929_bem_fb0_elicit_23  MULIMA AWE BANA BESU NIFYO FINE KABILI ILYO AMWENE ANTASHISHE NGANSHI PA BUSUMA UBU NAWAMA 
01-201006-110929_bem_fb0_elicit_24  IMWE NI NSELE FYE SHEKASHEKA ALEMUTUKA
01-201006-110929_bem_fb0_elicit_25  APO PENE AMAKANGA YALUNGAMA NO KWALI CEMBE 
01-201006-110929_bem_fb0_elicit_26  YASHIMUSANGA FYE AYATI CEMBE LELO LYENA ULESOSEKESHA PA IWAMBO WATUTEKELE
01-201006-110929_bem_fb0_elicit_27  BUSHE IMBALALA WALETWAMBILAPO NI MU FIFWANI FYOBE TULYA
01-201006-110929_bem_fb0_elicit_28  CEMBE PA KUMFWA AMASHIWI YA MUSANGO UYU CAMUPESHA AMANO 
01-201006-110929_bem_fb0_elicit_29  ASUKA AYASUKA ADI MWE BAUME MWE SHI MWAPENA FYE BUSHE NANI AMUSHIMIKILE AMASHIWI YA MUSANGO UYU
01-201006-110929_bem_fb0_elicit_30  AMAKANGA NI MULIMA
01-201006-110929_bem_fb0_elicit_31  CEMBE MWATESHA MWATESHA MWE BAUME MWE ULYA MUNTU CINECINE ECO BAMWEBELA ALIBIPA EE 
01-201006-110929_bem_fb0_elicit_32  KABILI E WISHILE MU KUNJEBA ATI IMWE MWALENYAMBA ATI CICEMBE CITOLOMOKA FIMALA CIFULAMA MULOMO CENA CAIKALILA UKULYA IFIMASABI KWATI ENSHI
01-201006-110929_bem_fb0_elicit_33  LEKENI BUSHIKU BUMO CIKAPATWA NE MYUNGA ULEKE CIKAFWE IFI EFYO ANSHIMIKILE UKUTI EFYO MWALENJEBA
01-201006-110929_bem_fb0_elicit_34  AMAKANGA ALA CINECINE EFYO ASOSELE KULI IWE
01-201006-110929_bem_fb0_elicit_35  CEMBE NA KU MATANDA KU MUSHILI WAKASHIKA BAMULENGA ABANDYA FVE AKALUMBA AKANDEPUKILA
01-201006-110929_bem_fb0_elicit_36  AMAKANGA OH KANSHI CAWAMA NOMBA TULEMUTWALA KU CILYE NA IWE KUTI WAISASOSA AMASHIWI YOBE WAUMFWILE AKUSHIMIKILE 
01-201006-110929_bem_fb0_elicit_37  AMAKANGA NA CEMBE BAKUNGANA KU KUYAPOKA MULIMA UKUTI BAMUTWALE KU CILYE KWA LESA MUKULU 
01-201006-110929_bem_fb0_elicit_38  CILYA BAFIKA APO ALI BAMWEBA ABATI IWE MULIMA ULI WABUFI NO BUFUKANYA WALIKWATA LELO TULEKUTWALA KU CILYE KWA LESA MUKULU
01-201006-110929_bem_fb0_elicit_39  MULIMA ATI AWE MWANDI NA IMWE MULAICUSHA ENDENIFYE MULETI LESA MUKULU ALEYANCITA NSHI 
01-201006-110929_bem_fb0_elicit_40  MWALISHIBA IFYO LESA ANTEMWA KABILI ECO AMPANGILE NE FINO UMUSUMA UKUMUCILA IMWE BENSE 
01-201006-110929_bem_fb0_elicit_41  NGA NANI TULINGENE NANKWE MUNO CALO BONSE MULI MALABISHI NE JUBA NINE NEKA ALENI ENDENI KAMONI MWE NSANSALA MWE
01-201006-110929_bem_fb0_elicit_42  AWE BAIPOSA NA MU NSHILA UKULAYA KWA LESA MUKULO 
01-201006-110929_bem_fb0_elicit_43  BWANGUBWANGU CAKUMANA MPANGA YONSE UKUTI LELO MULIMA BAMUTWALA KU CILYE KWA LESA MUKULU 
01-201006-110929_bem_fb0_elicit_44  MWALISHIBA UBUBI BWENDA BWANGU UKUCILA UBUSUMA 
01-201006-110929_bem_fb0_elicit_45  ICUNI CONSE ICAISHIBE UBUBI BWAKWA MULIMA CAIMA UKUYABA BUKAMBONE BWA KUMUSEBA PANTU ABEPESHE IFINGI 
01-201006-110929_bem_fb0_elicit_46  IFYO FINE IFYUNI FYAIMA FYE ISESE FYALUNGAMA NA KWA LESA MUKULU
01-201006-110929_bem_fb0_elicit_47  KUTI LESA MUKULU NAIKALISHA ALELEMBA NO TUNTA TUMOTUMO AMONA FYE UBWINANUNI SAPASAPASAPA 
01-201006-110929_bem_fb0_elicit_48  AWE ALEKA NO KULEMBA AYALULA NA PENSULO ASHIMPA NA PETEBULO ALATAMBA UKO UBWINAGUNI BULETEBELELA MUMBAI
01-201006-110929_bem_fb0_elicit_49  CILYA UBWIGANUNI BWAPWA BONSE UKWIKALA ELYO LESA MUKULU AIPUSHA ATI CINSHI CAMULETA BONSE KUNO
01-201006-110929_bem_fb0_elicit_50  APALI CEMBE MULOPWE TWALETA UMUNENSU WA MULOMO UYU MULIMA
01-201006-110929_bem_fb0_elicit_51  LESA MUKULU WATI SHANI UMUNENU WA MULOMO NEE FYO MWALIKWATA BONSE IMILOMO KABILI EKE MULILA NO KULIIIA BONSE
01-201006-110929_bem_fb0_elicit_52  CEMBE KAFULAWAFITA TE MULOMO WA KULIILAKO LELO MULOMO WA KUPATANYA FWE BABIYE BONSE 
01-201006-110929_bem_fb0_elicit_53  ABA NO LWAMBO UBUFI AMATAKI BUKAFUKANYA FYONSE FYAISULA KU MUNENSU UYU
01-201006-110929_bem_fb0_elicit_54  LESA MUKULU NGA KANSHI FINSHI AFUKANYA
01-201006-110929_bem_fb0_elicit_55  CEMBE APONA NA MU MULANDU ASOSA APOSA NA FILYA 
