05-200916-132246_bem_a40_elicit_0  TAMUNSHITILA INSAPATO
05-200916-132246_bem_a40_elicit_3  NALIMWIPIKILA UBWALI 
05-200916-132246_bem_a40_elicit_4  NSHAMWIPIKILE UMUPUNGA
05-200916-132246_bem_a40_elicit_5  MWALINSHITILA ICITENGE 
05-200916-132246_bem_a40_elicit_6  TAMWANSHITILE ICISOTE
05-200916-132246_bem_a40_elicit_7  BALIKUWASHISHA IFYAKUFWALA 
05-200916-132246_bem_a40_elicit_8  TABAKUWASHISHE AMALANGETI
05-200916-132246_bem_a40_elicit_9  TWALIBABILILA INDELESHI 
05-200916-132246_bem_a40_elicit_11  BUSHE BA RUTH BALEYA KWISA
05-200916-132246_bem_a40_elicit_12  BALEYA KU AMELIKA
05-200916-132246_bem_a40_elicit_14  NI FIVE MILLION KWACHA
05-200916-132246_bem_a40_elicit_15  MAILO NKAYA NA BASHI KU CHINSALI NGA IMWE MUKAYA KWI
05-200916-132246_bem_a40_elicit_16  NKAYA KU MPIKA NE SHITIMA 
05-200916-132246_bem_a40_elicit_17  BUSHE KU NDOLA KUTALI
05-200916-132246_bem_a40_elicit_18  NIMUPEPI NI HUNDRED KILOMITA FYE
05-200916-132246_bem_a40_elicit_19  BUSHE BASHI YAKUYA KU LUSAKA IYA NSHITA NSHI
05-200916-132246_bem_a40_elicit_20  IYA SHIKISHI KOLOKO ULUCEELO
05-200916-132246_bem_a40_elicit_22  MU ZAMBIA UKWENDA NA MAKASA NI NSHILA IMO IYA KWENDELAMO
05-200916-132246_bem_a40_elicit_25  MWILAIKALA MUFIPUNA FYA KUNTASHI NA KUNUMA ILYO MULI PA BULENDO MULI BA MOTOKA
05-200916-132246_bem_a40_elicit_26  NACIMONA BASHI IYO BASHITILE 
05-200916-132246_bem_a40_elicit_27  BASHI IYO NASHITILE YAPYA 
05-200916-132246_bem_a40_elicit_28  NAMUTEKENYA UWO BALETELE MWAICE 
05-200916-132246_bem_a40_elicit_29  ICIMBUSU ICO BAKULILE CANDI
05-200916-132246_bem_a40_elicit_30  INCINGA IYO NASHITILE YALUBA 
05-200916-132246_bem_a40_elicit_31  MU NSAKA UMO BEKALA MUSUMA 
05-200916-132246_bem_a40_elicit_32  MU COOLA UMO MULEIKATA MULI INDALAMA 
05-200916-132246_bem_a40_elicit_33  KU MUSHI UKO TULEYA KUTALI
05-200916-132246_bem_a40_elicit_34  PA NGANDA APO TWIKALA PALI IMBWA 
05-200916-132246_bem_a40_elicit_35  NI BASHI NSHI ALEFWAYA
05-200916-132246_bem_a40_elicit_36  MWATEMWA BASHI YA MUSANGO NSHI
05-200916-132246_bem_a40_elicit_37  NIWISA NAMUTEKENYA MULEFWAYA
05-200916-132246_bem_a40_elicit_38  MWANA NSHI MULEFWAYA
05-200916-132246_bem_a40_elicit_39  MULI SHANI
05-200916-132246_bem_a40_elicit_40  NDIFYE BWINO NGA IMWE
05-200916-132246_bem_a40_elicit_41  NDIFYE BWINO NDEIPUSHAKO INSHILA YAKU MALIKETI
05-200916-132246_bem_a40_elicit_42  MUKONKE UMUSEBO ULYA MPAKA MUSANGE AMAMPATU 
05-200916-132246_bem_a40_elicit_43  MUKONEKELE KU KULYO 
05-200916-132246_bem_a40_elicit_44  ELYO MUKONKANYEPO UKWENDA MPAKA KU MPELA YA MUSEBO EKO MWALASANGA MALIKETI
05-200916-132246_bem_a40_elicit_45  NATOTELA SANA
05-200916-132246_bem_a40_elicit_46  CILIFYE MUKWAI
05-200916-132246_bem_a40_elicit_47  ABENA ZAMBIA TABAISHIBISHA UKULANGISHA UMUNTU INTUNGA LELO BALAFWILISHA SANA
05-200916-132246_bem_a40_elicit_48  NGA MULEIPUSHA UKO MULEYA KUTI MWAIPUSHA UMUNTU UULI ONSE 
05-200916-132246_bem_a40_elicit_49  ABENA ZAMBIA BALIKWATA UMUTEKATIMA 
