01-180101-020249_bem_d31_elicit_0  UBWELELO MU CILONGANINO
01-180101-020249_bem_d31_elicit_1  UKUPYUNGILA BUMUNTU BONSE
01-180101-020249_bem_d31_elicit_2  UKULUNGIKA IFYAONAIKA
01-180101-020249_bem_d31_elicit_3  UKULANSHANYA NA LESA
01-180101-020249_bem_d31_elicit_4  TUKOLWE NE NG'WENA
01-180101-020249_bem_d31_elicit_5  KUFYEFYETUKA NO KULANSHANYA NA LESA
01-180101-020249_bem_d31_elicit_6  UKULUNGIKA IFYAONAIKA
01-180101-020249_bem_d31_elicit_7  ULUKUTA ULWACINCILA UBWELELO
01-180101-020249_bem_d31_elicit_8  MWAISENI MUKWAI
01-180101-020249_bem_d31_elicit_9  AMAKALATA
01-180101-020249_bem_d31_elicit_10  PALWA ICUPO CESU
01-180101-020249_bem_d31_elicit_11  ILIPUSHO NO BWASUKO
01-180101-020249_bem_d31_elicit_12  INSHITA YA KULANSHANYA NA LESA
01-180101-020249_bem_d31_elicit_13  UKUPYUNGILA BUMUNTU BONSE
01-180101-020249_bem_d31_elicit_14  UMWANA WA KU MUSHI UULEBOMFESHIWA NA LESA
01-180101-020249_bem_d31_elicit_15  ILYO NDELEMBA AYA MASHIWI NJIKELE PA CIBANSA CIKALAMBA ICA NDEKE MU ADDIS ABABA MU ETHIOPIA 
01-180101-020249_bem_d31_elicit_16  IMILUNGU NAIPITA YA MULIMO MU GERMANY 
01-180101-020249_bem_d31_elicit_17  IFWE BONSE FWEBAKWATA IMILIMO MU FYALO IFYALEKANA LEKANA TWALYUMFWA BWINO UKUTI ABANTU BAMO BALIPANGA INDEKE
01-180101-020249_bem_d31_elicit_18  SHILAFWILISHA APAKALAMBA MUKWENDA AMALENDO AYATALI 
01-180101-020249_bem_d31_elicit_19  MUKATI KA CALO CA ZAMBIA ABANTU BABOMFYA BA SACA NA TUMOTOKA UTUNONO INCINGA 
01-180101-020249_bem_d31_elicit_20  PAMO NGA BAMUNINEFWE UKUFUMA KU NCENDE YA LUONGO ABO BALI PEBULA LYANTANSHI
01-180101-020249_bem_d31_elicit_21  ABENGI ABASHALA BENDA PA NKASA
01-180101-020249_bem_d31_elicit_22  BONSE IFWE TULAPITAANA ABANTU PANO PA CIBANSA CA NDEKE BALENDA NOKUPISHANYA IFIPE
01-180101-020249_bem_d31_elicit_23  NI FINSHI IFYO MUPISHANYA 
01-180101-020249_bem_d31_elicit_24  IMILIMO YENU IYA CILA BUSHIKU MAFYA YENU FINTU MUSUBILA CA CINE 
01-180101-020249_bem_d31_elicit_25  MATABA MALASHA NE FYUMBU CISUMA NGANSHI 
01-180101-020249_bem_d31_elicit_26  FYAKUILISHANYA FYAKUBEPESHIWA MAFYA 
01-180101-020249_bem_d31_elicit_27  NDESUBILA TEFYO
01-180101-020249_bem_d31_elicit_28  LESA ALEFWAYA IFWE UKUPISHANYA IMBILA NSUMA 
01-180101-020249_bem_d31_elicit_29  UBUFUMU BWENU BWISE  BULI NO KWISA BWANGU NGA TWABULENGA UKWISHIBIKWA
01-180101-020249_bem_d31_elicit_30  BULENI AMAKASA YENU INCINGA YENU MOTOKA WENU NO KWENDA 
01-180101-020249_bem_d31_elicit_31  TWALENI ICEBO CAKWA LESA KU MUNTU UULETWISHIKA TWALENI UKUTEMWA KWAKWA LESA KU MUNTU UULEKALIPWA TWALENI IFYAKULYA KU MUNTU ULI NE NSALA
01-180101-020249_bem_d31_elicit_32  LESA ALEFWAYA UKUBOMFYA AMAKASA YESU 
01-180101-020249_bem_d31_elicit_33  MONENI PA CIKOPE ICIPYA ICILEIMININAKO IYI MAGAZINE  CIPINGO CILEENDAUKILA PA MAKASA YA MUNTU
01-180101-020249_bem_d31_elicit_34  LESA TAPEELE BAMALAIKA UMULIMO UWAKUSHIMIKILA ICEBO CAKWE  MULIMO WESU 
01-180101-020249_bem_d31_elicit_35  LESA AKAPAALA NOKUSAKAMANA IFWE ILYO TWAFIKILISHA ICI
01-180101-020249_bem_d31_elicit_36  MULESANGA UKUTILA MULI IFINTU IFIPYA UNO MUKU INKUPO ILI MWILANGI LIMBI MU MUSANGO UPYA ULUBALI LULELANDA PA FYUPO ILYASHI LYA BWIKASHI BWA BANTU BAMO
01-180101-020249_bem_d31_elicit_37  MULEBELENGA NOKUMONA NGA CAKUTILA TUKOLWE TULYA TUBILI NGA TWALIPUSUKA KUBUWELEWELE BWAKUKANAISHIBA NANGU IYO
01-180101-020249_bem_d31_elicit_38  BUSHE PALI IFI FYONSE NI FISA MUTEMENWEPO 
01-180101-020249_bem_d31_elicit_39  SENDENI AKASHITA LEMBENI AMASUKO MU KABOKOSHI ELYO NOKWASUKA AMEPUSHO YALI PEBULA LILEKELESHEKO
01-180101-020249_bem_d31_elicit_40  YATUMENI KULI IFWE MPAKA PA TWENTY EIGHT FEBRUARY PAKUTI YAKABE PA FYAKUCIMFYA IFILAMBU FYAMWAKA UPYA IFYA NATULEYA 
01-180101-020249_bem_d31_elicit_41  KUTI MWACIMFYA ICILAMBU ICISUMA NGANSHI  ELYO MUKATWAFWILISHAKO UKWISHIBA IFYO BAKABELENGA BA IYI MAGAZINE BALEFWAYA ELYO NO KUKABILA 
01-180101-020249_bem_d31_elicit_42  TWATOTELA NGANSHI PA BWAFWILISHO BWENU
01-180101-020249_bem_d31_elicit_43  MU MALEMBO YA PA MULU TULEMONA UKUTI YESU ALIIBIMBILE MU KUPYUNGA UKUKALAMBA NGANSHI ILYO TALABWELELA KUNCENDE UKO ALEBA EKA
01-180101-020249_bem_d31_elicit_44  MUKUBALILAPO ABWELELE FYE UKUFUMA MU MATOLOLO PANUMA YAKUTUNKWA PANSHIKU FOURTY 
01-180101-020249_bem_d31_elicit_45  ELYO ASALILE ABASAMBI IKUMI NA BABILI KUKUTAMFYA INGULU NE IMIPASHI YAKOWELA UKUBIKAPO NE MILIMO IMBI 
01-180101-020249_bem_d31_elicit_46  EICO AIBIMBILE NGANSHI MU MULIMO CIKANGA UKUFIKA NAKUKUFUNSHINKA UMWINE 
01-180101-020249_bem_d31_elicit_47  EICO ATONTONKENYE UKUKWATA INSHITA YAKUBA EKA KU NCENDE IYATALALA UKO ENGATUBILISHAKO NOKUBELAMA KU FYAKUCITA IFINGI 
01-180101-020249_bem_d31_elicit_48  NANGULA KALEMBA MARK TASUNTINKENYE ILEMBO TULELOLEKESHAPO NA MALEMBO YAFUMINEKO 
01-180101-020249_bem_d31_elicit_49  CILIFYE ICAOLOLOKA UKUTILA YESU ALI NE MILIMO IYAFULA ICUNGULO BUSHIKU IYA KUNDAPA NOKUTAMFYA INGULU NGEFYO TWINGAMONA UKUFUMA MU VERSI TWENTY ONE UKUFIKA KU THIRTY FOUR
