03-200921-214144_bem_798_elicit_0  UKUSEMBULULWA NANGU UKUPUTULWA KWA BANAKASHI
03-200921-214144_bem_798_elicit_1  BUSHE UKUSEMBULULWA NANGU UKUPUTULWA KWA BANAKASHI NICINSHI
03-200921-214144_bem_798_elicit_2  UKUSEMBULULWA NANGU UKUPUTULWA KWA BANAKASHI KUPUTULA KUMUFULO NANGU UKWALULA KWA FYAMFWALO IFYA BANAKASHI APABULA UMULANDU NANGU UMO UUKUMINE KU BUMI 
03-200921-214144_bem_798_elicit_3  UYU MULIMO WALIKWATA AMASHINA AYENGI NGANSHI PAMO NGA UKUPUTULU UKUSEMBULULWA KWA BANAKASHI ELYO NOKUSEMBULULWA KWA NTAMBI UKWA BANAKASHI 
03-200921-214144_bem_798_elicit_4  ICI CINTU CILAKALIPA SANA KU BUMI BWA BANAKASHI ELYO TACAKWATA NA MULIMO IYO
03-200921-214144_bem_798_elicit_5  UBWAFWILISHO NO KUTUNGILILWA EKO FYABA MU CALO CA AUSTRALIA
03-200921-214144_bem_798_elicit_6  NGACAKUTI ILYASHI LIMO PALI IFI FINTU LYALIMICITIKILAPO KUTI MWASANGA UKUTANGATWA UKWABULA UKULIPILA PAMO NOKUTUNGILILWA MU CALO CA AUSTRALIA 
03-200921-214144_bem_798_elicit_7  BASHINGANGA BA KATANGATA PAMO NABABOMFI BAMBI PAMO NABA KAFUNDISHA KUTI BAMYAFWILISHA
03-200921-214144_bem_798_elicit_8  NGA MULEPEKANYA UKUKWATA UMWANA 
03-200921-214144_bem_798_elicit_9  KUTI MWAFWAYA UKULANDA NABA SHINGANGA 
03-200921-214144_bem_798_elicit_10  BAKATANGATA NANGU ABABOMFI BABUMI BAMBI PAKUTI MUKWATEKO UBWAFWILISHO NABUMBI PANSHITA ILYO MULI PA BUKULU ELYO NALINTU MWAKWATA UMWANA
03-200921-214144_bem_798_elicit_11  UKUSEMBULULWA NANGU UKUPUTULWA KWA BANAKASHI MULANDU UWAKAKATA SANA MU CALO CA AUSTRALIA
03-200921-214144_bem_798_elicit_12  UKUSEMBULULWA NANGU UKUPUTULWA KWA BANAKASHI TAKWASUMINISHIWA MU CALO AUSTRALIA 
03-200921-214144_bem_798_elicit_13  ICI KUTI CABIMBWAMO UKUTUMA UMUNTU KUNSE YA CALO UKUYA SEMBULULWA NANGU UKUPEKANISHISHA UKUTUNGILILA NANGU UKUKOSELESHA UMUNTU UKUTI ASEMBULULWE
03-200921-214144_bem_798_elicit_14  UMUNTU UWACITA IYI MILANDU KUTI AKAKWA ABE MWANAKASHI NANGU MWAUME
03-200921-214144_bem_798_elicit_15  NGACAKUTI ILYASHI LIMO PALI IFI FINTU LYALIMICITIKILAPO MULEKOSELESHIWA UKUFWAYA UBWAFWILISHO ELYO IMWE TAMWAKAKANDWE NAMAFUNDE YA CALO CA AUSTRALIA
03-200921-214144_bem_798_elicit_16  KWALIBAKO UTUBUNGWE NATUMBI ELYO NEFINTU IFINGAMWAFWILISHAKO
03-200921-214144_bem_798_elicit_17  KUTI MWASANGA ILYASHI LYONSE ILYAPA KUSEMBULULWA NANGU UKUPUTULWA KWA BANAKASHI PE BUULA LYAPA INTANETI ILYA CIPUTULWA ICISHIBISHA ABANTU PA KUSEMBULULWA
