05-200917-092057_bem_a40_elicit_0  PATILE AKANTU 
05-200917-092057_bem_a40_elicit_1  INSALA YALIPONENE MU CALO ABANTU IFYA KULYA TABALEKWATA IYOO  
05-200917-092057_bem_a40_elicit_2  AWE ABAUME ILYO BAUPILE ABANAKASHI KWISA LANDA  
05-200917-092057_bem_a40_elicit_3  WE MUKASHI WANDI APO INSALA YA CILAMO KANKULOBOLEMO ILINSO
05-200917-092057_bem_a40_elicit_4  ABAKASHI BEBELE KUTI MWANDOBOLAMO SHANI ILINSO  
05-200917-092057_bem_a40_elicit_5  ATI AWE ILI LINE ILINSO LYOBE TUKAYA LIBYALA MU MPANGA PAKUTI LIKALETWALA  
05-200917-092057_bem_a40_elicit_6  AWE EFYO UMUKASHI ASUMINE BAMULOBOLA NE LINSO  
05-200917-092057_bem_a40_elicit_7  AWE EFYO BAILE BYALA ILINSO MU MPANGA NO KUMENA LYAMENA  LIKULAFYE LIKULAFYE
05-200917-092057_bem_a40_elicit_8  AWE MUKWAI TALYAKOKWELE NOKUTWALA LYA AMBA NOKUTWALA
05-200917-092057_bem_a40_elicit_9  ABAKASHI BEBELE AWE BALUME BANDI KATUKAMONE ILINSO LIMBI KUTI LYA TWALA
05-200917-092057_bem_a40_elicit_10  ATI IYOO WE MWINE WA LINSO TETI UYE PITAKO PANTU KUTI ULEUMFWA ICIFUKUSHI KU MULANDU WA LINSO LYOBE 
05-200917-092057_bem_a40_elicit_11  ABALUME BEBELE INE NAYA NKALENGULEKO ELYO ABALUME BAIMINE BAYA MUKULENGULA ILINSO 
05-200917-092057_bem_a40_elicit_12  AWE BASANGA ILINSO CINE NA LIPYA NO KUPYA  
05-200917-092057_bem_a40_elicit_13  BAYAMBA UKWIMBA ULWIMBO
