17-200915-120130_bem_346_elicit_0  ICINGOMFWISHA BWINO UMUTIMA WANDI
17-200915-120130_bem_346_elicit_1  BA GELEDI ONE
17-200915-120130_bem_346_elicit_2  ABO EBEKALA UKUTALI NA KU SUKULU
17-200915-120130_bem_346_elicit_3  BUSHE BONSE MWIKALA UKUTALI UKUFUMA PANO
17-200915-120130_bem_346_elicit_4  BUSHE MULEMONA ATI MWALAFIKA KU NG'ANDA
17-200915-120130_bem_346_elicit_5  NANGU MWALABOMBA PANSE APO
17-200915-120130_bem_346_elicit_6  BUSHE MULETONTOKANYA KUTI MWABUTUKA NANGU MWALAMOMBA
17-200915-120130_bem_346_elicit_7  EHE TWALABOMBA
17-200915-120130_bem_346_elicit_8  MULETONTOKANYA ATI MWALABOMBA
17-200915-120130_bem_346_elicit_9  NGAMWALAIKALA BUSHE MULETONTOKANYA MWALAIKALA KWISA
17-200915-120130_bem_346_elicit_10  NSHIKWETEPO INCENDE IYENU
17-200915-120130_bem_346_elicit_11  NGA MWAFUMA MU KALASI MUFWILE MUBUTUKE
17-200915-120130_bem_346_elicit_12  BUSHE NAMUMFWA
17-200915-120130_bem_346_elicit_13  KANSHI NGAYATAMPA MFULA MUFWILE MULI PA NG'ANDA KALE
17-200915-120130_bem_346_elicit_14  MUFWILE MUBUTUKE
17-200915-120130_bem_346_elicit_15  LEKA IMININENI
17-200915-120130_bem_346_elicit_16  KULI IMWE MWEBASHIPWILE
17-200915-120130_bem_346_elicit_17  MUFWILE KUPWILIKISHA KU NG'ANDA 
17-200915-120130_bem_346_elicit_18  BUSHE NAMUMFWA
17-200915-120130_bem_346_elicit_19  NALAMILEKA NOMBA
17-200915-120130_bem_346_elicit_20  PANTU YALATAMPA UKULOKA NAMAKA SAANA
17-200915-120130_bem_346_elicit_21  BUSHE NAMUMFWA
17-200915-120130_bem_346_elicit_22  SHALENIPO KALASI
17-200915-120130_bem_346_elicit_23  SHALENIPO BA KAFUNDISHA
17-200915-120130_bem_346_elicit_24  TUKAMONANA MAILO NAKABILI
17-200915-120130_bem_346_elicit_25  NGAMWAFUMA MU KALASI MUFWILE MWABUTUKILA NWANGU KU NG'ANDA
17-200915-120130_bem_346_elicit_26  PAKWEBA ATI MWIBOMBAMUFWILE MUBUTUKE
17-200915-120130_bem_346_elicit_27  NAMUMFWA
17-200915-120130_bem_346_elicit_29  NOMBA MUFUME ABATALALILA
17-200915-120130_bem_346_elicit_30  MUFWILE MWASHANAKO PANONO KAILI
17-200915-120130_bem_346_elicit_31  MULEYA PA HOLIDE
17-200915-120130_bem_346_elicit_32  KATEKA WAKU GHANA
17-200915-120130_bem_346_elicit_33  EYA KANSHI LINTU TWAFIKA TULAKONKONSHA PA CIBI CAKU KALASI
17-200915-120130_bem_346_elicit_34  ELO BA KAFUNDISHA NGA BAISULAKO TULALANDA KULI BENA 
17-200915-120130_bem_346_elicit_35  TWELELENI BAKAFUNDISHA NATUCELWA MWAUMFWA
17-200915-120130_bem_346_elicit_36  NATUCELWA
17-200915-120130_bem_346_elicit_37  SHANI BA GELEDI ONE
17-200915-120130_bem_346_elicit_38  CAAWAMA
17-200915-120130_bem_346_elicit_39  MWASHIBUKENI MULI SHANI
17-200915-120130_bem_346_elicit_40  AMA HOLIDE YENU YALI SHANI
17-200915-120130_bem_346_elicit_41  YALI BWINO AMA HOLIDE YENU
17-200915-120130_bem_346_elicit_42  NALATAMPA UKUMYEBA PALI HOLIDE YANDI MWAUMFWA
17-200915-120130_bem_346_elicit_43  LINTU NAILE KU NG'ANDA ABANA BANDI BALI NENSANSA SANA PAKUMONA INE
17-200915-120130_bem_346_elicit_44  NAINE NALI NENSANSA PAKUBAMONA
17-200915-120130_bem_346_elicit_45  MULEUMFWA BA GELEDI ONE
17-200915-120130_bem_346_elicit_46  NIBANGA PALI IMWE ABALEMFULUKA
17-200915-120130_bem_346_elicit_47  NINANI UWALABALILAPO UKUTWEBA EFYO BAIKELE PA HOLIDE YABO
17-200915-120130_bem_346_elicit_48  NALEMITONTONKANYAPO MULEKUTIKA BA GELEDI ONE
17-200915-120130_bem_346_elicit_49  NDEFWAYA IWE UKUTWEBA
