03-200921-114142_bem_798_elicit_0  UKUSHITISHA KWA BANTU ELYO NO KUSUNGA MU BUSHA
03-200921-114142_bem_798_elicit_1  UKUSHITISHA KWA BANTU ELYO NO KUSUNGA MU BUSHA MILANDU IYAKAKATA NGANSHI MU CALO CA AUSTRALIA
03-200921-114142_bem_798_elicit_2  UKUSHITISHA KWA BANTU ELYO NO KUSUNGA MU BUSHA FYALIKANISHIWA NAMAFUNDE YA CALO
03-200921-114142_bem_798_elicit_3  UMUNTU UWASANGWA NEYI MILANDU KUTI AKAKWA ABE MWANAKASHI NANGU UMWAUME
03-200921-114142_bem_798_elicit_4  NGACAKUTI IMWE NANGU UMUNTU UMBI UNTU MWAISHIBA ALI MU BUSANSO TUMINENI BA KAPOKOLA PALI ZERO ZERO ZERO
03-200921-114142_bem_798_elicit_5  BA KAPOKOLA MU CALO CA AUSTRALIA BANTU ABASUMA KABILI ABACETEKELWA
03-200921-114142_bem_798_elicit_6  NGACAKUTI MULEFWAYA UWAKUMIPILIBWILAKO ICITUNDU TUMENI PA ONE THREE ONE FOUR FIVE ZERO
03-200921-114142_bem_798_elicit_7  UBUTEKO BWA CALO CA AUSTRALIA TABUSUMINISHA UKUSHITISHA KWA BANTU ELYO NO KUSUNGA MU BUSHA MUMUSANGO UULI ONSE
03-200921-114142_bem_798_elicit_8  UKUSHITISHA ABANTU NO KUSUNGA MU BUSHA KUCITIKA ILYO ABANTU BAPATIKISHIWA UKWINGILA MU FINTU IFYAKUBONAWILA UBWIKALO PAKUTI UMUNTU UMBI AKWATILEMO UBUNONSHI 
03-200921-114142_bem_798_elicit_9  ICI KUTI CACITIKA KU BAUME ABANAKASHI NANGU ABANA BANONO 
03-200921-114142_bem_798_elicit_10  UKUSHITISHA KWA BANTU ELYO NO KUSUNGA MU BUSHA KUTI MWASANGWA IFINTU IFI
03-200921-114142_bem_798_elicit_11  UBUSHA 
03-200921-114142_bem_798_elicit_12  UKUBOMBELA UMUNTU UMBI NANGU UKUPATIKISHIWA UKUBOMBA MU TWAMPANI PAMO NGA UTWAKUPOKELELA ABENI
03-200921-114142_bem_798_elicit_13  UKUKUULA 
03-200921-114142_bem_798_elicit_14  UKUBYALA IFIMITI 
03-200921-114142_bem_798_elicit_15  UKWIMBA AMABWE 
03-200921-114142_bem_798_elicit_16  NANGU MU BULIMI 
03-200921-114142_bem_798_elicit_17  PAMO FYE NO BWAMPANO BWA MUFYUPO
03-200921-114142_bem_798_elicit_18  UBUSHA BWA NKONGOLE
03-200921-114142_bem_798_elicit_19  UKUBOMFIWA MUKULUNGANA NO MUNTU
03-200921-114142_bem_798_elicit_20  IFYUPO FYAKUPATIKISHIWA
03-200921-114142_bem_798_elicit_21  UKUSHITISHA UMUNTU PAKUTI BENGAFUMYAKO IFILUNDWA FIMO IFYA MUBILI
03-200921-114142_bem_798_elicit_22  UKUSHITISHA KWA BANTU ELYO NO KUSUNGA MU BUSHA MILANDU IYAFISAMA
03-200921-114142_bem_798_elicit_23  UKUSHITISHA KWA BANTU ELYO NO KUSUNGA MU BUSHA MILANDU IMO IINGAFYA UKWISHIBIKWA 
03-200921-114142_bem_798_elicit_24  ABANTU LIMO TEKUTI BAFWAYE UBWAFWILISHO PANTU ABANTU BALATINA UKUKANDWA KULI ABO ABALEBABOMFYA 
03-200921-114142_bem_798_elicit_25  NANGU UKUTIINA UKULUFYA IFITUPA FYABO IFYABWIKASHI MULI CINO CALO
03-200921-114142_bem_798_elicit_26  IFISHIBILO FYAKUTI UMUNTU ALESHITISHIWA KUTI MWASNGWA ILYO UMUNTU
