03-200921-165915_bem_798_elicit_0  UMUTITIKISHA WAMU NDUPWA NE FITUPA FYABWAMPANO
03-200921-165915_bem_798_elicit_1  ABANTU ABABA PA FITUPA FYA BWAMPANO TABALINGILE UKWIKALA MU BWAMPANO BWA MUTITIKISHA PAKUTIFYE BEKALE MU CALO CA AUSTRALIA
03-200921-165915_bem_798_elicit_2  MU CALO CA AUSTRALIA UMUTITIKISHA WA MU NDUPWA NAMU MAYANDA TAWASUMINISHIWA
03-200921-165915_bem_798_elicit_3  PAMO NGA UMUNOBE ABAMULUPWA NANGU ABEKALA CALO BAMBI TEKUTI BAKUTINYE NANGU UKUKUPOKA INSAMBU SHAKWIKALA KOBE
03-200921-165915_bem_798_elicit_4  NGACAKUTI WALIKWATA ICITUPA CA BWIKASHI ICANSHITA INONO NANGU ICITUPA CA KWENEKELA ICUPO ELYO WALAPITA MU MUTITIKISHA WAMU NDUPWA 
03-200921-165915_bem_798_elicit_5  ELYO NO BWAMPANO BOBE BWAPWA 
03-200921-165915_bem_798_elicit_6  KWALIBA IFYAYANSHIKWA MU MAFUNDE YAMIKUKILE NO BUTANDASHI AYA CALO CA AUSTRALIA AYAKUKUSUMINISHA UKUKONKANYAPO UKWIPUSHA UKUKWATA ICITUPA CA BWIKASHI ICAKUBELELELA
03-200921-165915_bem_798_elicit_7  UBUTEKO BWA CALO CA AUSTRALIA TABUSUMINISHA UMUTITIKISHA WAMU NDUPWA NAMU MAYANDA NANGU CINGABA SHANI
03-200921-165915_bem_798_elicit_8  UMUTITIKISHA WAMU NDUPWA NAMU MAYANDA MILANDU IIMPINKANA NA MAFUNDE 
03-200921-165915_bem_798_elicit_9  UMUNTU UWACITA IYI MILANDU KUTI ATWALWA KUCIFUNGO CIBE MWAUME NANGU MWANAKASHI
03-200921-165915_bem_798_elicit_10  UMUTITIKISHA WAMU NDUPWA NAMU MAYANDA MUSANGO WA CINTINYA ICAMAPANGE YA KUPINDULULA UMUNOBE UKUPITILA MUKUMULETELA UMWENSO NANGU UKUMONAWILA UBUCINGO NOBWIKALO BWAKWE
03-200921-165915_bem_798_elicit_11  UMUNTU ONSE UULEPITA MUKUTITIKISHIWA KWA MU LUPWA NAMU NGANDA MU CALO CA AUSTRALIA KUTI ASANGA UBWAFWILISHO UKUFUMA KUBAFWILISHA MULI IYI MILANDU
03-200921-165915_bem_798_elicit_12  KUTI WASANGA UBWAFWILISHO MU MUSANGO UULI ONSE UWA CITUPA CAKWIKALA KOBE NANGU IMYENDELE YOBE
03-200921-165915_bem_798_elicit_13  TACILESAKAMIKA NGACAKUTI UBWAMPANO BOBE BWALIPWA NANGU IYO  KUTI WAYAFWILISHIWA
03-200921-165915_bem_798_elicit_14  1800RESPECT KABUNGWE KAMU CALO CA AUSTRALIA AKABOMBELA MUKUPANDA AMANO MU MILANDU YA KULUNGANA NABANTU KU MAKA ELYO NO BUNKALWE NO MUTITIKISHA MU MAYANDA 
03-200921-165915_bem_798_elicit_15  AKA KABUNGWE KALAPELAKO ILYASHI LYA BUMPANDA MANO ILYA LUTU KABILI ILYA NKAMA PALI LAMYA ELYO NAPA INTANETI 
03-200921-165915_bem_798_elicit_16  BA MPANDAMANO BAKOMFWA KULI FINTU MULELANDA UKWASUKA AMEPUSHO YENU ELYO NOKUMITUMA KUMBI UKO MWINGASANGA UBWAFWILISHO MU NCENDE YENU
03-200921-165915_bem_798_elicit_17  NGA ULEFWAYA UKWISHIBILAPO NAFIMBI PA MUTITIKISHA WA MU NDUPWA NGACAKUTI WALIKWATA ICITUPA
03-200921-165915_bem_798_elicit_18  ILYASHI NALIMBI PA MUTITIKISHA WAMU NDUPWA NE FITUPA KUTI LYASANGWA PE BUULA LYA PA INTANETI ILYA CIPUTULWA CIBOMBELA KU FYA MUKATI KA CALO PA WWWHOMEAFFAIRSGOVAU
