12-201010-070823_bem_526_elicit_0  UMUCELE MU KAMANA
12-201010-070823_bem_526_elicit_1  IYEE ALA MULUNGU ABUMBA UTWINGI KABILI NE CITENDWE TAKWATA IYO NE CILAFI NACO CINE TAKWATA NAKALYA FYE 
12-201010-070823_bem_526_elicit_2  NGA WALOLESHA AMENSHI YA MULI AKA KAMANA 
12-201010-070823_bem_526_elicit_3  KUTI WATI NALIMO PALI UKO BAYA BILAUSHA ELYO BALEITILA MU MUMANA 
12-201010-070823_bem_526_elicit_4  KUTI WATI NI YALYA MENSHI YAFUMA MU SHIMELUTA KU MIKOTI 
12-201010-070823_bem_526_elicit_5  NABALILE NALALOLESHA NO KUMONA IFYO YAPITA NAPAPILE NGANSHI KUTI NJIKETE FYE ICINWA CA PANSHI 
12-201010-070823_bem_526_elicit_6  TE KUKABA KWA MENSHI KWEKA KWANSUNGWISHE LELO KABILI MUSANGO WA KUTI AYA MENSHI NGA YAPALILA MU FYANI LUCELOCELO YALUKA IFINTU FIMO IFYABUTA TUTU IFYAKAMBANTANA 
12-201010-070823_bem_526_elicit_7  IFI FINTU NGA WAMYANGAKO MUCELE FYE PAPELA
12-201010-070823_bem_526_elicit_8  AKAICE KAPONA NA MU KUNONDOLWELA AKATI IFI FINTU MWAMONA IFYABUTA ABANTU NGA BAKUSA BAYA MU KWIPIKA NGA FYAKANA FYASHALA IFYAKOSA E MUCELE WINE 
12-201010-070823_bem_526_elicit_9  INE NATONTONKANYA NA FILYA BENGA CIBWA NASANGA FYALINGANA FYE NASUMINA NE FYALANDILE AKAICE 
12-201010-070823_bem_526_elicit_10  NAUMFWA ICITEMWIKO CANDI KU KAICE KALYA CALAYA FYE PANTANSHI PANTU KALETUNGULULA NGO BULUNGU PA KULONDOLOLA  UTWEBO 
12-201010-070823_bem_526_elicit_11  NASUKA NAKEPUSHA NE SHINA 
12-201010-070823_bem_526_elicit_12  AKATI NINE SIAMABULA 
12-201010-070823_bem_526_elicit_13  INE PA KUMFWA ILYO ISHINA NAFWAYA UKUSEKA NAIPINGULA NATI NGA NASEKA UMWAICE KUTI AFULWA ATI NDEMUSEKA ISHINA NATI FYE MWA
12-201010-070823_bem_526_elicit_14  INE PA KUMONA AMENSHI YA MUSANGO ULYA NATI NALIMO UMU MWINE EMO TULEOWA AWE NATENDEKA NO KUFUULA 
12-201010-070823_bem_526_elicit_15  KUTI CILYA NATI NDEINGILA MU MENSHI NAUMFWA UMWAICE AILILILA FYE ATI  YANGU YANGU BATICA MWALAFWA
12-201010-070823_bem_526_elicit_16  AWE INE NACILIMUKILA NAKEPUSHA NATI KANSHI NI SHANI WE MWINA MFUMU
12-201010-070823_bem_526_elicit_17  AKATI MULI UYU MAMANA CALIBINDWA UKOWAMO NO WAOWAMO ONSE KUTI AFWILA KUTULO 
12-201010-070823_bem_526_elicit_18  NA INE NATI UWABINDA NANI NGA NI MFUMU ULEKE NJEPOKAKO ULUSA
12-201010-070823_bem_526_elicit_19  AKATI IYO EFYO CABA FYE CISHA WASHA NI KALE BAKALAMBA BACIMWENE E CALENGA BONSE ABALEFYALWA BESA MU KUSANGA IFYO FINE 
12-201010-070823_bem_526_elicit_20  TAKUBA UUPAMINA UKOWAMO NELYO UMO 
12-201010-070823_bem_526_elicit_21  KABILI NGA BAMONA UMUCELE TAUFUMINE UMWAKA UMO BESA MU KWITILAMO UBUNGA NINSHI UMUCELE ULEFUMA NGANSHI 
12-201010-070823_bem_526_elicit_22  AWE NOMBA INE NAIKALA FYE TONDOLO NE WACILATI NDEOWA AYAKABA NECO TI MU MUPEPO 
12-201010-070823_bem_526_elicit_23  INE NATI AWI MWAICE ICO MUKONKA FYA CISENSHI TAFYALINGA KUSUMINA 
12-201010-070823_bem_526_elicit_24  NAKO AKATI NA IMWE BENE BAKAFUNDISHA KUMWENU EKO FYABA IFIFULO FIMO IFYO MUTIINA BUSHE TE IFYO FINE 
12-201010-070823_bem_526_elicit_25  EPAMO NOYU WINE MULONGA IFWE TWAFYELWE FYE TWASANGA ABAKALAMBA BALEUTIINA E CALENGA NA IFWE EMO TWAKONKA
12-201010-070823_bem_526_elicit_26  NA BASHIFWE BA BASHIFWE BAKALE BALEUTIINA  ELYO IMWE MWISE MUSUSHE AYA MASHIWIL ALENI NGA MULEFWAYA UKUFWA CIKULU INE NAMUSOKAKO 
12-201010-070823_bem_526_elicit_27  NOMBA INE NSHILEFWAYA MOWEMO NA INE EPO NDI 
12-201010-070823_bem_526_elicit_28  IMWE NGA MWAMONA UKUTI NDEMUBEPA FYE CISUMA MUKALINGE INE NSHILIKO ELYO MUKOWEMO NGA MUKAСESHA UBUSHIKU INE NKAMUPA INGOMBE ILYA BATATA BAMPELA 
12-201010-070823_bem_526_elicit_29  NASEKA NO KUSEKA NATI OH KANSHI MWAICE IYO YOMBE YENA NKAIPOKA 
