01-201002-002057_bem_fb0_elicit_0  IFWE TWATAMPA UKUMUFWAYA PA KUMUBWEDESHA KUNO MUSHI
01-201002-002057_bem_fb0_elicit_1  AWE NGEFI TWABATULILA BALENWA NA MABOTOLO 
01-201002-002057_bem_fb0_elicit_2  IFWE TWAMUFUMISHA PANSE NO KUTENDEKA UKUMUKALIPILA MPAKA ATENDEKA UKULILA ICO AMONA NAFULWA SANA 
01-201002-002057_bem_fb0_elicit_3  APO PENE UKWABULA NO KUPOSE NSHITA TWALIMINE NO KULABWELA KUNO MUSHI 
01-201002-002057_bem_fb0_elicit_4  KWENA NO MWINE WINE TATWAMUUSHILE NELYO TWATILE TUKESATILA AYA MASHIWI KU MWINA MOBE PANTU ULEMUSEBANYA KULI BUCINTOMFWA BOBE
01-201002-002057_bem_fb0_elicit_5  INSHITA ROBIN ALESHIMIKA JONI ENAMINE FYE PANSHI ALEKUTIKA UKWABULA UKUPOSAPO ISHIWI NELYO LIMO 
01-201002-002057_bem_fb0_elicit_6  ICO AUMFWA ROBIN ATALALA JONI ELYO ATI MUNE WAWAMYA SANA PA KUNSHIMIKILAKO UYU MULANDU 
01-201002-002057_bem_fb0_elicit_7  MU CINE NALIUMFWA MAILO KULI ODALI UMO KU CIPATALA 
01-201002-002057_bem_fb0_elicit_8  WENA AISHILE MU KUNJIPUSHA ILYO AMWENE JANET AISHILE KU KUMPEMPULA ATI 
01-201002-002057_bem_fb0_elicit_9  KANSHI E MUKASHI OBE ULYA MWA ULYA UMWENE AISHIBA SANA UKUCINDA JAIVI
01-201002-002057_bem_fb0_elicit_10  NA INE NAMWIPUSHA NATI NGA KANSHI IWE WAMUMWENE KWI
01-201002-002057_bem_fb0_elicit_11  EBELE NAMUMWENE BULYA BUSHIKU MU BIAOLO BALESHANA NA GEORGE DUBE 
01-201002-002057_bem_fb0_elicit_12  INE NATI ALESEKA FYE KANSHI CINECINE 
