04-201008-160002_bem_40e_elicit_0  UMUNTU ASENDWA NA MULENGA
04-201008-160002_bem_40e_elicit_1  CALI MU KABENGELE ELYO UBOWA BWA TENTE NA KABANSA NA CITONDO NA CINSUKWA BWAFUKWIKE 
04-201008-160002_bem_40e_elicit_2  NAKASOFU NA BANANKWE BAYA KU KUNUKULO BOWA BALI PA MUSHI PA KAPONYANDEKE 
04-201008-160002_bem_40e_elicit_3  BASALANGANINA MU MPANGA BALANUKULA BAISUSHA NE MISEKE
04-201008-160002_bem_40e_elicit_4  NAKASOFU AMONA UMULONGO WA TENTE KUNTANSHI CILYA ATI ALENUKULA AMONA UMUNTU UMO KUNTANSHI ALELUKA TESHIBE UKUTI NI MULENGA WA MPANGA ENA ATI MUNANDI 
04-201008-160002_bem_40e_elicit_5  AMANO YA ANAFKUTI ABANANDI BANSHA TAMULI ENA ATI NDEKONKA ABANANDI PANUMA ALAKONKA NA MULENGA PANUMA 
04-201008-160002_bem_40e_elicit_6  ALEITA NO KWITA ATI WE MUNANDI TWENDE KU MUSHI BWALAILA UMUBIYE ULYA NO KWASUKA NAKALYA ALEYA FYE CINSHINSHI 
04-201008-160002_bem_40e_elicit_7  KUNUMA ABABIYE BAITA BANAKA FYE 
04-201008-160002_bem_40e_elicit_8  NAKASOFU AKONKA ULYA MUBIYE AMWENE PANTASHI ATI NALIMO UMUNANDI ALI MU NSHILA LELO INSHILA TETI AISANGE NO KUTI ASANGE UMUBIYE WINE NAKALYA FYE 
04-201008-160002_bem_40e_elicit_9  LYENA AILUKA NO KWILUKA UKUTI NALUBA 
04-201008-160002_bem_40e_elicit_10  MULENGA ALAMUSANIKILA ILAMPI UMWAKUYA PANTU NOMBA BWAILA 
04-201008-160002_bem_40e_elicit_11  NAKASOFU AYA NA ULYA ALEMUSANIKILA 
04-201008-160002_bem_40e_elicit_12  ABANABO BAYASOSA NO MULANDU KU MUSHI
04-201008-160002_bem_40e_elicit_13  ABANTU BAIMA BAFWAYA BAFWAYA NAKALYA 
04-201008-160002_bem_40e_elicit_14  BALISHA ING'OMA BUSHIKU BONSE AWE NAKASOFU WA KANTU TETI OMFWE ABAKILE FYE UKUYA NA ULYA MUNTU
04-201008-160002_bem_40e_elicit_15  UMUNTU NGA ASENDWA NA MULENGA WA MPANGA TETI APOSE CINTU ASENDELE KUTI ALEENDAUKA FYE NACO NELYO LUKUNI
04-201008-160002_bem_40e_elicit_16  NAKULUBANTU ULYA LILYA BWACA UMUBIYE BALI NANKWE AYA AWE UMO ALEENDAUKA ATULILA KU MUSHI UMBI NAKO KWINE BALITUMINE AMASHIWI YAKUTI NAKASOFU NALUBA 
04-201008-160002_bem_40e_elicit_17  EKO ABANTU BAFUMINE ABAMUTWELE KU MUSHI KUMWABO E BAMUPOKELAKA NO MUSEKE WA BOWA
04-201008-160002_bem_40e_elicit_18  UMUNTU NGA ALONDOKA BALAFWAYA UMUTI WA KUMUSAMBA ABATI NGA BAMULEKA FYE ALAENDA IFI FINE KUTI ALAMONA ICI NSHINGA CA KWA MULENGA PE NA LIMBI LINE KUTI ASENDWA MU MPANGA 
04-201008-160002_bem_40e_elicit_19  EFYO BACITILE NO KUMUFUTIKILA 
04-201008-160002_bem_40e_elicit_20  IFI EFYO MULENGA ASENDA ABANTU
