01-201005-224141_bem_fb0_elicit_0  AMATUKUTO YA FYULA
01-201005-224141_bem_fb0_elicit_1  ILYO LESA MUKULU APWILE UKUBUMBA IFINTU FYONSE AFISONTELELE NO KWAKWIKALA 
01-201005-224141_bem_fb0_elicit_2  ABULILE IFYULA NAFYO AFISONTELELA KU LULAMBA LWA BEMBA UKUTI EKO FILEIKALA 
01-201005-224141_bem_fb0_elicit_3  AWE IFYULA FYATEMWA NSHITEMWA
01-201005-224141_bem_fb0_elicit_4  BUSHIKU BUMO IFYULA FYAMONA UKO ABALONDO BA KUSAKILA ISABI BAISA KU MUMANA NA MASUMBE YABO
01-201005-224141_bem_fb0_elicit_5  AWE FYONSE FYALABATONGOMESHA FYALAMONA IFYO BALECITA
01-201005-224141_bem_fb0_elicit_6  ABALONDO BABULA AMASUMBU YABO BABIKA MU MATO BAYAMBA NO KUYA PALI BEMBA 
01-201005-224141_bem_fb0_elicit_7  PALI BEMBA PALYA ABALONDO BATENDEKA UKUTEYA AMASUMBU YABO 
01-201005-224141_bem_fb0_elicit_8  CILYA BAPWA UKUTEYA BAPITA MUMBALI BAYAKUMANINA KUNTANSHI BALASOKWELA NE SABI KU MASUMBU 
01-201005-224141_bem_fb0_elicit_9  ISABI LYAIKATWA ILINGI 
01-201005-224141_bem_fb0_elicit_10  ABALONDO BALALIFUMYA MU MASUMBU BALELIPOSA MU MATO 
01-201005-224141_bem_fb0_elicit_11  IFYULA FYENA FILEMONAKO FYE FILI FYE TONDOLO
01-201005-224141_bem_fb0_elicit_12  LILYA ABALONDO BAPWA UKWIPAYA ISABI BAISALIFUMISHA KU LWAMBA IWA MUMANA LYALI ILINGI NGANSHI 
01-201005-224141_bem_fb0_elicit_13  ABALONDO BABUULA AMASUMBU YAMO BAYASHA MU MUMANA AYATEYELWA LIMO YAMBI EYO BASHA BAYANIKA KU MULUNDU 
01-201005-224141_bem_fb0_elicit_14  BABUULA ISABI BATUNGA KU MITUNGO BALAYA NA KU MUSHI
01-201005-224141_bem_fb0_elicit_15  LILYA ABALONDO BAYA KU MUSHI IFYULA FYAYALONGANA APO BANIKE AMASUMBU FYALATAMBA 
01-201005-224141_bem_fb0_elicit_16  AWE FYASUNGUKA NGANSHI PA KUMONA UBUSHISHI BWACEPA FILYA EMO BALEIPAILA ISABI LYAFULA FILYA KABILI ILIKALAMBA
01-201005-224141_bem_fb0_elicit_17  UBUSHIKU BWINE UBO NAFYO FYAUMFWANA AFITI BANE NA IFWE NATUPANGE AMASUMBU YA KWIPAILAMO ISABI 
01-201005-224141_bem_fb0_elicit_18  FYONSE FYASUMINISHANYA 
01-201005-224141_bem_fb0_elicit_19  APO PENE FYATENDEKA NO KUTUKUTA 
01-201005-224141_bem_fb0_elicit_20  FYAYATANTIKA PA MUMANA UBUSHISHI UBWATELELA 
01-201005-224141_bem_fb0_elicit_21  FILEBIKAMO NO TUNTU UTWAFITA UKUPASHANYA IFIFUNDO FILYA FIMWENE MU MASUMBU
01-201005-224141_bem_fb0_elicit_22  FYAPANGA MWE PA MUMANA FYABAPO FYNTANGALINTANGALI
01-201005-224141_bem_fb0_elicit_23  ICO UBUSHIKU BWAILA AFITI BANE TUKASOKOLA ISABI ULUCELO PANTU NOMBA BWAILA 
01-201005-224141_bem_fb0_elicit_24  NAPO PENE FYASUMINISHANYA
01-201005-224141_bem_fb0_elicit_25  BULECA ULUCELO FYAMONA ABALONDO BAISA KU KULENGULA AMASUMBU BASHILE PA MUMANA
01-201005-224141_bem_fb0_elicit_26  NALYO FYAMONA BAIPAYA ISABI ILINGI BASENDA NA KU MUSHI
01-201005-224141_bem_fb0_elicit_27  CILYA ABALONDA BAYA NAFYO FYAPINGUSHANYA AFITI ALENI BANE NOMBA NA IFWE TUSOKWELE ISABI KU MASUMBU ULEKE TWIPAYE
01-201005-224141_bem_fb0_elicit_28  AWE NAKAENDI FYAYAKANIKA FIMO FYAPITA LUBALI NE FIBIYE LUBALI 
01-201005-224141_bem_fb0_elicit_29  FYACITA NGA MULYA MWINE FYAMWENENE ABALONDO LACITILE MAILO FYAYAMBA NO KUSOKOLA 
