03-201007-022920_bem_798_elicit_0  SHAMITOMBO ABWELELA KU BUFUMU
03-201007-022920_bem_798_elicit_1  UBWINGA BWAPWA NOKUPWA BAABAFYE UMUBILI UMO NO MUTIMA UMO
03-201007-022920_bem_798_elicit_2  MU CAALO NGA MWALIME NKALAMO ABANTU IMITIMA ISAKAMANE ICIBI 
03-201007-022920_bem_798_elicit_3  KUTI UKO YAIKATA UMO NO ULI UKU NAO AT PAMBI MAILO NALIMO NINE 
03-201007-022920_bem_798_elicit_4  BONSE BALAFWAYO KUTI CISWANGO BACISAKULE BWANGU 
03-201007-022920_bem_798_elicit_5  ECO BONSE UMUTIMA USEKELELA PA KUMFWA UKUTI CILYA CISWANGO NOMBA NABACISAKULA 
03-201007-022920_bem_798_elicit_6  MU BLUEVILLE NAMO ICISWANGO CINE CINE NI KOYIKOYO
03-201007-022920_bem_798_elicit_7  NA FUNDI WACIKO NAO NI SHAMITOMBO 
03-201007-022920_bem_798_elicit_8  ILYO BAUMFWILE UKUTI NOMBA KOYIKOYI NAFWA ABANTU BAYAULA NO TUPUNDU 
03-201007-022920_bem_798_elicit_9  UBULANDA BWABEKETEFYE PA KUSANGA UKUTI MUKA SHAMITOMBO NAO NI MFWAFYE KU MFUTI BAMULISHISHE 
03-201007-022920_bem_798_elicit_10  NO BWINGA BWASUKA BWALANTALILA
03-201007-022920_bem_798_elicit_11  SHAMITOMBO NAO WINE KULALILISHIKA FYE ALI NAPO MARIA NGA AFWA NGA NKACITA SHANI 
03-201007-022920_bem_798_elicit_12  MARIA TAFWILE IYOO 
03-201007-022920_bem_798_elicit_13  PAPILILEFYE MILUNGU IBILI NINSHI CILI NA MU MWAKA LUPYA NOKUFUMA MU CIPATALA AFUMA 
03-201007-022920_bem_798_elicit_14  UBWINGA BWAPWA NO KUPWA BABALYE UMUBILI UMO NO MUTIMA UMO 
03-201007-022920_bem_798_elicit_15  BAWISHI KWA SHAMITOMBO BENA BAMONANA NA PATILI FERNAND 
03-201007-022920_bem_798_elicit_16  NO KUMOLONDOLWELE FINTU BALI NO MUSUNGU UMO UO BAFUMINE NAO KU TANZANIA 
03-201007-022920_bem_798_elicit_17  NOMBA AFWILA KU CAALO CA BAMAKUSULU 
03-201007-022920_bem_798_elicit_18  ALONDOLOLA NO BUCUSHI BWA MULYA MU CAALO 
03-201007-022920_bem_798_elicit_19  NEFYO MWANE SHAMITOMBO AMUSHILE PA CIFULO UKUTI NKABWELA 
