01-200917-234543_bem_d31_elicit_0  UBUBOMFI BWAKWA YESU BWATENDEKA ILINTU ALI NE MYAKA NALIMO AMAKUMI YATATU
01-200917-234543_bem_d31_elicit_1  MU KUBELENGA TWAMONA IFINTU FIBILI IFYATANGILILE UBUBOMFI BWAKWE PAMO NGO LUBATISHO NO KWESHIWA
01-200917-234543_bem_d31_elicit_2  MULI MARKO TUBELANGA IFYO YOHANE ALESHIMIKILA PAMULANDU WA LUBATISHO LWA KULAPILO KUKULEKELELWA KWA LUBEMBU KABILI TUMONA IFYO ABANTU BALEISA KUKUBATISHIWA PANUMA YAKUYEBELELA IMEMBU SHABO
01-200917-234543_bem_d31_elicit_3  MU MABESI TULEMONA YESU ABATISHIWA KULI YOHANE LYONSE ILYO TWABELENGA AYA MALEMBO TUIPUSHA UKUTI 
01-200917-234543_bem_d31_elicit_4  BUSHE CALI ICAYANA UKUTI YESU ABATISHIWE ULUBATISHO LWAKULEKELELWA KWA LUBEMBU PAMO NGA FINTU YOHANE ALESHIMIKILA
01-200917-234543_bem_d31_elicit_5  MULI MATEO TULELANGA YOHANE KABATISHA ALEIPUSHE LIPUSHO LIMO LINE 
01-200917-234543_bem_d31_elicit_6  ELYO YESU AFUMINE KU GALILI 
01-200917-234543_bem_d31_elicit_7  AILE KU YORDAN KULI YOHANE
01-200917-234543_bem_d31_elicit_8  KUKUBATISHIWA KULI WENE 
01-200917-234543_bem_d31_elicit_9  LELO YOHANE APANA AMUKANYE 
01-200917-234543_bem_d31_elicit_10  ATI INE NDEKABILO KUBATISHIWA KULI IMWE 
01-200917-234543_bem_d31_elicit_11  NAIMWE BUSHE MWAISA KULI INE 
01-200917-234543_bem_d31_elicit_12  UBWASUKO BWAKWA YESU UMWINE KUTI BWATWAFWA UKUSANGA UMO CALOLELE
01-200917-234543_bem_d31_elicit_13  EFYO CATUYANO KUFISHO BULUNGAMI BONSE 
01-200917-234543_bem_d31_elicit_14  ILI SHIWI LYA BULUNGAMI BONSE LILEPILIPULA MAPANGE YAKWA LESA PA MWANA WAKWE YESU KRISTU
01-200917-234543_bem_d31_elicit_15  ICALI MU MAPANGE YAKWA LESA CAKUTI YESU ABE PAKATI KA BANTU NO KUISOKOLOLA PAKUTENDEKA KWA BUBOMFI BWAKWE BWINE
01-200917-234543_bem_d31_elicit_16  LI LISAMBILILO ILIKALAMBA KULI IFWE MU NSHIKU SHA LELO KU NCENDE UKULI KONSE KUNTU SHIKULU 
01-200917-234543_bem_d31_elicit_17  KUKUBOMBO MULIMO UULI ONSE 
01-200917-234543_bem_d31_elicit_18  TULINGILE UKUBA PAKATI KA BANTU NO KUILINGANYA MU MUMUSANGO TWINGAPOKELELWAMO KU BANTU
01-200917-234543_bem_d31_elicit_19  ICACITIKE PANUMA YA LUBATISHO LWAKWA YESU KWISUKA KWA MULU PAMO NOKWIKILA KWA MUPASHI WA MUSHILO PALI YESU MU CIPASHO CA NKUNDA 
01-200917-234543_bem_d31_elicit_20  ELYO ISHIWI LYAFUMINE KUMULU ALITI  NIWE MWANA WANDI UWATEMWIKWA MULI IWE EMO MBEKELWA 
01-200917-234543_bem_d31_elicit_21  NELYO TEKUTI TWILUKE BWINO UMWALOLELE UKUWILILA KWA MUPASHI WA MUSHILO 
01-200917-234543_bem_d31_elicit_22  CIMO ICO TULINGILE UKWISHIBA CAKUTITILA YESU ALISUBILWE KUKUBOMBA MULIMO WAKWE PANO ISONDE
01-200917-234543_bem_d31_elicit_23  TUSAMBILILA PAMULANDU WA UKU KUSUBWA ILINTU YESU AKULUMBWILE MULI LUKA
01-200917-234543_bem_d31_elicit_24  MU MULIMO ONSE UNTU LESA ATUBIKA TULEKABILA AMAKA YA MUPASHI WA MUSHILO CILA BUSHIKU PAKUTI TUBOMBE BWINO 
01-200917-234543_bem_d31_elicit_25  CA CINE TULEKABILA UKUBAPO KWAKWA LESA PAKUTI TUPELWE AMAKA YA MUPASHI WA MUSHILO KUKUTUKOSELESHA MUNSHITA SHA KUNAKUKA NO KUTOMPOKA 
