04-201008-155438_bem_40e_elicit_0  APAFUMINE UKUTI MULENGA AKULYE
04-201008-155438_bem_40e_elicit_1  KALE SANA UMULAPO WAKUTI MULENGA ANDYE MULENGA AKULYE ABALYE TAKWALI IYOO 
04-201008-155438_bem_40e_elicit_2  BALEPISHA FYE UMUNWE PA MUKOSHI BASONTA NA MU MULU ABATI LESA KU MULU
04-201008-155438_bem_40e_elicit_3  MULENGA AKULYE ATAMPILE KU MUKOTE UMWANAKASHI 
04-201008-155438_bem_40e_elicit_4  BUSHIKU BUMO BALI PA CIBWANSE BALEISHA NA BANAKASHI BANANKWE 
04-201008-155438_bem_40e_elicit_5  MWALISHIBA UKUTI ILINGI FWE BANTU TWATEMWISHA UKULANDA PA FYAPITA KALE 
04-201008-155438_bem_40e_elicit_6  KANSHI NO YU MUKALAMBA ALESHIMIKILA ABAKASHANA IFYO BALILE INAMA ISHO MULENGA AKUMBILE ICELE MUNDA
04-201008-155438_bem_40e_elicit_7  PALYA PENE NA NAMAYO UMO AIBUKISHA IFYO BAKAPOOLI BALEMU LILA IMBALALA 
04-201008-155438_bem_40e_elicit_8  ATI MAYO KAPOOLI IFYO ALENDILA IMBALALA MU IBALA AWE MWANDI TETI UTEMWE
04-201008-155438_bem_40e_elicit_9  UMUBIYE NAO ATI AWE MAYO NA INE WINE NAONAULA KALUNDWE MU IBALA LYANDI MUBULILE NO WAMUTI
04-201008-155438_bem_40e_elicit_10  BWANGUBWANGU ULYA MUKOTE ATI ALA ECO MULENGA ALEFI KUMBILE CELE MUNDA ECO AFILILILE MULENGA ABALYE ABO BAKA POOLI BALEMONAWILE IFISABO
04-201008-155438_bem_40e_elicit_11  UMBI NAO PALYA ATI ALA MAYO INE BAKOLWE KUTI NGA NABALYA INYANJE CABULANDA KUTI WIKETE FYE AMABOKO MU MUKOSHI
04-201008-155438_bem_40e_elicit_12  UMUKOTE ULYA ATI NABAPELA MULENGA ABALYE
04-201008-155438_bem_40e_elicit_13  UMUKOTE MUKUTILA ABALYE ALEFWAYA BAFWE BWANGU NGE FYATWILE NAMA SHAKWA MULENGA KU CELE
04-201008-155438_bem_40e_elicit_14  BASUKA BAFUMA KU NAMA BAYA KU BANTU UMO ATI MAYO ABANTU IFYO BANYANTAWILILE FWAKA MU CIPUTU
04-201008-155438_bem_40e_elicit_15  UMUKOTE ATI NABO BENE MULENGA ABALYE
04-201008-155438_bem_40e_elicit_16  BASHIMA FYE UKUYA KU KULALA UMUNABO UMO AYASANGA ABAICE NABALYA CIKANDA ILYO BALI BALESOWA BAKWINDI 
04-201008-155438_bem_40e_elicit_17  ALAFULA ATI WE ULILE CIKANDA NIWE ANI
04-201008-155438_bem_40e_elicit_18  UWAKWASUKA ABULA UMUNTU UMUTIMA WAKALIPA ATUPA IYO ALALAPISHA MU MASHIWI YENE ALI OMFWILE KU MUKOTE ATI
04-201008-155438_bem_40e_elicit_19  WE UNDILILE CIKANDA MULENGA FYE AKULYE
04-201008-155438_bem_40e_elicit_20  NOMBA KALILALA KALINGILA AKA KAMULAPISHO KA KWA MULENGA AKULYE 
04-201008-155438_bem_40e_elicit_21  NE WABIKAKO AMANO ULEUMFWA PAKUTI KAWE ABANAKASHI BALEKASOSA NE MIKU UMWANDA 
04-201008-155438_bem_40e_elicit_22  ALA BANAMAYO NABO KU KUSHIKA IFYA MUSANGO UYU EKO BAIKALE NSHIKILI
