03-200921-143443_bem_798_elicit_0  UKUUFYA ABAICE MUKUPATIKISHIWA
03-200921-143443_bem_798_elicit_1  UKUPATIKISHA UULI ONSE UKUUPA NANGU UKUUPWA MULANDU UUKULU SAANA MU AUSTRALIA
03-200921-143443_bem_798_elicit_2  MU CALO CA AUSTRALIA ABANTU BALIKWATA INSAMBU SHAKUSALA UKUUPA NANGU IYOO ELYO NO MUNTU UNTU BENGOPA 
03-200921-143443_bem_798_elicit_3  INSHITA ISHINGI UMUNTU AFWILE ACILA PA MYAKA EIGHTEEN IYAKUFYALWA ELYO ENGASUMINISHIWA UKUUPA NANGU UKUUPWA 
03-200921-143443_bem_798_elicit_4  MUNSHITA SHIMO SHIMO UMUNTU UUCILILEKO PA MYAKA SIXTEEN KUTI AUPA NANGU UKUUPWA KU MUNTU UUCILILE PA MYAKA EIGHTEEN 
03-200921-143443_bem_798_elicit_5  LELO PALINGILE PABA ICIPOOPE CAKU CILYE CAMILANDU
03-200921-143443_bem_798_elicit_6  CILAPINKANA NAMAFUNDE YA CALO CA AUSTRALIA UKUPATIKISHA UKUTINYA NANGU UKUBELELEKA UMUNTU PAKUTI EGENGILA MU CUPO 
03-200921-143443_bem_798_elicit_7  KABILI CILAPINKANA NAMAFUNDE YA CALO CA AUSTRALIA UKUKOSELESHA NANGU UKUPEKANISHISHAKO UMUNTU ICUPO ICAKUPATIKISHIWA 
03-200921-143443_bem_798_elicit_8  ELYO NOKUSANGWA MWIBUMBA ILYABALEUFYA ICUPO CAKUPATIKISHIWA NGACAKUTI TEIWE CIKUMINE 
03-200921-143443_bem_798_elicit_9  ICI CILEKUMAFYE KU FYUPO FYONSE FIBE FYAMWI FUNDE IFYA NTAMBI NANGUFYE IFYA MAPEPO
03-200921-143443_bem_798_elicit_10  ICUPO CAKUFWAILWA UMO BONSE BABILI BAISUMININA UKUPANA CAPUSANA NECUPO CAKUPATIKISHIWA 
03-200921-143443_bem_798_elicit_11  IFYUPO FYAKUFWAILWA FYALISUMINISHIWA MU CALO CA AUSTRALIA
03-200921-143443_bem_798_elicit_12  NGACAKUTI IMWE NANGU UMUNTU UMBI UNTU MWAISHIBA ALI MU BUSANSO TUMINENI BA KAPOKOLA PALI ZERO ZERO ZERO
03-200921-143443_bem_798_elicit_13  BA KAPOKOLA MU CALO CA AUSTRALIA BANTU ABASUMA KABILI ABACETEKELWA
03-200921-143443_bem_798_elicit_14  NGACAKUTI MULEFWAYA UWAKUMIPILIBWILAKO ICITUNDU TUMENI PA ONE THREE ONE FOUR FIVE ZERO
