05-200916-115646_bem_a40_elicit_0  TUFWILE UKUBOMFYA IFIMBUSU BWINO
05-200916-115646_bem_a40_elicit_1  PANUMA TULINGILE UKU KUPIKAPO UKULESHA BA LUNSHI UKUSALANGANYA AMALWELE
05-200916-115646_bem_a40_elicit_2  PAKULEKELESHA TUSUNGE IFIMBUSU NE FISHIMA FYESU UBUSAKA
05-200916-115646_bem_a40_elicit_3  CISUMA TWAKULAKONKA FINTU MWATUFUNDA
05-200916-115646_bem_a40_elicit_4  TWATOTELA SANA
05-200916-115646_bem_a40_elicit_5  MWENDE BWINO
05-200916-115646_bem_a40_elicit_6  BANA MAYO BATAPA AMENSHI MU FISHIMA NGA EKO FYABA 
05-200916-115646_bem_a40_elicit_7  MUFWILE UKULYA
05-200916-115646_bem_a40_elicit_8  TAMUFWILE UKULYA
05-200916-115646_bem_a40_elicit_9  MULINGILE UKUYA KU CIPATALA
05-200916-115646_bem_a40_elicit_10  ULINGILE UKWIPIKA AMENSHI
05-200916-115646_bem_a40_elicit_11  BA SUSAN MWAILE KWI
05-200916-115646_bem_a40_elicit_12  NAILE KU MBALA
05-200916-115646_bem_a40_elicit_13  FINSHI MWAILE MUKUCITA
05-200916-115646_bem_a40_elicit_14  NAILE MUKUTANDALA
05-200916-115646_bem_a40_elicit_15  BA SUSAN MAILO MUKAYA KU MPULUNGU
05-200916-115646_bem_a40_elicit_16  AWE IYO NKABAFYE PA NG'ANDA
05-200916-115646_bem_a40_elicit_17  MAILO WAILE KWI JAMES
05-200916-115646_bem_a40_elicit_18  MAILO UKAYA KU ENGLAND
05-200916-115646_bem_a40_elicit_19  MAILO MWAILE KU CINSANKANO
05-200916-115646_bem_a40_elicit_20  LIMBI NKAKUMONA MAILO
05-200916-115646_bem_a40_elicit_21  MAILO NAILE KU LIVINGSTONE
05-200916-115646_bem_a40_elicit_22  ISHINA LYENU NIMWE BANI
05-200916-115646_bem_a40_elicit_23  BA PATRICK MWIKALAKWI
05-200916-115646_bem_a40_elicit_24  NJIKALA KU KASAMA
05-200916-115646_bem_a40_elicit_25  BUSHE BA TOM BALIISA
05-200916-115646_bem_a40_elicit_26  BA TOM TABAISHILE
05-200916-115646_bem_a40_elicit_27  NANGENIKO INSHILA YAKU MALIKETI
05-200916-115646_bem_a40_elicit_28  ISHINA LYANDI NINE PATRICK
05-200916-115646_bem_a40_elicit_29  NANGENIKO UKULI ICIMBUSU
05-200916-115646_bem_a40_elicit_30  BUSHE SACHA ILIKWI
05-200916-115646_bem_a40_elicit_31  BUSHE SACHA ILEYA KWI
05-200916-115646_bem_a40_elicit_32  SACHA ILEYA KU LUSAKA
05-200916-115646_bem_a40_elicit_33  NANGENIKO INSHILA YAKU CIBANSA CA NDEKE
05-200916-115646_bem_a40_elicit_34  BUSHE MWALISHIBA UKULANDA ICISUNGA
05-200916-115646_bem_a40_elicit_35  NDESAMBILILA UKULANDA ICIBEMBA
05-200916-115646_bem_a40_elicit_36  LANDEENI PANOONO PANOONO
05-200916-115646_bem_a40_elicit_37  MULANDA SHAANI MU CIBEMBA
05-200916-115646_bem_a40_elicit_38  BUSHE NAACILANDAFYE BWINO
05-200916-115646_bem_a40_elicit_39  NALIKUTEMWA
05-200916-115646_bem_a40_elicit_40  NKAKUFULUKA
05-200916-115646_bem_a40_elicit_41  NSHILEEUMFWA
05-200916-115646_bem_a40_elicit_42  MULEEMONA AMABUMBA YANGA
05-200916-115646_bem_a40_elicit_43  KULI UTUNTU TUNGA
05-200916-115646_bem_a40_elicit_44  BUSHE EKALA KWISA
05-200916-115646_bem_a40_elicit_45  BUSHE ICIILA CIKABAKO LIISA
05-200916-115646_bem_a40_elicit_46  NI FISA PALI IFI FINTU
05-200916-115646_bem_a40_elicit_47  BWEKESHENIPO IFYO MWALANDA
05-200916-115646_bem_a40_elicit_48  BAMAYO BALEMFUNDA UKULEMBA MU CISUNGU
