17-200916-192637_bem_346_elicit_0  NOMBA KUTI MWAYA IKAALA
17-200916-192637_bem_346_elicit_1  KUTI WAYA MUKWIKALA IREDI
17-200916-192637_bem_346_elicit_2  TUBWELE KWISAMBILILO LANDENI 'SHANI'
17-200916-192637_bem_346_elicit_3  IMAKANENI
17-200916-192637_bem_346_elicit_4  NALAMIFUNDAKO ULWIMBO
17-200916-192637_bem_346_elicit_5  ELYO TWALAYA KU NG'ANDA
17-200916-192637_bem_346_elicit_6  NGA NALANDA ATI 
17-200916-192637_bem_346_elicit_7  NGA ULI NENSANSA NOKWISHIBA TOTA AMAPI NEMINWE
17-200916-192637_bem_346_elicit_9  TOTENI AMAPI
17-200916-192637_bem_346_elicit_10  CHILEPILIBULA 'TOTA' MWAUMFWA
17-200916-192637_bem_346_elicit_11  KUTOTAFYE UMUKU IBILI CHAPWA
17-200916-192637_bem_346_elicit_12  MWAUMFWA NAMUMFWIKISHA
17-200916-192637_bem_346_elicit_13  ISENI TWESHE
17-200916-192637_bem_346_elicit_14  ERIC MIKU IBILI FYE MONA EFYO NALACITA
17-200916-192637_bem_346_elicit_15  BA GELEDI ONE NDOLESHI KUNO
17-200916-192637_bem_346_elicit_16  NTOTELE IMIKU INGA
17-200916-192637_bem_346_elicit_17  IMIKU INGA IBILI
17-200916-192637_bem_346_elicit_18  BUSHE NAMUMFWA
17-200916-192637_bem_346_elicit_19  ISENI TUCITILE CAPAMO
17-200916-192637_bem_346_elicit_20  BONSEFYE MUCITE EFYO NDECITA BONSE PAMO
17-200916-192637_bem_346_elicit_21  IMIKU SHIBILIFYE
17-200916-192637_bem_346_elicit_22  EKO ULI PEGISTINA
17-200916-192637_bem_346_elicit_23  BUSHE MIKU IBILI IYO
17-200916-192637_bem_346_elicit_24  IMIKU IBILI KWATI IFI
17-200916-192637_bem_346_elicit_25  MWAUMFWA NOMBA IMININENI
17-200916-192637_bem_346_elicit_26  ISENI TWIMININE BONSE PAMO
17-200916-192637_bem_346_elicit_27  NGA ULI NENSANSA ELO NAWISHIBA TOTA NEMINWE YOBE
17-200916-192637_bem_346_elicit_28  NGA ULI NENSANSA ELO NAWISHIBA ELO ULEFWAISHA UKULANGISHA
17-200916-192637_bem_346_elicit_29  NGA ULI NENSANSA ELO NAWISHIBA TOTA NEMINWE YOBE
17-200916-192637_bem_346_elicit_30  NGA ULI NENSANSA ELO NAWISHIBA NYANTA MAKA YOBE
17-200916-192637_bem_346_elicit_31  NYANTA AMAKASA YOBE
17-200916-192637_bem_346_elicit_32  SHALENIPO KALASI
17-200916-192637_bem_346_elicit_33  SHALENIPO BAKAFUNDISHA TUKAMONANA MAILO NAKABILI
17-200916-192637_bem_346_elicit_35  TEKWESHA UKULOFWA MWAUMFWA
17-200916-192637_bem_346_elicit_36  NALIMITEMWA BONSE BA GELEDI ONE
17-200916-192637_bem_346_elicit_37  MWENDE BWINO ELO MUKESE MAILO KUSUKULU
17-200916-192637_bem_346_elicit_38  IWE UKO JONATHAN
17-200916-192637_bem_346_elicit_39  CINSHI WACILAIMININA PEDESKI
17-200916-192637_bem_346_elicit_40  ULEMININA NAPETEBULO KU NG'ANDA
17-200916-192637_bem_346_elicit_41  CINSHI UKUSAKAMANA  KU NYIMBA BALESHITA AMATABA NA CILEMBA YA SOYA
17-200916-192637_bem_346_elicit_42  PAMULU PAMULU
17-200916-192637_bem_346_elicit_43  KUSHELEFYE KAMO APAKUFIKA IKUMI NE KUMI
17-200916-192637_bem_346_elicit_44  NSHAFUMA KU LWIMBA
17-200916-192637_bem_346_elicit_45  NAISHILEFYE KUNO PA MULANDU WA NCHITO
17-200916-192637_bem_346_elicit_46  NAFUMA MU CITUNGU  CA KUKABANGA
17-200916-192637_bem_346_elicit_47  MUBARAK MWANA UMUSUMA
17-200916-192637_bem_346_elicit_48  ALITEMWISHA UBULIMI
17-200916-192637_bem_346_elicit_49  NA MUNSHILA YAMFULA ALABYALA MUMABALA NAIFWE
