03-200921-112400_bem_798_elicit_0  UKUPATIKISHA NO BUNKALWE MUKUPANGA ICUPO
03-200921-112400_bem_798_elicit_1  MU CALO CA AUSTRALIA MULANDU UKUPATIKISHA UMUNTU NANGU UKUMUCENA PAKUPANGA ICUPO
03-200921-112400_bem_798_elicit_2  UMUNTU UWACITA UYU MULANDU KUTI AYA KUCIFUNGO CIBE MWAUME NANGU MWANAKASHI
03-200921-112400_bem_798_elicit_3  NGACAKUTI IMWE NANGU UMUNTU UMBI UNTU MWAISHIBA ALI MU BUSANSO TUMINENI BA KAPOKOLA PALI ZERO ZERO ZERO
03-200921-112400_bem_798_elicit_4  BA KAPOKOLA MU CALO CA AUSTRALIA BANTU ABASUMA KABILI ABACETEKELWA
03-200921-112400_bem_798_elicit_5  NGAMULEFWAYA BU MPANDA MANO UBWA LUTU KABILI UBWA NKAMA TUMMINENI BA ONE EIGHT ZERO ZERO RESPECT PA ONE EIGHT ZERO ZERO SEVEN THREE SEVEN SEVEN THREE TWO
03-200921-112400_bem_798_elicit_6  NGACAKUTI MULEFWAYA UWAKUMIPILIBWILAKO ICITUNDU TUMENI PA ONE THREE ONE FOUR FIVE ZERO
03-200921-112400_bem_798_elicit_7  UBUTEKO BWA CALO CA AUSTRALIA TABUSUMINISHA UKUPATIKISHA NOBUNKALWE MUKUPANGA ICUPO MUMUSANGO UULI ONSE
03-200921-112400_bem_798_elicit_8  UKUPATIKISHA NOBUNKALWE MUKUPANGA ICUPO KUPEKANISHIWA UKUCITIKILA KU MUNTU UMBI UKWABULA UKUTI ASUMINE 
03-200921-112400_bem_798_elicit_9  UKUPATIKISHA NOBUNKALWE MUKUPANGA ICUPO KU MWINA MOBE NANGU LUPWA LOBE MULANDU
03-200921-112400_bem_798_elicit_10  UKUPATIKISHA NOBUNKALWE MUKUPANGA ICUPO MUSANGWA IFI
03-200921-112400_bem_798_elicit_11  UKUPATIKISHA UMUNTU UULI ONSE UKUPANGA ICUPO NAGU UKUCITA IFILI FYONSE IFYAPALA MUKUPANGA ICUPO
03-200921-112400_bem_798_elicit_12  UKUPATIKISHA UMUNTU UKUTAMBA ABANTU ABALEPANGA ICUPO
03-200921-112400_bem_798_elicit_13  NANGU UKUPANGA ICUPO NANGU UKUCITA IFIPALILE KUCUPO NO MWAICE
03-200921-112400_bem_798_elicit_14  ABANAKASHI BALIKWATA INSAMBU SHIMO SHINE NGA ABAUME
03-200921-112400_bem_798_elicit_15  AMAFUNDE MU CALO CA AUSTRALIA TAYAKWATA AKAPATULULA PAKATI KA BANAKASHI NA BAUME
03-200921-112400_bem_798_elicit_16  UMUNTU ONSE ALIKWATA INSAMBU SHAKUKWATA UBWAMPANO UBUSUMA KABILI UBWACINGILILWA NO LUPWA LWAKWE IFIBUSA NA BATEMWIKWA BAKWE 
03-200921-112400_bem_798_elicit_17  UMUTITIKISHA TAWAWAMA IYO 
03-200921-112400_bem_798_elicit_18  TAKULI UMUNTU NANGU UMO UULINGILE UKUSUMINISHA UKUMUCUSHA NANGU UKUMUCENA
03-200921-112400_bem_798_elicit_19  MWALIBA UTUBUNGWE UTUBOMBELA KU LYASHI LYA NDUPWA MU CALO CA AUSTRALIA UTWINGAFWILISHA
03-200921-112400_bem_798_elicit_20  ONE EIGHT ZERO ZERO RESPECT  KABUNGWE KAMU CALO CA AUSTRALIA AKABOMBELA MUKUPANDA AMANO MU MILANDU YA KULUNGANA NABANTU KU MAKA ELYO NO BUNKALWE NO MUTITIKISHA MU MAYANDA 
03-200921-112400_bem_798_elicit_21  AKA KABUNGWE KALAPELAKO ILYASHI LYA BUMPANDA MANO ILYA LUTU KABILI ILYA NKAMA PALI LAMYA ELYO NAPA INTANETI 
03-200921-112400_bem_798_elicit_22  BA MPANDAMANO BAKOMFWA KULI FINTU MULELANDA UKWASUKA AMEPUSHO YENU ELYO NOKUMITUMA KUMBI UKO MWINGASANGA UBWAFWILISHO MU NCENDE YENU
03-200921-112400_bem_798_elicit_23  BUSHE ULEKABILA UWAKUKULONDOLWELA MUCITUNDU COBE
03-200921-112400_bem_798_elicit_24  TUMINENI AKABUNGWE KA KUPILIBULA NO KWALULA IFITUNDU PA ONE THREE ONE FOUR FIVE ZERO
03-200921-112400_bem_798_elicit_25  BAKAPILIBULA WA FITUNDU UKUFUMA KU TIS KUTI BAMYAFWILISHAKO UKUPILIBULA IFITUNDU LELO TEKUTI BABOMBELE KULI BUMPANDA MANO
03-200921-112400_bem_798_elicit_26  UKUTUMA KWA LAMYA KONSE KWA LUTU KABILI UKWA NKAMA
