02-200917-163739_bem_197_elicit_0  ABA BANA TEKUTI UBASHININE
02-200917-163739_bem_197_elicit_1  UMUNTU UMUPINA UUSHAKWATA NANGU FYE KAKUFIMBANA PAKUSENDAMA
02-200917-163739_bem_197_elicit_2  UKUFUMYAPO ICINTU ICO BALELWILA
02-200917-163739_bem_197_elicit_3  UKWIKATANA NOKUMFWANA BWINO UKULI UMUBIYE NOMUNANKWE NINSHI EKO ALI
02-200917-163739_bem_197_elicit_4  UMUSANGO ULEPELELAMO ICABUPE ULALENGA UKUTI ICABUPE CIWAME NANGU CIBIPE KUMENSO YABOLEPELA
02-200917-163739_bem_197_elicit_5  UKUILETELELA WEMWINE
02-200917-163739_bem_197_elicit_6  UMUNTU UWABA NOBUKAAKA BWAKUKANSANA NO KUMANA NABANANKWE
02-200917-163739_bem_197_elicit_7  UKUFWA PAMULANDU WABUCUSHI UKWABULA NANGU UMO UWAKUKWAFWILISHAKO
02-200917-163739_bem_197_elicit_8  BU CINTOFWA BULALETELELA UMUYA INSHIKU
02-200917-163739_bem_197_elicit_9  TAMULINGILE MWAKANDISHA SANA UULOMBELE UBWELELO ELYO UWANAKILILA
02-200917-163739_bem_197_elicit_10  UMUNTU UULANDA NOKUTOBENKANYA IFINGI PA NSHITA IINONO
02-200917-163739_bem_197_elicit_11  MWANDEKELESHA
02-200917-163739_bem_197_elicit_12  INSHIKU SHIBI SHILAPITA ELYO PAKONKA INSHIKU SHANSANSA
02-200917-163739_bem_197_elicit_13  UMUNTU UWATEMWA UKULIILA MUBABIYE
02-200917-163739_bem_197_elicit_14  UKUCUSHA ABABIYO
02-200917-163739_bem_197_elicit_15  ABAKALAMBA NGABAKUTUMA UCETEKELE UKULYA IFISUMA
02-200917-163739_bem_197_elicit_16  NGA ULEFWAYA UKUSEKELA MUCINTU CIMO UFWILE WAISHITILA TEKWASHIMA IYO
02-200917-163739_bem_197_elicit_18  IFI EFYO ISHAMFUMU SHIILUMBANYA PA KUSHIPA KWA SHIKO
02-200917-163739_bem_197_elicit_19  UKWETE UBULWELE NANGU ICILONDA EWISHIBA IFYO CILEKALIPA
02-200917-163739_bem_197_elicit_20  IMISANGO YOBE ILAKALIFYA ABANOBE
02-200917-163739_bem_197_elicit_21  NGOLEFWAYA UKUBOMBA BWINO MUCALO UFWILE WAKWATA ICIBUSA ICALUMBUKA BWINO
02-200917-163739_bem_197_elicit_22  UKULOLESHA MISUULAMISUULA
02-200917-163739_bem_197_elicit_23  UMULONGO WABANTU UUTALI NGANSHI
02-200917-163739_bem_197_elicit_24  UMUNTU UWACEPA UMUBILI UWINGALUBILA MWIBUMBA
