12-201008-123513_bem_526_elicit_0  TWAIMA PA SUKULU
12-201008-123513_bem_526_elicit_1  INSHITA YALI FYE ULUCELO NGA FILYA FINE KUBA NA PE MU NSHITA YA MPEPO AKASUBA TAKALABALIKISHA 
12-201008-123513_bem_526_elicit_2  AWE NAUMFWA ABAPATILI BABILI ABO TWALI NO KUYA NABO ABATI NATULEYA 
12-201008-123513_bem_526_elicit_3  NAUMFWA NA MUNDA MWALILA NA MACOLOLO NA KU MUSANA KWAPONA APAKUKANINA NAPO PABULA 
12-201008-123513_bem_526_elicit_4  ICISHELE KUTILA FYE NATULEYA PANTU UBUSHIKU BANJIPWISHE NALISUMINE KANSHI NGA NATI KANKANEKO PA BUSHIKU BWA KUYA KUTI CABA NGA NEO ABANANDI BATUMPAIKE 
12-201008-123513_bem_526_elicit_5  KABILI KUTI CABA KWATI LIBULA ILYAKUTI UKWAYA UMWELA NALYO EKO LYAKONKA 
12-201008-123513_bem_526_elicit_6  NAIBUKISHA NA LILYA IPINDA BATILA UMWANA ASHENDA ATASHA NYINA UKUNAYA' 
12-201008-123513_bem_526_elicit_7  CABA FVE KWATI NINE BAUMINE LILYA IPINDA 
12-201008-123513_bem_526_elicit_8  KUTI CILYA NAIMA APO NAIKELE NAUMFWA NGA NE WAIMA PA MENSHI  NA TUKAPUTULA TULI FYE UTWATENTEMUKA KWATI UNTU BAIKATA ALEIBA ISABI MU MYONO YA BENE 
12-201008-123513_bem_526_elicit_9  NALATI NGA NATONTONKANYA IFYO NAUMFWILE UKUTI BALAFWA KU ZAMBEZI NA MANO YAPELA NASUKA NATI FYE WAFWA WAFWA WASHALA WASHALA 
12-201008-123513_bem_526_elicit_10  NATONTONKANYA UKULAYA ABANANDI LELO NATI NGA NABALAYA UBULANDA BULENJIKATA NAKUNKULUKA FYE NABIKA NO TWAKUFWALA MULI MOTOKA NAKOOLA NO KUKOOLA PA KUTI UMWENSO UPWE
12-201008-123513_bem_526_elicit_11  NAKAKISHA NA KAMUSHIPI MULI KAKAPUTULA ICO KALIKOTELE NATIINA UKUKAKISHA NATI KALEPUTUKA 
12-201008-123513_bem_526_elicit_12  KWENA NAUMFWA MU MALA MWALAPOTA NAKUNKULUKILA KU KAYANDA KA BUSAKA 
12-201008-123513_bem_526_elicit_13  UKO KUNTU NAILEKOKOLAKO NGANSHI 
12-201008-123513_bem_526_elicit_14  UMOABAPATILI BALI BALENDOLELA BASUKA BATUMAKO UWA KUMBULA ELYO NALAISA UKO BALI
12-201008-123513_bem_526_elicit_15  BANJIPUSHA ABATI  BUSHE TAULEFWAYA KUYA 
12-201008-123513_bem_526_elicit_16  NSHAYASWIKE BWANGU NABALILE NALATONTO NKANYA AWE ICISHELE KUTILA FYE IYO NATULEYA 
12-201008-123513_bem_526_elicit_17  NAPA KUSUMINA IFI NAIBUKISHE UKUTI KWENA NKABWELA KUNO KU SUKULU NAKABILI KABILI NE NDALAMA NKALAFOLA AWE NAUMFWA NO MUTIMA WASANSAMUKA 
12-201008-123513_bem_526_elicit_18  LELO TE KUSANSAMUKA KWINEKWINE PANTU NALETI NGA NAIBUKISHA IFISWANGO BASHIMIKAKO AWE CAYAFYA NO KWAFYA PA KWIKALA 
12-201008-123513_bem_526_elicit_19  ICISHELE KWIKALISHA FYE MULI MOTOKA NA NAMUTEKENYA ANYANTA NA KU MENSHI YAKABE YALYA YENE BETA ABATI PETULO 
12-201008-123513_bem_526_elicit_20  MUKWAI WANDI NI MU KANWA NKOKWELE NAMONA MOTOKA YALAIMA FYE AMABAKA 
12-201008-123513_bem_526_elicit_21  TWAFIKA PE TUKA LYA MINSHONI BANJIPUSHA UKUSOSA IFYO NALEFWAYA MU ITUKA 
12-201008-123513_bem_526_elicit_22  NOMBA NAIBUKISHA NE FYO BASHIMIKA ABATI UMUNTU NGA BAMUPINGWILA UKUFWA MU CILYE BALAMWIPUSHA IFYO ALEFWAYA UKULYA PA BUSHIKU BULYA NATI NA INE E IFI FINE CILI 
12-201008-123513_bem_526_elicit_23  AWE KWENA NASHIPA NATI NDEFWAYA AMASAAKA YA BUNGA YABILI NO MUCELE NA SHUKA IMIPIKA NE MBALE MUTANDA 
12-201008-123513_bem_526_elicit_24  KABILI NATI MPENIKO NA MALAYA YABILI NA TUKAPUTULA TUTATU 
12-201008-123513_bem_526_elicit_25  BWANGU BAMPELA NO WAKUTWIPIKILA ABIKA NA MULI MOTOKA TWAYAMBA NO BULENDO 
12-201008-123513_bem_526_elicit_26  KANSHI LILYA TWATAMPILE UBULENDO AKASUBA KALI FYE PAKATI KA MUTWE NO KUKABA NINSHI KWAKABA 
12-201008-123513_bem_526_elicit_27  TWAENDELE ICIBI NECO NI MU MUSEBO USUMA KUTI CILYA AKASUBA KASENDAMA TWAFIKA NA PA KAMATIVE MINE 
12-201008-123513_bem_526_elicit_28  NAUMFWA UMUPATILI ALIPO UMUKAYA ASOSA UKUTI UKU TULEYA TAKWABA MUSEBO NA PA KUFIKA KU NDO KATWISHI 
12-201008-123513_bem_526_elicit_29  INE PA KUMFWA IFYO UMUTIMA WALALANGALUKA FYE UKO MFUMINE NATONTONKANYA NEFYO NINGAFYUKA
12-201008-123513_bem_526_elicit_30  UMUTIMA UMBI WANJEBA UKUTI MFYUKE UBUSHIKU BONSE NGA BASENDAMA 
12-201008-123513_bem_526_elicit_31  UMO NDETONTONKANYA IFYO MOTOKA NAYO YENDA FYE AWE TWASUKA TWAFIKA NA MU ILUNGU MOTOKA YABIKAPO FYE NO KUBIKA YASUKA YAFIKA NA MU KAMANA 
12-201008-123513_bem_526_elicit_32  UKULOLESHA PA MUMANA PANTU PABULA UBULALO
12-201008-123513_bem_526_elicit_33  AWE MOTOKA KWIBISHA NO TUMIPETO NA PA FIPUNA TWAIKELEPO TWABA FYE MU MENSHI 
12-201008-123513_bem_526_elicit_34  NAUMFWA UMUNANDI TWALI NANKWE ASOSA ATI  AWE MWANDI LELO LYENA TWAFWA 
12-201008-123513_bem_526_elicit_35  INE ICO NALETONTONKANYA UKUFYUKA NO KUTI MBIKEKO NA MANO NAKALYA 
12-201008-123513_bem_526_elicit_36  KUSUKA MOTOKA AFUMA NA MU MUMANA ELYO IMITIMA YAIKALA 
12-201008-123513_bem_526_elicit_37  TWABIKAPO NO BULENDO 
12-201008-123513_bem_526_elicit_38  KUTI CILYA TWABA FYE MU KUFUMINE LUNGU MOTOKA ATIKA NA MU MATIPA IMIPETO FYE YONSE
12-201008-123513_bem_526_elicit_39  NOMBA ELYO NA KAMBOLE AFULAMA KUTI NGA BAESHA UKUTIKULULA YAKANININA FYE NDAI ELYO YACILA NO MUKATI PAKUTI YANGUKEKO 
12-201008-123513_bem_526_elicit_40  TWAYA NA KU KUTEMA IFIMUTI BONSE FYE NA BAPATILI KUMO 
12-201008-123513_bem_526_elicit_41  AKASEMBE NAKO KANTU KAFUPA KUTI NGA KAKOMA KWATI NI MU IBWE ULEKOMA 
12-201008-123513_bem_526_elicit_42  CILYA TWATEMA TWALATUNTA TWALETA NE FIMUTI MUPEPI NA MOTOKA TWALABIKA NA MU ISAMBA LYA MIPETO TWAYAMBA NO KUSUNKA 
12-201008-123513_bem_526_elicit_43  KUTI YAKANININA FYE NDAI 
12-201008-123513_bem_526_elicit_44  KUTI UMO TWALI TULETUKUSHA NO TWAKUFWALA TWALAMBA NO KULAMBA KU MATIPA 
12-201008-123513_bem_526_elicit_45  TWABALA TWALATUSHA 
12-201008-123513_bem_526_elicit_46  INE NALAEBA UMUPATILI NATI ALA AMABWE YENA KUTI YALINGA PANTU YENA TETI YASUNGULUKE 
12-201008-123513_bem_526_elicit_47  ICO NASOSELE IFYO PANTU NAMWENE IFIMUTI FYONSE FYALIFUNGAIKE KU MIPETO YA MOTOKA 
12-201008-123513_bem_526_elicit_48  AWE TWAYA NA KU KUTUNTA AMABWE AYENGI NGANSHI KUTI NA MABEYA NAYAKALIPA 
12-201008-123513_bem_526_elicit_49  AWE MUKWAI NGA PALYA PENE TWABIKA NA MABWE MU ISAMBA LYA MIPETO 
12-201008-123513_bem_526_elicit_50  LILYA TWALEBOMBA ILYA MILIMO KANSHI AKASUBA NAKAPITA KABA FYE NGA LILYA INKOKO SHALAINGILA 
12-201008-123513_bem_526_elicit_51  KUTI NAMUTEKENYA UKWESHAKO NAKALYA CAKANININA FYE 
12-201008-123513_bem_526_elicit_52  NAUMFWA UMUPATILI UMO ATI IYO NATUSENDAME TUKESAESHAKO KABILI ULUCELO 
12-201008-123513_bem_526_elicit_53  PA KUMFWA IFYO INE NO MUNANDI TWATEMWA NGANSHI 
12-201008-123513_bem_526_elicit_54  TWAYA NA MU MUTI UMO IFI TWALAYANSHIKA TWAKOSHA NO MULILO UWINGI NGANSHI 
