02-200918-095342_bem_197_elicit_0  UKUKANASANGWA KUKULONGANA
02-200918-095342_bem_197_elicit_1  UMUNTU UWATEMWA UKWIKALA EKA UWAIFINYA KUBANANKWE
02-200918-095342_bem_197_elicit_2  UKULANDA AMASHIWI AYAKULETA AMASAKAMIKO KUBANOBE
02-200918-095342_bem_197_elicit_3  UKULETA ILYASHI NANGU IMBILA IYAKULETA AMASAKAMIKO KUBANOBE
02-200918-095342_bem_197_elicit_4  UMUNTU UNTU ULUPWA LWA CINDAMIKILWAMO PAMULANDU WAMISANGO YAKWE IISUMA
02-200918-095342_bem_197_elicit_5  ABANTU BAFWILE UKUBA ABCISHINKA KU BAFYASHI NAKU NTUNGULUSHI SHABO
02-200918-095342_bem_197_elicit_6  UMUNTU UWIKALA NABANTU ABASHILI BAMU MUKOWA BAKWE
02-200918-095342_bem_197_elicit_7  UMUNTU UWAKWATA ABANA KUNTU AFUMYA IFYAKWIKALILAMO
02-200918-095342_bem_197_elicit_8  MUNDA FINGI FINGILAMO KWATI FYE NIKU MFUMU UKUYA ABANTU ABAPUSANA PUSANA
02-200918-095342_bem_197_elicit_9  UMWANA CINTOMFWA
02-200918-095342_bem_197_elicit_10  UMWANA CINTOMFWA
02-200918-095342_bem_197_elicit_11  NANGU WINGAKWATE CIBOMBELO ICATWA KABILI ICISUMA NGATAWISHIBE FYAKUCIBOMFYA NINSHI TACIKWETE NCITO
02-200918-095342_bem_197_elicit_12  UKUPUSUKILA MUCENI CABAKALAMBA
02-200918-095342_bem_197_elicit_13  APUSWIKE FYE KWEMPE
02-200918-095342_bem_197_elicit_14  UKULANDALANDA NOKUKALIPAKALIPA KUTI KWALENGA UMUNTU ASUKA ATENDWA
02-200918-095342_bem_197_elicit_15  UKULANDALANDA NOKUKALIPAKALIPA KUTI KWALENGA UMUNTU ASUKA ATENDWA
02-200918-095342_bem_197_elicit_16  TAWAKEKALILILE FYE IFYO FINE UWASHAMA BUSHIKU BUMO UKASUKA AUSHUKA
02-200918-095342_bem_197_elicit_17  KULABA UKULABAKO KUFILUBO FYAMUNOBE NGACAKUTI AKUPELAKO FIMO IFISUMA
02-200918-095342_bem_197_elicit_18  ILYO UMWENI UMUKANKALA AFIKA MUMUSHI NANGU PA NGANDA KULABA UKUSHUKILAMO NOKULYA IFYO TAMULYA LYONSE
02-200918-095342_bem_197_elicit_19  ILYO UMWENI UMUKANKALA AFIKA MUMUSHI NANGU PA NGANDA KULABA UKUSHUKILAMO NOKULYA IFYO TAMULYA LYONSE
02-200918-095342_bem_197_elicit_20  UMWANA AFWILE ASUNGWA KU NDUPWA SHONSE SHIBILI
02-200918-095342_bem_197_elicit_21  TATWISHIBE UMO BALOSESHE PAFYO BALANDILE
02-200918-095342_bem_197_elicit_22  UMUNTU UUSHIFWAYA KUISANSHA PA BANANKWE TESHIBIKWA BWINO
02-200918-095342_bem_197_elicit_23  IMISANGO IBI IYAMUNTU EIKAMUTWALA KUNSHISHI
02-200918-095342_bem_197_elicit_24  IFYOTUMONA NOKUMFWA PANO CALO FIMO FILASEKESHA SANA
