01-201011-223928_bem_fb0_elicit_0  ELYO ASOSAPO NO TUMASHIWI TUMO ALEIKUNKUNSHA NA PA CIFUBA ATI
01-201011-223928_bem_fb0_elicit_1  MUNG'OMBA ULILA NSHI 
01-201011-223928_bem_fb0_elicit_2  ATEMWA MUNG'ANG'A NSHI
01-201011-223928_bem_fb0_elicit_3  NDILE NG'ANDA
01-201011-223928_bem_fb0_elicit_4  WAIMONA KULI ANI
01-201011-223928_bem_fb0_elicit_5  NAIMONA MENSO KUBEKABEKA NGA NE ULELE PA LWINO NDOLENI EE
01-201011-223928_bem_fb0_elicit_6  TWAKULOLA
01-201011-223928_bem_fb0_elicit_7  KANTWA MPELA INANDA 
01-201011-223928_bem_fb0_elicit_8  ASONTAPO UO ALETU NGANYA UKUTI E UKWETE NANDA
01-201011-223928_bem_fb0_elicit_9  NOMBA UO ALUMBULA NGA CAKUTI E UKWETE NANDA NINSHI NABO PALI IYO MPUKA BASHUKA E BALI NO KUCITA FYONSE IFYACILACITA ABANABO 
01-201011-223928_bem_fb0_elicit_10  LELO NGA APUSA ALUBA NINSHI BAPYAKO ABO BENE BALI NO KUBWEKESHAPO NAKABILI ABAFILWA BAFWILE UKUBAPELA AKALANDU 
01-201011-223928_bem_fb0_elicit_11  TABACUSHA IYO KUSEKA FYE 
01-201011-223928_bem_fb0_elicit_12  UMUKU WA CIBILI NGA'BALEFWAYA KABILI KUTI BAIMBA ULWIMBO LELO NGA TABATEMENWE KWIMBA KUTI BASOSAPO FYE AMASHIWI YAKUTILA
01-201011-223928_bem_fb0_elicit_13  MULALYA MULASHA UTUPUNDA 
01-201011-223928_bem_fb0_elicit_14  MULALYA MULASHA UTUPUNDA  
01-201011-223928_bem_fb0_elicit_15  APO PENE BAFUMBATA NE MINWE ELYO KABILI ABALI NO KUSONTA BASONTA NAKABILI UUKWETE INANDA NGA FILYA FINE BACIBA BACITILE PAKUBALA
01-201011-223928_bem_fb0_elicit_16  NOMBA NGA BATENDWA UKWANGALA SHIKITISHIKITI BALACITA UTWANGALO TUMBI NELYO UTWAKWANGUFYANYA UKUSOSA UTUMASHIWI
01-201011-223928_bem_fb0_elicit_17  ELYO ABAFINE NDIMI BALELUBA NA PA KUSOSA BALEBASEKA 
01-201011-223928_bem_fb0_elicit_18  EKO TULI TUMO UTWAKUTI CILA MUNTU ALI NO KUSOSA IMIKU UKULINGANA NOMO BAPENDELA ABENE IMIKU INE NELYO ISANO TUMO UTULI NGO TU
01-201011-223928_bem_fb0_elicit_19  NSHINGULUKE CULU NTOBE TONDO LUSENGO PE KOSHI
01-201011-223928_bem_fb0_elicit_20  TULEKASHOLOLA AKA PA KAKOPO
01-201011-223928_bem_fb0_elicit_21  CILEMBA MUKULU MUTONGAMA PA LUPUTA
01-201011-223928_bem_fb0_elicit_22  KALULU UMUMPASHANYA ANYA APASEBA TATA
01-201011-223928_bem_fb0_elicit_23  ICITI CO CILI KWI NCICILUKE CINCENA
01-201011-223928_bem_fb0_elicit_24  NASHAMA IFYASHAMA NSAMYA
01-201011-223928_bem_fb0_elicit_25  KUTI BACITA FYE UTWINGI MPAKA NE NSHITA YA KUYA KU KUSENDAMA YAFIKA 
01-201011-223928_bem_fb0_elicit_26  NSHITA IYO NINSHI NABWILA NO MWESHI NAUBALIKA NSHIBALIKA
01-201011-223928_bem_fb0_elicit_27  NGA BAYAPONA MU TULO TEKWAKWISHIBA NELYO BUCELE NGA TULUMENDO NATULABA NA KU KUKOSHA UMULILO PA NSAKA
